8.93231 89.7146 | -2.06776 1.54362 | 1174.15 4438.23
9.35673 89.9827 | 0.395548 2.39243 | -2862.71 850.444
9.78992 90.2334 | 0.371583 3.27606 | -2984.95 -4126.64
10.2329 90.4594 | -1.58727 0.989468 | 1590.27 -351.432
10.6872 90.6647 | -1.18892 0.260468 | 3014 7496.37
11.1522 90.8571 | -2.15836 1.1359 | 7219.17 -1309.35
11.6325 91.0219 | -1.21928 0.0882007 | -1879.72 -1282.87
12.1197 91.1556 | -0.0890604 -0.0649109 | -15136.5 2261.1
12.603 91.2571 | -1.72338 -0.280357 | -9093.83 -1325.22
13.086 91.3064 | -2.36845 4.02764 | 3552.62 -4635.42
13.5729 91.2877 | -2.66227 5.06893 | 6996.19 -1084.48
14.0597 91.2119 | -2.06785 -1.53699 | 1727.21 10582
14.5393 91.0979 | 0.812804 -2.27844 | -2603.9 -2555.2
14.9997 90.9257 | 1.38125 -0.218116 | -2296.31 -10085.3
15.4344 90.6918 | 2.2054 -0.684077 | 5941.94 5847.33
15.8573 90.4332 | 2.92495 0.484684 | -1229.73 1424.23
16.2696 90.1597 | -0.357301 1.40405 | -829.096 1234.52
16.6752 89.878 | -2.90004 0.966004 | 4836.52 4458.89
17.0792 89.5921 | -2.00088 0.734943 | -1749.66 -6564.93
17.4711 89.286 | 0.252366 0.217315 | 1589.95 -3601.96
17.8551 88.9654 | 1.29206 -0.46187 | 7358.27 4638.77
18.2396 88.6423 | -4.24792 -4.81589 | -5056.36 -2650.35
18.6092 88.305 | -3.61139 -3.04773 | -5862.39 1629.32
18.9637 87.9567 | -0.828593 -0.91 | 6387.32 -177.146
19.3166 87.6031 | -2.24805 -2.96133 | -5316.79 -5618.81
19.6635 87.2431 | -2.90322 -2.98996 | 1696.75 5999.41
20.0211 86.8972 | -0.974342 0.00335747 | -1958.7 1526.8
20.3918 86.5689 | 1.86141 2.08021 | -2746.31 3027.48
20.7769 86.2618 | 2.06407 2.72084 | 1984.81 -4909.58
21.1802 85.9728 | 0.716786 1.32276 | 4237.38 -6232.85
21.6075 85.7098 | 1.67921 0.51345 | 7586.55 5348.58
