-3.15057 11.9023 | 2.54022 4.93406 | 4817.54 -2915.22
-25.9349 62.3428 | -1.94333 -0.452562 | 6930.44 1456.84
-25.5332 62.6552 | -1.75782 0.196483 | -6458.1 -2025.68
-25.1543 62.989 | -1.47714 1.52976 | -2449.71 -2851.91
-24.7939 63.3384 | -0.285302 0.766227 | 4892.01 -2737.11
-24.4463 63.702 | -0.139431 -0.78653 | -1010.25 9364
-24.1229 64.092 | -2.42037 -1.21157 | -6579.88 -2706.76
-23.8223 64.4945 | -2.50819 -0.97544 | 1449.07 -9652.25
-23.5262 64.895 | -1.13396 -3.13684 | 4936.4 6961.13
-23.2325 65.3037 | -2.93927 -2.3928 | -871.168 1449.84
-22.947 65.7193 | -2.77764 -0.520738 | -2642.83 253.026
-22.6691 66.1393 | -2.7222 0.0226165 | -1918.21 320.282
-22.3899 66.5575 | -3.09486 -0.389099 | 3637.37 -3639.23
-22.0947 66.9639 | -3.24393 -1.47672 | 3745.68 -642.119
-21.7847 67.3607 | -5.41554 0.0889058 | -3066.94 3369.78
-21.4726 67.7569 | -3.85133 1.08494 | -2638.07 4556.43
-21.1562 68.1518 | -3.23399 1.07835 | 4949.25 -3680.82
-20.8202 68.5304 | -1.55594 1.7652 | 85.6121 -1401.93
-20.4679 68.8925 | -1.54203 5.55148 | -7802.55 1376.09
-20.1061 69.2401 | -1.16934 4.89282 | 1780.08 -5090.81
-19.7204 69.5596 | 0.441136 1.15121 | 4463.86 7691.3
-19.3072 69.8542 | -0.142957 0.300017 | 11474 2929.07
-18.8602 70.1109 | -2.40496 1.97519 | -1944.46 -5947.14
-18.391 70.3192 | -2.08786 3.1601 | -3695.81 -4905.95
-17.9096 70.485 | -1.99727 4.0729 | -4788.89 2982.89
-17.4231 70.626 | -2.47582 2.73092 | 3787.98 -483.777
-16.9276 70.7438 | -2.97487 2.05191 | 6760.47 3003.5
-16.4232 70.8435 | -2.99835 -1.42608 | -3485.98 -1194.52
-15.9177 70.9215 | -3.23485 -1.98543 | -6785.47 -1481.91
-15.4152 70.9759 | -3.37202 1.77215 | -6149.65 2568.25
-14.9163 71.0067 | -0.950717 0.140395 | -3273.72 -3237.87
-14.4202 71.0013 | 0.697323 -2.59851 | -1149.21 -1324.83
-13.927 70.9607 | -0.440057 -4.16723 | -51.0825 753.788
-13.4367 70.8924 | -0.881354 -3.14229 | 2101.14 15.1632
-12.9479 70.8024 | 0.905013 -2.47791 | 5106.38 -2045.59
-12.4583 70.6957 | 1.99619 -1.92569 | 824.108 5532.33
-11.9698 70.5826 | 0.697782 1.30754 | -3099.3 -7207.09
-11.4861 70.4507 | -0.30779 3.20832 | 5635.66 -3617.61
-10.998 70.316 | -1.87004 3.58163 | 6277.86 7375.64
-10.5007 70.2039 | -1.48561 0.720766 | -2204.77 808.671
-10.0023 70.1082 | 0.811081 -0.669309 | -10530.3 417.421
-9.50961 70.0215 | 0.823917 0.962187 | 807.92 -4572.87
-9.0151 69.9394 | 0.436252 1.42634 | 9322.55 1542.79
-8.51105 69.8758 | 1.16102 0.0168573 | 3175.51 -2833.24
-8.00131 69.8353 | 3.18555 1.00216 | 143.345 -454.89
-7.49048 69.8329 | 3.10507 1.11892 | -6272.48 2554.01
-6.98828 69.8877 | 0.302374 0.746493 | -7264.06 -986.486
-6.50427 70.0091 | -0.520194 1.27997 | -1149.7 10484.8
-6.0448 70.2061 | -0.450416 1.72008 | 2201.31 -6419.17
-5.6062 70.4458 | 0.0536689 2.13973 | -1835.61 -2808.46
-5.19071 70.7209 | 1.98366 1.47185 | 2595.65 3242.31
-4.79726 71.0319 | 2.30574 -1.69116 | 4808.56 1993.29
-4.42421 71.3734 | 1.47559 -1.788 | -3343.89 8617.62
-4.07586 71.7439 | 0.593998 -1.25676 | 2612.43 -8067.24
-3.73484 72.1172 | 0.241456 -2.89976 | 175.239 -6341.23
-3.40084 72.4917 | -0.527216 -2.18573 | -4454.34 1967.56
-3.08499 72.8792 | -1.92694 -2.03784 | -1436.98 -2774.99
-2.78564 73.2777 | -2.97065 -0.971824 | 3653.81 5948.73
-2.49877 73.6917 | -3.23798 0.280343 | 3396.13 6102.52
-2.22245 74.1192 | -1.60294 -0.353561 | -2664.04 -665.312
-1.9565 74.5529 | -2.17735 0.792649 | 481.783 589.504
-1.69153 74.9869 | -4.74728 0.608844 | 1288.94 -5056.74
-1.42061 75.4129 | -4.03393 1.7555 | -4444.91 -8036.04
-1.14975 75.83 | -2.57232 3.49638 | -6807.26 -1371.72
-0.883458 76.2447 | -2.41578 2.77125 | 1438.2 -375.586
-0.608601 76.6544 | -0.017684 2.58413 | 3397.27 6322.61
-0.31769 77.0587 | 2.83043 0.418052 | -167.03 -1702.32
-0.00721061 77.4476 | 2.54929 -0.164601 | -2253.31 -253.698
0.324637 77.8171 | 0.812282 0.474227 | 614.731 2477.92
0.684365 78.1607 | -0.902116 -0.140316 | -687.163 -3825.8
1.07592 78.4646 | 1.48759 0.536571 | 1982.4 -1697.91
1.49795 78.7263 | 2.89084 0.65185 | 4630.72 3040.99
1.9437 78.9547 | 0.788524 1.40558 | 739.395 1920.78
2.40343 79.1567 | -1.66665 1.03802 | -2816.47 -3199.73
2.86972 79.3349 | -2.48665 -0.338627 | -6721.86 3284.29
3.33652 79.5017 | 0.36318 1.13052 | 3686.32 4882.1
3.81189 79.652 | 2.63703 1.0054 | 2696.39 -6643.96
4.29786 79.7647 | 1.04376 -1.80699 | -7011.53 886.85
4.78599 79.8472 | -0.0396869 -2.36664 | 4982 5640.02
5.28142 79.9012 | 0.259643 -0.836541 | 3213.97 -11240.1
5.782 79.909 | 0.659338 -0.443249 | -1624.2 3869.59
6.28257 79.8991 | -0.486963 0.342781 | 5047.25 10623.4
6.78633 79.8848 | -1.38116 0.425791 | 2630.96 -9110.35
7.28925 79.8368 | 0.445957 1.97464 | -9897.63 -6949.64
7.78176 79.7611 | 0.204927 0.660344 | -9751.75 5268.38
8.26719 79.6942 | 0.167396 -0.365802 | 467.676 7918.64
8.75487 79.6561 | 0.0185345 -0.533343 | 7352.63 -2368.29
