-17.0278 -22.1314 | -1.33647 0.159388 | -2968.6 7551.75
-16.5372 -22.2063 | -0.848023 1.71396 | 2146.13 123.056
-16.04 -22.2356 | 2.8602 -1.59788 | 4802.7 -5549.61
-15.5378 -22.2257 | 0.422442 -0.634197 | 5689.7 11604.4
-15.0346 -22.1618 | -2.90952 1.23643 | -207.628 -5875.11
-14.5367 -22.0734 | -2.7609 0.585671 | -14626.3 -6165.06
-14.0536 -21.9675 | 0.296641 0.90409 | -638.073 -2066.75
-13.5792 -21.8357 | 2.09065 0.817461 | 1799.02 6235.21
-13.1149 -21.6649 | -1.19613 -0.633228 | 92.7731 1697.66
-12.6589 -21.4662 | -1.52974 1.78191 | 15486.9 -447.554
-12.1979 -21.254 | 0.968856 1.94077 | 12.1089 538.85
-11.7435 -21.0246 | 0.71016 0.0434191 | -5371.64 5942.87
-11.3022 -20.7734 | 0.137839 2.76494 | 2373.49 -4321.75
-10.8631 -20.5207 | -0.830065 3.45241 | -4559.57 -8246.96
-10.4288 -20.2714 | -0.518557 2.09938 | -1251.93 2583.29
-10.0036 -20.0092 | 0.380486 1.17831 | -4240.59 3442.49
-9.59083 -19.7303 | -0.0201533 -1.38788 | 1742.72 -3713.88
-9.18162 -19.448 | 0.832499 -3.31022 | -3668.36 2584.12
-8.77701 -19.1624 | -0.672862 -1.76482 | -2913.4 -8652.08
-8.36989 -18.8885 | -0.575758 -0.436043 | 5272.6 4626.86
-7.95705 -18.6164 | 1.04673 -2.1667 | -3935.11 6053.26
-7.54364 -18.3458 | -0.793233 -3.77492 | -5985.89 -8522.75
-7.12141 -18.1008 | -4.46648 -1.50337 | 5055.17 -1434.97
-6.68112 -17.8831 | -2.67336 -1.43102 | 6472.89 12260.7
-6.22419 -17.6809 | 0.734184 -3.09909 | 4563.79 -130.13
-5.74824 -17.5159 | 0.615955 -3.24032 | 1044.8 -5257.9
-5.25678 -17.4038 | -0.25496 0.394447 | 417.775 603.207
-4.75658 -17.3391 | 0.25447 1.48478 | -1754.88 -4235.39
-4.2543 -17.3193 | 0.39922 0.818878 | -5727.87 4939.63
-3.75454 -17.3251 | 1.0854 -2.08424 | 11106.6 2369.54
-3.24912 -17.3575 | 0.731737 0.398614 | -1614.39 -2187.57
-2.74856 -17.428 | -1.05006 -1.24143 | -10247.3 590.721
-2.26167 -17.5391 | 0.223795 -2.2704 | 6971.79 -9950.26
-1.7803 -17.6916 | -0.236471 0.649481 | 3857.42 10742.4
-1.30078 -17.8536 | -2.94963 -0.0833009 | -7550.2 -1993.28


5.62623 49.6705 | 1.19165 4.04612 | -4004.2 2100.45
6.01172 49.3575 | 1.10153 -0.579821 | 4876.8 -2618.16
6.4201 49.0682 | 1.998 -0.172792 | 17.1558 -3310.56
6.84932 48.8073 | 0.581449 -0.0777819 | 2808.51 5889.75
7.30195 48.5892 | -1.48897 -3.59548 | -3344.42 -5760.94
7.76954 48.4045 | 0.194989 -2.64058 | 6684.58 2448.4
8.25801 48.2666 | 1.99525 -0.657082 | 10064.9 1130.09
8.76417 48.175 | 1.27754 -1.86564 | -4524.03 -1851.16
9.2728 48.1208 | -2.25681 -1.0962 | -9307.15 -400.554
9.77639 48.1058 | -3.22964 0.581544 | -7199.08 7301.13
10.2735 48.137 | -2.90997 -2.04668 | 3806.86 -8786.18
10.7701 48.1919 | -1.37458 -1.97813 | 2572.88 2954.86
11.2632 48.2836 | -0.416515 0.918918 | -147.005 -1540.93
11.7471 48.4135 | -0.601305 1.57248 | -3560.61 -361.05
12.2142 48.5884 | 1.37101 -1.71049 | 3054.79 4001.76
12.6628 48.813 | 1.09837 -0.0131149 | 3083.24 1782.32
13.0906 49.0807 | -0.908586 -0.0957008 | -1756.71 684.302
13.4942 49.3849 | -0.0976245 2.34568 | 2180.45 7288.7
13.8798 49.7193 | 1.22711 0.556314 | 4035.76 1931.95
14.26 50.0635 | -1.36876 -0.24389 | -7638.86 -10336.2
14.6387 50.3968 | -2.79598 1.30893 | -121.066 -1894.59
15.026 50.7176 | -1.44226 -1.91269 | 1179.59 6980.88
15.4269 51.0267 | -2.76106 0.785042 | 6039.97 -4693.89
15.8519 51.3042 | -2.91818 1.65488 | -2391.75 -6818.83
16.2922 51.5506 | -2.42555 -1.05013 | -3576.58 9246.15
16.7389 51.7864 | 0.511641 -1.55522 | 4655.83 -4306.17
17.1999 51.996 | 0.767579 -0.280767 | -2152.92 -2689.75
17.668 52.182 | -1.11737 1.09691 | -8466.52 4710.19
