-4.61057 12.4943 | 3.31514 3.07073 | 4595.37 -3630
3.98767 -46.67 | -0.202356 0.787822 | -3361.44 4297.53
4.38921 -46.9635 | 0.97557 0.664907 | -1448.06 -6961.98
4.78344 -47.2697 | 5.23141 1.47853 | 1851.41 -2844.46
5.18391 -47.5712 | 2.99881 -1.0903 | 5472.76 7030.41
5.60396 -47.8447 | 0.857511 -0.376504 | -6119.69 4609.11
6.03435 -48.0936 | -1.42816 -2.74383 | 3722.77 -5182.5
6.47612 -48.3316 | -1.46448 -4.15017 | 9982.74 -5549.64
6.93131 -48.5603 | -0.689083 -2.31213 | -8860.49 -2299.71
7.38913 -48.7731 | -1.46971 1.01868 | -6139.07 8247.85
7.85657 -48.9452 | -1.82641 1.37777 | 3099.2 3034.98
8.33899 -49.0742 | -2.05977 0.844807 | 6008.45 -1955.55
8.83377 -49.1714 | -3.21024 0.884593 | 624.611 -2783.52
9.33399 -49.2451 | -2.36045 -1.64033 | -2668.7 -2427.09
9.83603 -49.2933 | -0.510737 -5.0422 | 545.351 2110.93
10.341 -49.3033 | 0.723287 -1.35276 | 5139.87 1540.97
10.8491 -49.2699 | 0.650225 1.07114 | 4135.93 2840.31
11.356 -49.1918 | -0.505417 -0.193898 | 591.108 613.126
11.856 -49.0747 | -1.51375 2.2499 | -5384.19 635.944
12.3429 -48.9238 | -1.36277 0.959217 | -2967.72 -2108.72
12.8181 -48.748 | -2.41325 3.30956 | 922.015 -3038.74
13.2834 -48.5504 | -1.98303 4.8486 | -4585.96 1657.74
13.7322 -48.3234 | 1.94539 -3.60167 | -2001.28 -1188.96


-26.112 61.7349 | -2.12403 0.515425 | 5934.37 3439.66
-25.6185 61.8505 | -0.148928 -1.64533 | 2111.15 -1381.63
-25.1314 61.9956 | -0.085908 -1.79253 | 990.934 2274.87
-24.653 62.1708 | 0.0442887 -2.0257 | 759.962 -2335.8
-24.185 62.3708 | 0.00537253 -1.73828 | -3130.45 -4805.57
