6.85799 -65.3285 | 0.270787 -2.69517 | -7974.17 -542.918
7.34968 -65.2657 | 2.58931 -0.993408 | -732.703 5710.47
7.83186 -65.1469 | 1.23307 -0.126371 | 12450.4 -3569.9
8.31218 -64.9931 | 0.0214591 -1.0858 | 1092.49 -5383.74
8.77988 -64.8034 | 0.62663 -0.324056 | -7373.77 13345.1
9.21952 -64.5554 | 1.34117 1.2485 | 6009.05 -1459.43
9.64528 -64.278 | 1.58564 1.09492 | 1484.04 -2783.96
10.0608 -63.9852 | -0.483696 2.73698 | -125.198 87.3056
10.465 -63.6784 | -2.77692 5.30321 | -2031.75 -5898.35
10.8541 -63.3608 | -0.353509 1.53645 | -14906.9 -922.073
11.2158 -63.0249 | 2.32585 0.907482 | 6015.33 -1822.31
11.5722 -62.6826 | 1.26611 5.22706 | -330.84 -338.129
11.9237 -62.3361 | 0.407204 3.84475 | -4880.52 -1301.22
12.2707 -61.9884 | 0.554619 -0.553084 | 5946.1 788.312
12.6265 -61.6445 | 2.41409 -2.41417 | 4433.76 6787.1
12.9907 -61.3014 | 3.01744 -0.716837 | -5270.39 -1302.9
13.3609 -60.9684 | 3.27094 -0.494319 | -1365.52 -591.468
13.7474 -60.6563 | 1.5629 0.541761 | 5381.8 -1867.02
14.1612 -60.3766 | 1.29281 -0.18341 | 2551.96 5678.64
14.5992 -60.127 | 1.71906 -1.33763 | 4294.94 3961.38
15.0627 -59.9186 | 0.534142 -0.86806 | 1027.48 -6347.27
15.5492 -59.7729 | 0.684235 0.528237 | 1015.58 614.536
16.0507 -59.6899 | 0.802519 3.4855 | -2863.7 -4563.01
16.556 -59.6742 | -0.577569 5.8458 | -6392.08 -2842.77
17.0559 -59.7149 | -1.61134 4.0176 | 1761.81 5116.25
17.5524 -59.7906 | -1.74151 2.70929 | 3318.79 -618.519
18.0446 -59.9004 | -3.93919 0.588357 | -3991.59 -5309.53
18.5268 -60.0428 | -3.79534 -0.783619 | -779.598 4193.56
19.005 -60.1939 | -0.167467 2.85135 | 6372.21 7677.84
19.4858 -60.3457 | 0.469134 -0.304519 | 1313.87 -6612.68
19.9595 -60.5234 | -0.104663 0.117383 | -8906.7 -2135.84
20.416 -60.7275 | 1.36318 3.54426 | -6072.35 11230.3
20.8596 -60.9409 | 1.57143 2.6364 | -630.683 -4718.56
21.2912 -61.1782 | -2.93555 1.27721 | 3145.99 -2353.15
21.7161 -61.4342 | -4.46592 2.12361 | 6376.04 -1187.74
22.1402 -61.7007 | -3.421 -2.06367 | 3519.24 1660.08
22.5612 -61.9748 | -1.32258 0.720348 | -7223.77 458.375
22.9676 -62.2631 | -3.10193 1.73486 | -2699.12 -3812.22
23.3633 -62.565 | -2.73003 -1.01249 | 4478.27 1987.15


-25.6605 84.4012 | -2.48501 3.00664 | 6145.65 8327.46
-25.1599 84.4731 | -0.831793 0.703827 | -5921.56 -18285
-24.6651 84.5461 | -1.39178 0.682005 | 633.487 15821.5
-24.1759 84.657 | -0.890775 -1.66626 | -523.326 -6932.24
-23.6904 84.7805 | -1.35997 2.11551 | 6796.73 -1784.56
-23.2052 84.9181 | -0.0123504 0.0948028 | -6435.13 4145.12
-22.7322 85.0821 | 1.18788 -1.0844 | -8695.38 -5603.31
-22.2713 85.2632 | 0.758961 -0.0571582 | 16162.8 10635.8
-21.8075 85.4674 | 0.748774 1.17694 | 211.588 -6108.54
-21.3467 85.6762 | -0.910138 2.39699 | -12913.9 710.116
-20.8993 85.894 | -2.38495 0.79898 | -108.41 -6039.95
-20.4537 86.1087 | -1.27186 0.0919925 | 347.306 1473.35
-20.0083 86.3276 | 1.43502 0.855831 | 10568.8 11334.4
-19.5569 86.5545 | 2.80368 0.324892 | -5201.95 -9245.28
-19.1036 86.7644 | 0.596184 -0.480786 | -13426.2 -4751.53
-18.6533 86.9595 | -1.84889 -1.74039 | 15784.6 5831.72
-18.1892 87.1469 | -1.27588 0.158402 | -122.143 -2388.19
-17.7217 87.3259 | -0.126391 -0.420975 | -8056.99 6959.59
-17.2588 87.5072 | 0.651622 -0.368292 | -3093.21 -3440.35
