-32.3791 18.3729 | -0.367045 2.01164 | 3105.15 2362.58
-31.9191 18.1613 | 0.873813 3.61163 | -291.009 2226.1
-31.4494 17.9745 | 1.51153 4.43 | -2330.04 2376.38
-30.974 17.8098 | 2.19685 4.59409 | -606.386 105.293
-30.4953 17.6581 | 2.59499 3.22225 | -641.209 -1971.29
-30.016 17.5107 | 1.97099 0.532709 | -3310.39 -3012.66
-29.5377 17.3666 | 1.18461 -0.52837 | -3138.84 438.855
-29.0575 17.2389 | 0.784877 -0.0137633 | -1770.26 2195.04
-28.5724 17.1414 | 0.244755 1.55309 | -326.763 -1539.59
-28.0819 17.0801 | -0.949895 2.97523 | 506.993 -1050.1
-27.5877 17.0651 | -2.27278 2.85232 | 300.904 1160.95
-27.095 17.108 | -2.66834 1.63045 | 1059.12 2062.7
-26.6102 17.2118 | -2.50274 0.550975 | 1840.38 1257.82
-26.1376 17.369 | -2.35267 -0.92541 | 2653.01 -1396.81
-25.6786 17.5673 | -2.14231 -2.34816 | 538.756 516.154
-25.2361 17.8021 | -2.38548 -2.46517 | 9.31754 1269.42
-24.8107 18.0681 | -2.39731 -2.69186 | 1267.93 589.697
-24.399 18.3574 | -2.26335 -1.68096 | 1338.58 149.476
-23.9979 18.6628 | -2.55423 1.18974 | -0.588692 463.924
-23.6054 18.9799 | -1.65122 2.28786 | -932.563 504.383
-23.2187 19.3036 | -0.400581 1.94863 | 293.56 45.4966
-22.8314 19.6268 | 1.53902 0.841003 | 768.208 -1334.95
-22.4383 19.9421 | 3.74656 -0.14456 | -1890.95 -681.128
-22.0386 20.2461 | 3.72025 0.511339 | -2537.29 -183.742
-21.6294 20.5338 | 2.1387 1.96216 | -117.517 -3453.89
-21.2054 20.7953 | 0.959688 2.75748 | -991.68 -793.123
-20.7677 21.0305 | 0.514263 2.67891 | -3044.22 1855.27
-20.3194 21.2405 | 0.396745 2.50149 | -2272.2 -2.27224
-19.8587 21.4168 | 0.10393 2.47193 | 1105.92 -847.264
-19.3835 21.5495 | -0.747305 3.92751 | 380.083 348.394
-18.8976 21.6353 | -1.16394 4.24895 | -2670.99 -1848.04
-18.4077 21.6724 | -1.08059 2.45665 | -3152.81 -787.263
-17.9186 21.6699 | -0.73664 0.934717 | 820.003 1445.37
-17.4294 21.6433 | -0.224425 0.759391 | 5432.55 1857.13
-16.9368 21.6045 | 0.813487 2.29488 | 4083.82 3632.88
-16.4416 21.558 | 1.95661 2.82864 | 40.9302 2917.9
-15.9482 21.4937 | 2.22398 1.28149 | -1724.26 -2064.82
-15.4624 21.3913 | 1.45291 0.549654 | -1811.88 -4433.29
-14.9894 21.2415 | 0.371484 1.16068 | 1337.04 -1811.88
-14.5277 21.0553 | -0.799852 0.671904 | 3399.94 138.57
-14.0717 20.8487 | -1.87449 -0.730909 | 2513.44 2042.81
-13.6183 20.6334 | -2.81525 -2.38449 | 567.209 1042.88
-13.1682 20.4105 | -2.45924 -2.44166 | -1930.67 -1363.4
-12.724 20.1772 | -0.392565 0.252207 | 1847.6 142.163
-12.2814 19.9374 | 1.02654 1.81444 | 4529.94 -1625.55
-11.8373 19.6925 | 1.02445 1.52259 | 1172.79 -2468.35
-11.3929 19.444 | 0.695663 1.7752 | -589.657 1455
-10.9467 19.2006 | -0.175488 0.826994 | -1979.55 1920.1
-10.4976 18.9677 | -0.397932 0.137451 | -2333.65 -26.8215
-10.0443 18.7482 | 0.379216 0.241494 | -2402.99 2267.21
-9.58449 18.55 | 0.200248 -1.7888 | -3295.15 2060.74
-9.11776 18.3771 | -0.48773 -3.39963 | 59.8023 -1677.12
-8.64199 18.2298 | -0.382563 -2.71304 | 2960.52 -2604.29
-8.15494 18.1142 | -0.256924 -1.97075 | 2245.46 1991.03
-7.6579 18.0435 | -0.561487 -0.501167 | -466.096 3934.84
-7.15688 18.0221 | -1.40036 1.39048 | -3182.88 -836.292
-6.658 18.0381 | -2.19476 1.78081 | -1796.77 -3586.9
-6.16269 18.0824 | -1.99429 2.25204 | -700.184 -654.512
-5.67215 18.1585 | -0.971266 0.918867 | -893.693 2890.63
-5.18882 18.271 | 0.223373 -0.703929 | 1581.31 -254.363
-4.71154 18.4108 | 1.1245 -0.241274 | 1762.13 -2219.42
-4.23965 18.5704 | 1.53403 -0.193058 | -357.282 -996.94
-3.77584 18.7509 | 1.28806 -0.495736 | -1167.03 116.252
-3.32311 18.9557 | 0.893989 -0.0355862 | -637.578 1239.25
-2.88256 19.1853 | 1.49583 0.11069 | 1482.5 -634.919
-2.45208 19.4346 | 2.82845 -0.211215 | 974.283 -2509.81
-2.03252 19.701 | 2.80188 0.0549361 | -1840.09 909.077
-1.62966 19.9907 | 1.5343 0.882675 | -2295.26 3674.63
-1.24393 20.3032 | 1.86058 0.345211 | 685.266 55.3361
-0.864441 20.6239 | 2.75048 -0.325326 | 2689.12 -4259.06
-0.480959 20.9387 | 1.91746 0.899566 | -1497.45 -1305.13
-0.0960241 21.2493 | 1.01611 2.0734 | -2455.6 1147.54
0.28874 21.5585 | 1.75428 0.717705 | 970.343 -476.541
0.678272 21.862 | 2.68316 -2.29889 | 879.052 -347.468
1.07401 22.1586 | 2.12386 -4.1967 | -367.396 3539.1
1.47569 22.4502 | 0.910772 -3.85128 | 3155 2133.34
1.88993 22.7293 | -0.0982234 -2.66561 | 2837.16 -811.422
2.31997 22.987 | -1.34625 -1.82637 | -382.131 46.9835
2.76313 23.2216 | -2.53221 -1.90661 | -659.694 321.261
3.21819 23.4315 | -3.63936 -1.47164 | -58.2745 1688.88
3.68533 23.6138 | -3.68021 -0.490983 | -115.939 -313.544
4.16491 23.7589 | -1.88958 -0.778053 | -498.8 -3250.07
4.65487 23.8581 | 0.383254 -2.46706 | -1648.1 690.963
5.15018 23.9153 | 1.47331 -3.63951 | -1410.54 2183.76
5.64753 23.9319 | 1.36804 -3.7314 | 712.886 -4105.65
6.14497 23.9018 | 0.925127 -2.76739 | 2239.97 -1119.48
6.64103 23.8366 | 1.00541 -0.412031 | 1645.99 2330.29
