-2.81908 76.8931 | 2.18354 1.94578 | 2857.15 1912.02
-2.33113 76.7935 | 2.46336 2.94599 | 2238.28 3598.64
-1.84179 76.6933 | 2.35685 2.58283 | 375.42 -333.109
-1.35491 76.5795 | 1.98658 2.73446 | -1730.9 -1421.21
-0.875508 76.4413 | 1.41505 3.11728 | -2073.08 -300.717
-0.406682 76.2756 | 1.50743 3.76707 | -1142.97 544.505
0.0505778 76.0837 | 2.10943 3.73949 | -701.408 2319.64
0.495502 75.8679 | 1.78893 2.70881 | 486.947 801.965
0.92577 75.6246 | 0.0568432 0.846338 | -377.655 -2138.87
1.3369 75.3496 | -0.75097 0.525385 | -627.241 -1096.75
1.72878 75.0474 | -0.411126 1.00019 | -416.18 128.056
2.10621 74.7278 | 0.0945434 1.45952 | -1504.18 345.386
2.47626 74.4011 | -0.0723014 1.51989 | 1194.73 1259.87
2.85006 74.0786 | -0.840585 0.868172 | 1414.35 -627.131
3.23394 73.7664 | -0.783391 0.588343 | 343.17 -1111.3
3.63134 73.4699 | -0.431111 0.881735 | 2233.6 -164.511
4.04659 73.1958 | -0.47898 1.27138 | 2105.67 1183.63
4.47913 72.9477 | -0.64497 1.37411 | -949.947 -432.622
4.92293 72.7205 | -0.770808 2.20658 | -954.261 -1272.94
5.37527 72.5106 | -1.63336 3.01367 | 1514.13 -1723.04
5.83741 72.3186 | -2.59414 3.58721 | 1997.17 -1643.47
6.31045 72.1492 | -2.54835 4.63964 | 750.737 1142.11
6.7942 72.0106 | -2.21966 4.11213 | 1295.9 385.669
7.2875 71.9061 | -2.22649 2.67623 | 1534.2 1183.2
7.78794 71.8365 | -2.54943 0.783831 | -1178.6 -681.324
8.29112 71.7978 | -2.38334 -1.25025 | -378.428 2714.5
8.79547 71.7896 | -1.76812 -1.42636 | 1448.38 447.381
9.30079 71.8007 | -1.40371 -0.430683 | 1481.22 -3843.47
9.80694 71.8187 | -1.38291 0.668926 | -70.8228 -619.25
10.3126 71.8463 | -1.26988 1.68757 | -1458.96 -1953.21
10.8159 71.8886 | -0.9953 2.7418 | -1788.15 221.125
11.3144 71.9577 | -0.948482 3.16067 | -2879.55 1036.84
11.8034 72.0644 | -0.970179 2.3102 | -1945.2 -233.387
12.2792 72.2134 | -0.535421 0.919557 | 326.053 1037.51
12.7386 72.4074 | -0.0673738 0.55068 | 144.888 1781.81
13.1778 72.6446 | 0.465616 0.632744 | -1010.49 553.338
13.5961 72.9165 | 1.09973 0.138817 | -1627.94 203.93
13.9974 73.2121 | 1.45992 -0.782336 | 1378.86 -965.863
14.3914 73.5182 | 1.83864 -1.27253 | 2411.42 -645.885
14.7845 73.8273 | 2.45597 -1.10095 | -17.4589 707.459
15.1777 74.1375 | 3.36229 -1.2731 | 206.07 1078.36
15.5738 74.4456 | 4.27043 -1.89947 | 2030.76 1440.01
15.9779 74.7465 | 5.1742 -2.82716 | 2617.92 -930.249
16.3933 75.0343 | 5.158 -2.12519 | 294.659 -419.453
16.8172 75.3096 | 4.01903 -0.355116 | -990.009 769.623
17.2472 75.5753 | 2.7671 0.0391119 | 1904.56 -689.821
17.6844 75.831 | 2.59982 -0.997217 | 2135.45 175.235
18.1264 76.081 | 2.9656 -1.56579 | -972.612 2344.68
18.5678 76.3326 | 3.32893 -1.59083 | -807.644 471.449
19.0082 76.585 | 3.30734 -1.32373 | -17.2435 -1009.71
19.4489 76.8355 | 2.23802 0.103393 | -2146.65 -669.237
19.8883 77.0845 | 1.47456 0.601252 | -3876.79 1164.4
20.3261 77.3317 | 0.310148 1.022 | -293.526 -183.463
20.7696 77.568 | -1.43884 2.73317 | 1639.82 -1414.37
21.2239 77.7836 | -2.26335 3.69985 | 125.522 -1507.33
21.6884 77.9747 | -2.54302 3.14404 | -1114.61 -3499.07
22.1596 78.1428 | -1.8371 0.603898 | -3212.33 911.777
22.6317 78.3011 | -0.522985 -1.49661 | -1388.67 2488.14
23.104 78.4568 | 0.454168 -1.75373 | 772.554 411.72
23.5787 78.6069 | 0.987344 -1.10315 | -178.011 -1337.4
24.056 78.7471 | 0.367327 1.73711 | -239.192 -638.788
24.5355 78.879 | -0.382357 3.54592 | 1694.59 254.498
25.0175 79.0067 | -1.07615 3.79108 | 962.879 -14.4086
25.4999 79.1348 | -2.0199 4.3017 | -1508.25 -931.896
25.9794 79.2688 | -2.4068 4.72372 | -2140.33 90.5536
26.4533 79.4163 | -2.40795 4.63616 | 75.5373 372.056
26.921 79.5821 | -2.59737 4.24941 | 811.056 -812.154
27.3813 79.7687 | -2.61108 3.17592 | 970.79 234.604
27.8311 79.9813 | -2.75089 2.56395 | 791.724 1242.6
28.2663 80.2245 | -3.10935 3.2625 | -72.393 -664.052
28.6828 80.4982 | -2.9479 3.36616 | -137.083 759.173
29.077 80.8039 | -2.93808 2.47972 | 185.648 395.459
29.4465 81.1394 | -2.03792 -0.166577 | -545.569 -156.99
29.7902 81.5009 | -1.42846 -2.06136 | 989.321 -833.716
30.1095 81.8843 | -1.2607 -2.72036 | 954.044 -650.492
30.4026 82.2881 | -0.343395 -3.43732 | -150.524 1383.04


-36.8114 23.7683 | 0.727872 -3.2349 | 3832.4 -286.311
