7.44391 17.893 | 0.00652415 2.37957 | -3707.79 -9006.33
7.9154 17.7208 | -2.7489 3.56534 | 3984.21 -4597.02
8.37043 17.4999 | -0.787564 5.35712 | -5255.1 5187.01


-25.1778 -68.6373 | 2.19749 3.71279 | 349.528 -4142.58
-24.773 -68.9361 | -1.55919 -1.68443 | 2153.12 -1435.58
-24.3497 -69.2112 | -1.42404 -3.30631 | 4855.54 3798.88
-23.9016 -69.4462 | -0.373521 -0.54615 | -5629.83 924.205
-23.438 -69.6402 | -1.59069 2.51471 | 387.22 3961.73
-22.9582 -69.7896 | -0.425229 -0.245811 | 11232.6 -2027.04
-22.463 -69.9059 | 0.484432 -0.632929 | -16246.9 -2416.95
-21.9735 -69.9987 | -2.36087 0.0969964 | -8616.77 -1396.37
-21.4856 -70.0607 | -4.14171 3.66104 | 7871.44 -504.674
-20.9892 -70.0752 | -2.98014 -1.38494 | 8805.91 5411.56
-20.4883 -70.0273 | -1.11607 -2.09988 | -3136.36 -1594.17
-19.9967 -69.9245 | -1.21719 -0.6868 | -1564.34 296.424
-19.5194 -69.7689 | -2.22819 -2.4759 | 6433.1 7804.33
-19.0547 -69.5636 | -2.41814 1.58825 | -425.608 -3271.31
-18.6032 -69.3329 | -3.63761 2.48667 | -7069.76 -5594.44
-18.1657 -69.0884 | -3.57473 -1.06984 | 3604.87 352.841
-17.7343 -68.8297 | -3.18147 -0.538378 | 5801.8 271.074
-17.3095 -68.554 | -2.30317 2.32927 | -6689.58 6726.45
-16.904 -68.2525 | -1.86682 1.84759 | -1304.77 -4493.04
-16.5076 -67.9452 | -3.462 1.96432 | -5542.49 -9410.49
-16.1157 -67.6424 | -0.0947738 -1.63992 | 7747.73 6718.08
-15.7212 -67.332 | 1.89922 -1.23021 | 4008.94 7130.41
-15.3272 -67.0125 | -2.41362 2.53643 | -5251.59 -9881.64
-14.9367 -66.698 | -3.99445 0.723522 | -1213.25 6782.95
-14.5492 -66.3773 | -2.88137 2.38713 | 2223.1 1634.26
-14.1547 -66.0624 | 0.290393 3.26047 | 3532.05 -9411.48
-13.7471 -65.7682 | 1.53534 1.90685 | -8218.49 6223.99
-13.3406 -65.4765 | 0.686302 1.64971 | -817.654 -548.582
-12.9244 -65.1998 | -0.751706 1.67007 | 10177.1 -3486.44
-12.4871 -64.9501 | -1.31287 3.30554 | -8156.55 2648.7
-12.0455 -64.7173 | 1.25117 0.244878 | -7702.06 -6990.01
-11.5993 -64.5094 | 0.600006 -3.33443 | 2963.42 4161.64
-11.1429 -64.3183 | 0.756316 -3.16299 | 4922.86 4993.99
-10.6735 -64.1471 | -0.269595 -3.73999 | 1077.91 707.169
-10.1914 -64.0116 | -3.05986 -0.651936 | -1881.1 -6962.35
-9.69932 -63.9282 | -2.37755 0.19065 | 643.287 -4321
-9.20009 -63.8865 | -3.12471 1.02264 | 16190.2 8465.81
-8.68841 -63.8574 | -3.22858 1.49734 | -62.6225 7897.03
-8.17569 -63.8423 | -1.67795 1.80677 | -13374.6 -11653.8
-7.67376 -63.8735 | -1.22887 2.71805 | -8844.12 -281.362
-7.18224 -63.9376 | -1.34038 0.873824 | 1416.48 2397.9
-6.69205 -64.0175 | -0.250791 1.73502 | 13860.9 1650.5
-6.19431 -64.1067 | 2.12055 -0.264688 | -2210.25 -2309.49
-5.70009 -64.2104 | 0.808815 -3.18364 | -7456.81 7564.32
