-62.5147 -31.232 | 2.57862 -0.351271 | 556.363 -10024.3
-62.1304 -30.9144 | 0.105359 2.63607 | -359.878 4438.85
-61.7368 -30.6058 | -3.8721 2.87478 | -1313.79 6006.46
-61.33 -30.3114 | 0.119448 -3.30858 | 3024.77 -2426.84
-60.8964 -30.0564 | -0.846557 -2.23955 | 1961.85 -228.913
-60.4346 -29.8567 | 0.0927061 2.0393 | -1914.46 -14717.5
-59.952 -29.7274 | -0.13259 -2.01075 | 2512.07 13677.6
-59.4601 -29.6286 | -0.700827 -3.26801 | -13145.4 -5375.27
-58.9702 -29.5714 | 0.65054 1.68722 | 1519.07 -2397.32
-58.4754 -29.5494 | 1.76426 -3.05561 | 23183.2 3553.26
-57.9646 -29.5449 | 0.985843 -0.667718 | -6456.6 3637.34
-57.456 -29.5525 | -0.349576 5.91347 | 319.159 -3664.14
-56.9504 -29.58 | 1.92744 -1.26716 | -19944 6423.98
-56.4597 -29.6207 | 0.549939 0.258784 | -1477.81 -12860.5
-55.9717 -29.6892 | 2.09115 0.748582 | 26479 19472.6
-55.4659 -29.7483 | -0.675602 -1.21798 | -2411.07 -21422.1
-54.9627 -29.8468 | 0.0859716 5.34304 | 5524.86 13132.6
-54.4604 -29.952 | 1.09038 4.21279 | -18303.5 -2678.62
-53.9763 -30.0844 | -3.52818 1.13957 | 1626.62 -5399.6
-53.4996 -30.2445 | -4.0595 1.85526 | 11125 7353.62
-53.0213 -30.4136 | 3.53413 5.8374 | -12000.8 360.076
-52.5594 -30.6083 | 1.55357 -3.46492 | 7555.31 -14236.4
-52.1064 -30.8396 | -1.56917 1.32668 | -3662.09 6946.87
-51.6585 -31.0754 | -0.582615 3.87322 | 1752.41 -2977.05
-51.2064 -31.307 | 0.0515756 3.35985 | -148.308 -5848.86
-50.7423 -31.517 | 1.4918 -0.599384 | 5728.41 10966.5
-50.2549 -31.6646 | 0.898019 0.708739 | -10194.5 10960.8
-49.7581 -31.748 | -3.41201 0.996238 | 21095.4 -14329.7
-49.2438 -31.8018 | -3.52718 0.89871 | -12929.5 6962.68
-48.7348 -31.8089 | -0.137738 1.51969 | -8500.71 4626.32
-48.2346 -31.7753 | 2.83312 -1.93604 | -8031.62 -5409.9
-47.7417 -31.7258 | -2.21152 1.56 | 10192.9 -4738.03
-47.2446 -31.6647 | 0.452186 2.99711 | 768.386 2310.35
