-3.61684 -39.7843 | 1.08022 0.525171 | -230.497 6179.52
-3.16244 -39.5736 | -2.53291 5.13295 | 5185.33 1531.55
-2.70077 -39.3703 | -3.58259 1.22723 | 377.289 -7031.56
-2.23426 -39.185 | -1.07224 -0.664212 | -15327 5446.07
-1.77599 -39.0039 | -0.858332 1.97312 | -3921.22 -3275.78
-1.31253 -38.8488 | -0.784601 -0.530785 | 10836 -8328.24
-0.831842 -38.7323 | -2.85028 2.60094 | 3505.08 15067.4
-0.343317 -38.6246 | -2.14856 2.95022 | -100.155 -4173.54
0.151484 -38.5503 | 0.0760608 -1.53789 | -1315.92 -5878.96
0.64991 -38.5168 | 1.06821 0.314593 | 2788.42 10261.1
1.15155 -38.508 | 1.61698 -0.850373 | 611.865 -10262
1.65273 -38.548 | 0.965657 -2.55385 | 980.898 1382.94
2.15087 -38.6199 | 0.0410368 0.172635 | -1330.12 8315.39
2.64337 -38.7128 | 0.0633824 -1.60828 | -3821.15 -1873.04
3.12387 -38.8468 | -0.207962 -3.65154 | 526.584 -10171.9
3.59 -39.0315 | -0.562485 -1.10932 | 5092.63 5969.29
4.04852 -39.2391 | 2.32799 -0.863401 | 600.418 4774.69
4.49496 -39.4688 | 3.17942 -2.0554 | -6415.38 -5575.29
4.91688 -39.7357 | 3.96238 -1.20703 | -4606.65 5908.64
5.31744 -40.0266 | -0.792632 -3.67727 | 9601.72 -3177.82
5.70589 -40.3427 | -1.65651 -2.02828 | -617.337 -3284.82
6.07188 -40.6863 | -0.584065 -2.26188 | -8936.54 2659.29
6.41143 -41.0486 | 1.97944 -0.745468 | 4717.23 4441.91
6.74243 -41.4167 | 2.35027 1.90409 | -4605.79 1891.6
7.06084 -41.7914 | 2.06842 3.29466 | -1377.46 46.7462
7.37305 -42.1706 | 3.25673 3.13223 | 5036.74 -2884.44
7.69006 -42.5501 | 4.27639 1.46989 | -573.083 2917.23
8.01139 -42.9252 | 0.878681 0.136452 | 3388.41 -2842.62
8.33694 -43.3007 | 0.417165 0.732042 | -2992.9 -5372.86
8.661 -43.6793 | 2.06966 1.13192 | -11.3973 5888.46
8.99345 -44.047 | 1.9805 0.224861 | -946.393 276.795
9.33613 -44.4046 | -0.0448969 -1.04739 | -95.0374 -6016.86
9.69322 -44.7535 | -1.56508 -0.143312 | 10594.5 -3459.03
10.0795 -45.0819 | -2.67613 -1.393 | 5913.06 1678.99
10.4896 -45.3838 | -1.02541 -1.57894 | -15577 3138.87
10.9027 -45.6652 | -0.7943 0.897149 | -1041.4 -2839.45
11.3293 -45.9233 | -3.11528 -0.519509 | 2586.93 4678.24
11.7784 -46.1403 | -0.0384569 1.0743 | 5859.18 1314.02
12.2482 -46.3181 | 1.11742 4.13049 | -2916.7 -7469.2
12.7266 -46.4701 | -0.69775 1.1203 | -3859.7 5276.88
13.2121 -46.5804 | 0.72536 0.51389 | -4148.21 950.656
13.7017 -46.6509 | 2.59719 1.04826 | 2729.26 203.548
14.1963 -46.6863 | 2.48781 -2.72442 | -1881.85 4046.1
14.6915 -46.6948 | 1.99406 -0.402035 | 5040.51 -10220.4
15.1904 -46.7021 | -0.413919 1.48669 | 2244.02 1162.75
15.6918 -46.6938 | 1.39567 2.48487 | 1434.44 4471.25
16.1934 -46.6606 | 3.63712 0.0883162 | -1907.38 2957.18
16.6924 -46.6111 | 3.00441 0.168509 | -2338.62 -5780.35
17.1896 -46.5666 | 0.76566 3.11882 | 723.137 -5671.61
17.6873 -46.526 | -0.393776 3.33718 | 560.104 9281.53
18.1839 -46.4658 | 3.523 1.41298 | -300.298 -2251.53


-31.448 59.2063 | -0.864062 4.83901 | 2303.44 4975.88
-31.156 59.6186 | 3.24559 2.47799 | -4381.41 2821
-30.8844 60.0444 | 1.02269 4.24742 | 3947.47 -6929.01
-30.6111 60.4675 | -1.26734 2.87235 | 9721.07 7182.84
-30.3321 60.8959 | 1.1838 1.82803 | -5058.3 4245.02
-30.0659 61.3333 | 2.88222 1.96698 | -4822.69 -6951.54
-29.8096 61.7694 | 1.61717 2.03421 | -545.138 -6565.5
-29.5541 62.2003 | 4.26468 -0.853623 | -2644.65 3484.28
-29.2981 62.6317 | 1.10346 -0.688835 | 8873.69 1383.79
-29.0283 63.0579 | 0.918035 0.546753 | -4648.38 -9043.76
-28.7609 63.4766 | -0.11237 1.38583 | -14244.3 -3104.83
-28.51 63.8966 | -4.58623 2.82297 | 3277.32 4163.71
-28.2477 64.3131 | -3.1079 1.88715 | 10388.6 -1184.85
-27.9547 64.7139 | -2.74784 -1.10087 | 1036.31 4140.19
-27.6453 65.1062 | -2.98855 0.0134951 | -5724.52 1038.24
-27.3303 65.4921 | -3.54554 1.33635 | -1999.35 -653.682
-27.0022 65.8655 | -1.01481 -1.73102 | 2834.21 5286.68
-26.6494 66.2187 | 0.293077 -0.966433 | -7971.22 -8716.58
-26.2685 66.5289 | 0.380091 0.327189 | 3430.07 -5883.88
-25.852 66.7873 | 1.81772 -1.74239 | 1428.12 7030.05
-25.4117 67.0109 | 1.57986 -0.608585 | 1022.66 1445.97
-24.9532 67.1993 | 0.0204462 -0.516409 | 3425.02 57.4351
-24.48 67.3521 | 0.110478 -1.10804 | -8665.99 671.86
-24.0037 67.4731 | -0.336928 0.0814479 | -4444.37 -1125.29
-23.5241 67.5599 | 0.952134 -0.559542 | 1152.89 207.699
-23.0396 67.6139 | 2.26308 -2.29147 | -1727.15 -26.2143
-22.5527 67.64 | 1.91121 -2.03483 | 9602.96 868.174
-22.0586 67.6459 | 2.02414 -0.20229 | 498.098 2424.51
-21.5629 67.639 | 1.03022 -2.0451 | -279.773 1629.71
-21.0672 67.6182 | -0.381254 -1.1342 | 3318.46 -1976.83
-20.5707 67.5764 | 0.0349152 2.09885 | -2018.02 2633.19
-20.077 67.5152 | 0.404226 1.47659 | 2828.55 -9773.97
-19.5846 67.426 | 0.759024 1.06137 | 912.065 3130.54
-19.0912 67.3383 | 0.00871825 0.748385 | 581.615 10194.6
-18.5947 67.2682 | 0.176728 0.00316946 | 6133.22 -12057.6
-18.0945 67.1915 | 2.26551 0.692091 | -4971.96 6133.53
-17.5961 67.1289 | 2.46911 1.99273 | -5291.07 -340.511
-17.1003 67.0788 | -0.559146 3.04355 | -303.075 -1822.69
-16.6029 67.0429 | -1.6106 3.34354 | 9069.12 4621.87
-16.0975 67.0297 | 0.693216 3.02418 | 7409.95 -4779.03
-15.5861 67.0285 | 1.57624 3.92075 | -4984.47 2148.18
-15.0774 67.0471 | 0.00160522 3.21031 | 475.41 2020.09
-14.5695 67.0855 | -1.71492 -1.78932 | 2868.83 -3686.55
-14.0609 67.1367 | -2.88852 0.250992 | 431.038 1226.28
-13.5545 67.2099 | -1.18915 -1.16102 | -2972.73 4914.73
-13.0544 67.3103 | -0.256716 -1.68421 | 600.278 -7325.97
-12.5583 67.4242 | -0.35031 -2.72182 | -1396.82 523
-12.0709 67.5668 | -1.82239 -1.13622 | -1245.1 3700.65
-11.5984 67.7505 | -1.91506 1.2481 | 817.756 -6573.35
-11.1465 67.9733 | -1.12489 3.59392 | -11290.8 3265.76
-10.7372 68.2538 | -2.98641 5.68083 | -9254.26 -6306.01
-10.3742 68.5807 | -3.01589 3.42678 | 5337.31 2853.39
-10.0433 68.9464 | -3.52921 1.21854 | 8908.7 11480.1
-9.73454 69.3446 | -3.94657 1.74612 | 899.423 -4117.05
-9.44395 69.7557 | -1.35134 2.10387 | -6501.5 -1208.79
-9.17128 70.176 | -2.54342 0.126911 | 12778.8 623.408
