-28.2348 69.28 | 2.62366 -3.26612 | -5495.5 -950.45
-27.8149 69.556 | 1.35057 1.34632 | 2169.43 -1562.9
-27.3719 69.794 | -0.804675 3.39287 | 2909.21 734.758
-26.9121 69.9992 | -3.57047 3.45975 | -12787.7 -3150.76
-26.45 70.1755 | -3.83706 -0.830043 | -2705.07 1021.26
-25.9815 70.3275 | -1.95365 -1.64257 | 7859.81 2006.89
-25.4997 70.4537 | -2.5064 1.85216 | 1345.66 4083.81
-25.0092 70.552 | -3.13505 3.72878 | -66.6982 -1455.64
-24.5121 70.607 | -2.28313 3.48789 | -753.858 -7863.87
-24.0123 70.6098 | -1.98621 1.9848 | 3719.71 5554.24
-23.5111 70.5838 | -0.11976 0.558785 | -3249.81 276.509
-23.0138 70.53 | 0.291579 2.55698 | -821.742 -2758.56
-22.5197 70.4497 | -1.46703 2.15053 | 8851.68 1153.68
-22.0224 70.3544 | -0.777592 -0.121231 | -1273.12 -2093.37
-21.5279 70.2473 | -0.314725 -0.491538 | -2430.42 10269.7
-21.0377 70.1397 | -1.14319 -1.38483 | -7692.51 -5376.21
-20.5597 70.0056 | -1.69166 -0.943847 | -4219.39 -3660.14
-20.0919 69.8457 | -2.38675 2.11719 | 4605.35 -3580.21
-19.6226 69.6787 | -1.10744 1.88487 | 3282.65 5014.57
-19.1444 69.5327 | -0.340432 -0.691413 | 3116.92 465.96
-18.6574 69.4138 | -0.107018 -0.00040981 | -7521.76 -4657.85
-18.1695 69.3242 | -0.436269 1.17214 | -5463.36 10205.4
-17.6804 69.2885 | -1.3416 2.04304 | -3650.67 -7343.9
-17.1923 69.29 | 0.0472002 0.419565 | 6235.55 5622.09
-16.702 69.3382 | 1.44727 -3.01092 | 3024.07 -38.4503
-16.2131 69.4171 | 0.0405714 -1.18677 | -3050.66 -5939.46
-15.7283 69.5098 | -0.270226 -0.0560559 | 3740.93 -228.082
-15.2442 69.6211 | -1.37845 1.87838 | 6570.95 5005.72
-14.76 69.7586 | -1.49641 1.07797 | 8336.35 179.772
-14.2761 69.9157 | -1.74815 -1.67434 | -7588.11 -5415.58
-13.8046 70.0912 | -3.85744 -3.22932 | -6072.22 2354.64
-13.35 70.2974 | -2.47977 -3.38563 | 2480.72 283.479
-12.9073 70.5309 | -0.17646 0.693156 | 4399.16 -3165.09
-12.4761 70.7898 | 0.884466 2.78872 | 487.812 11515.3
-12.066 71.0889 | -1.60174 2.8642 | -2009.29 -373.461
-11.6728 71.4086 | -1.49463 -0.5586 | 3359.13 -13899.7
-11.2862 71.7299 | 0.33501 -1.86082 | -180.814 6931.97
-10.9217 72.0792 | -0.311536 0.442488 | -5526.05 6265.92
-10.5887 72.461 | -1.32796 -0.915904 | 5977.8 3221.91
-10.2711 72.8612 | 0.776016 -1.42028 | -2074.86 -1813.74
-9.96509 73.268 | -0.643835 2.55399 | -5763.12 -4365.94
-9.66373 73.672 | 1.21328 2.15833 | 3141.72 -364.814
-9.34911 74.065 | 2.51538 -0.369121 | -3768.26 -7032.93
-9.0172 74.4382 | 0.485482 -0.0598055 | 7444.79 8107.08
-8.65945 74.7979 | -0.419561 2.09849 | 10232.9 1341.21
-8.27555 75.1393 | -0.0822463 2.66953 | -6791.04 -2672.12
-7.8856 75.4694 | -0.160521 3.62066 | 4742.43 6212.47
-7.49018 75.7977 | 0.647175 4.40951 | -9517.59 -9796.64
-7.09899 76.1178 | 1.01743 5.39226 | -1657.44 5478.31
-6.70971 76.441 | 2.18887 5.3135 | 5153.11 5820.06
-6.31157 76.7586 | 4.07873 3.56823 | -16297.8 -8120.94
-5.90629 77.0459 | 3.07556 3.8291 | 1648.23 -9821.82
-5.47354 77.2794 | 2.32352 -0.0482776 | -1623.35 -306.874
-5.01997 77.4655 | 2.21007 -1.127 | -1157.94 2932.94
-4.55156 77.6142 | 2.20896 4.9339 | 11539.1 5243.18
-4.06532 77.7287 | 2.07199 4.20768 | -4740.61 -7087.56
-3.57397 77.8023 | 0.747099 0.7405 | -751.45 5324.08
-3.08095 77.8565 | -2.22584 -0.959144 | -4664.53 3871.47
-2.58854 77.8928 | -3.89521 -0.839407 | 4440.98 -5598.4
-2.09018 77.8969 | -1.18961 0.94122 | 21388.2 7393.41
-1.57883 77.8788 | 1.42728 -0.935466 | -15975.1 -4427.33
-1.08017 77.8182 | 1.85938 -0.272608 | -7596.41 -6304.49
-0.59391 77.7149 | 0.364442 -1.47452 | 7782.99 14279.7
-0.108268 77.5969 | 0.316659 -2.04626 | 1238.82 -12039.2
0.368349 77.4329 | 0.499492 0.269358 | 9290.25 -7285.17
0.838962 77.2345 | -2.1529 -0.922368 | -13849.7 12143.4
1.29493 77.0311 | -0.877332 2.60917 | -6737.06 1829.23
1.74148 76.821 | -2.45663 -0.152916 | 8131.73 -2752.1
2.19008 76.605 | -2.26329 -0.0397291 | -5397.38 -1862.13
2.63571 76.3873 | 2.39794 1.37789 | 2072.78 2554.01
3.08769 76.1828 | 1.65702 -0.180118 | -2955.84 -5425.02
3.54657 75.9958 | -0.503515 -1.5498 | 2833.96 7539.58
4.02079 75.8528 | 0.911893 -1.24176 | -538.614 -2868.35
4.50469 75.7485 | 0.37164 -0.489957 | -5906 -2974.99
4.99255 75.6874 | 0.491103 -0.0138564 | 5626.16 2453.3
5.48705 75.6853 | 0.0469812 1.34083 | -922.781 2164.15
5.9778 75.7434 | -0.162878 -0.0891553 | -4293.69 2342.73
6.4574 75.85 | 3.5032 0.251583 | -2583.33 -6570.53
6.92739 75.9781 | 1.89862 -1.53286 | -7662.33 -8333.94
7.38658 76.1209 | -1.27761 -0.275201 | 7057.08 2687.95
