19.2568 -13.8045 | 0.40974 -1.4168 | -2810.02 1069.57
19.56 -14.1967 | 3.18394 -3.71665 | 9642.01 -927.757
19.8729 -14.5863 | 3.77619 -4.31347 | -1206.57 2374.67
20.1907 -14.9707 | 0.871158 -4.22111 | -3960.65 -2300.29
20.5109 -15.3526 | -0.0335267 0.463656 | 12510.5 5006.92
20.8456 -15.7246 | -0.420972 2.36594 | -13168.5 -143.935
21.1621 -16.1048 | -2.32811 -1.88903 | -164.61 329.757
21.4659 -16.4938 | 0.0739868 0.527625 | -451.341 -157.861
21.761 -16.8898 | 2.26604 -0.402949 | 42.412 -4082.5
22.0545 -17.291 | -1.36555 -1.46796 | 5010.65 -5744.41
22.3611 -17.6897 | 0.493225 3.84797 | 1162.77 2062.81
22.6882 -18.0728 | 0.300503 1.15318 | 8713.66 -947.13
23.0406 -18.4373 | 0.377389 1.7122 | -13958.9 6598.21
23.3973 -18.786 | -0.855305 2.12911 | 1434.71 -9559.24
23.7705 -19.1254 | 0.374863 2.03443 | 22171 -2655.16
24.1822 -19.4369 | -1.1317 2.77518 | -17006.5 3000.51
24.6028 -19.7197 | -3.98412 -2.47358 | -3823.93 6141.73
25.0404 -19.9623 | -2.11255 -0.178593 | -1155.28 6393
25.4957 -20.1633 | 1.8655 0.72065 | 1957.31 -10572.3
25.9654 -20.3428 | 3.21027 0.164048 | 16802.9 -1199.26
26.4578 -20.4862 | -0.990115 0.67403 | -15510.3 6731.71
26.9509 -20.5861 | -2.17393 2.93663 | 644.651 2093.88
27.4482 -20.6518 | -1.25922 2.07187 | 2037.39 4925.43
27.9465 -20.6996 | -0.232739 0.0700343 | -16775.8 -13441.4
28.4329 -20.7663 | 2.60289 2.07561 | 9380.08 225.876
28.9248 -20.8299 | 0.995194 2.82153 | 924.789 12718.2
29.4191 -20.8719 | 1.39487 -3.23251 | -3644.32 -6841.01
29.9098 -20.926 | 2.68737 -1.48119 | -4475.99 -8136.81
30.3965 -20.9974 | 0.444972 -1.95333 | 6923.11 2358.92
30.8893 -21.0569 | -2.47919 -0.138943 | 5932.26 9410.55
31.3872 -21.0878 | -3.45842 -2.32715 | -15030.8 -1608.09
31.8757 -21.1125 | -1.17485 -3.89137 | -2599.45 -3813.86
32.3616 -21.1452 | -2.0491 -2.07157 | 11073.4 -1590.15
32.8537 -21.1834 | -1.47056 -0.0977421 | -6314.28 7972.83
33.3437 -21.2198 | 1.29498 -3.00678 | 8696.38 -4164.27
33.8383 -21.2781 | 0.676893 -3.15148 | 7956.09 -4398.19
34.335 -21.367 | -0.690934 1.45335 | -1980.16 5897.91
34.8253 -21.4813 | -0.859227 2.08305 | -1763.89 -7244.11
35.3033 -21.6378 | -1.96699 0.93664 | -3983.89 4637.47
35.7672 -21.8242 | 0.368465 -1.86193 | 4478.97 -3125.93
36.2202 -22.0428 | -1.81711 -2.00201 | -135.912 340.512
36.6591 -22.2879 | -1.21534 -0.195281 | -2035.73 9339.13
37.0803 -22.5547 | 2.59698 -2.10827 | 1742.3 -7588.07
37.4736 -22.866 | 0.732237 -2.54308 | -2181.77 -564.987
37.8295 -23.2192 | 0.265752 1.48353 | -394.38 -3255.68
38.1478 -23.6088 | 1.18427 2.43474 | -203.437 495.129
38.4349 -24.0223 | -0.683725 -0.384858 | 3409.38 160.698
38.6999 -24.4515 | 0.126773 -1.04788 | 1446.07 1080.8
38.9412 -24.8934 | -0.704227 1.59178 | -14386.6 2870.89
39.1493 -25.3455 | -0.804898 2.91944 | 11109 9.6594
39.3627 -25.7978 | 2.63861 -0.233221 | 8100.69 -389.414
39.5804 -26.2507 | 0.127476 -4.71908 | -16465.2 2170.6
39.7731 -26.7098 | 0.611362 -1.9644 | 12278.2 -5030.66
39.9696 -27.1726 | 0.201621 -0.367731 | -6213.82 3031.83
40.158 -27.6346 | -0.525838 1.15053 | -3353.45 10102.8
40.3452 -28.0894 | -0.24786 -1.48545 | 9785.16 -2027.69
40.5409 -28.5447 | 1.99818 -5.03179 | -3632.87 -12360.9
40.7207 -29.0134 | 0.398918 -5.01123 | -5993.94 3741.91
40.8852 -29.484 | -1.72028 -2.93891 | -671.511 9084.74
41.0536 -29.9468 | -6.65697 -4.18932 | 996.719 -3013.24
41.239 -30.4053 | -4.07607 -5.29553 | 6121.5 -6118.39
41.4526 -30.858 | 1.90543 -3.31516 | 1769.81 -430.24
41.6896 -31.3006 | 2.76417 0.722508 | -2581.78 2913.38
41.9405 -31.7334 | -0.126425 0.573384 | -3764.81 -8152.6
42.2026 -32.1623 | -4.58591 -1.52603 | 510.504 8054.91
42.4924 -32.5684 | -4.89714 -0.643447 | 4566.54 362.92
42.8143 -32.9512 | -1.29486 -0.127401 | -2996.33 -4993.07
43.1578 -33.3165 | 2.27792 -0.958924 | 588.066 2905.07
43.5271 -33.6544 | 0.639087 -0.422476 | -2488.27 -2079.74
43.9207 -33.9639 | 1.3767 3.03772 | 6389.87 -4388.13
44.3461 -34.2357 | 2.6399 1.45575 | -352.864 11002.4
44.7978 -34.4516 | 3.30518 -2.194 | -11826.9 -1597.61
45.2577 -34.6307 | 3.3578 -1.60126 | 849.324 -3913.51
45.7302 -34.7761 | 0.340972 -1.94277 | 8497.57 2391.34
46.2188 -34.8782 | -0.19145 0.651962 | -4874.03 861.311
46.711 -34.9437 | -0.397765 -0.155045 | -2417.34 954.432
47.2046 -34.9825 | -1.69392 -1.92597 | 4699.55 -5022.87
47.7029 -35.0094 | -3.80456 -0.402032 | 6443.89 -3119.92
48.2066 -35.0202 | -2.8161 0.474365 | -1492.46 3838.8
48.7088 -34.9994 | -1.86519 0.384904 | -6082.19 10929.8
49.2049 -34.9464 | -2.09992 1.35447 | -1072.04 -10132.9
49.7004 -34.9051 | -0.274558 -0.869616 | 1869.55 -829.273
50.1979 -34.8795 | 0.00339339 -3.78448 | 296.5 5489.52
50.6963 -34.8694 | -2.25275 -1.65617 | -318.902 -14256.7
51.1942 -34.8964 | -2.07476 -2.35329 | -639.783 14397.9
51.691 -34.9244 | -3.94952 -4.81415 | 2229.83 -4369.91


-85.4366 -26.1355 | -3.95755 -0.00156969 | -1047.28 -2597.76
-84.9433 -26.0642 | -1.47533 -0.839891 | -3189.49 3606.8
-84.4511 -25.9907 | -3.20971 -1.10474 | 10652.8 1679.99
-83.9513 -25.925 | -0.802237 -1.57139 | -5785.54 885.904
-83.4534 -25.8802 | 1.15768 0.863245 | -11348.6 -6777.28
-82.9615 -25.8743 | 5.1369 0.909473 | 7137.88 769.81
-82.4667 -25.8986 | 1.41634 2.66616 | -5420 2044.97
-81.9749 -25.9457 | -2.60162 1.81684 | 15789.6 -10275.4
-81.4746 -26.0154 | 3.098 5.57579 | 2668.8 19621.2
-80.9716 -26.0711 | 5.45849 2.69578 | -10577.1 -4984.69
-80.4786 -26.1532 | -0.379919 2.58516 | 1247.4 -7741.98
-79.9943 -26.278 | -4.59271 3.23746 | -2395.17 9711.92
-79.5216 -26.4305 | -4.11615 3.34122 | -2778.11 -6614.97
-79.0673 -26.6291 | -3.13246 -1.34898 | -181.63 -727.47
-78.6298 -26.8627 | 1.64298 0.109059 | 773.55 4087.36
-78.2036 -27.1165 | 1.4914 -1.1017 | 5507.2 -6726.87
-77.7846 -27.3917 | -2.27808 -1.40673 | 1768.23 9116.12
-77.3718 -27.6735 | 0.490921 1.4315 | -7375.39 -13184.1
-76.9757 -27.9797 | -0.320741 0.643329 | 5314.17 5636.95
-76.5739 -28.277 | -0.566084 -0.697975 | -2763.59 16566.3
-76.1655 -28.5539 | -3.09451 2.14648 | 6146.6 -13994.3
-75.7608 -28.8497 | -4.00031 -2.25318 | -4459.05 -69.773
-75.3711 -29.164 | -1.49981 5.94377 | 1035.72 -3992.32
-74.991 -29.4947 | -4.87956 -0.270715 | 14136.1 -3220.77
-74.6088 -29.8326 | -2.91924 3.83149 | -24562.5 11296
-74.2507 -30.1721 | -1.67012 3.65228 | 4898.33 8433.65
-73.8938 -30.5082 | -2.84811 1.09113 | -1172.6 -16559.7
-73.5436 -30.8612 | -0.00662116 1.87929 | 4612.18 2605.19
-73.1804 -31.2044 | -1.2609 -0.691049 | 1190.14 -5903.16
-72.7974 -31.5271 | 0.609222 -0.096083 | -11776.7 16401.4
-72.3909 -31.7979 | -0.639509 3.0337 | 11351.1 1436.63
-71.9533 -32.0226 | -2.90644 2.17324 | -17801.9 -8780.99
-71.5115 -32.2245 | -1.12238 4.268 | 15014.7 10238
-71.045 -32.383 | -3.04499 1.84105 | 4887.82 -16858.2
-70.5685 -32.533 | -0.743051 -0.0206886 | -12385.7 7428.14
-70.0899 -32.6523 | 1.01022 1.67136 | 21109.7 355.967
-69.593 -32.7426 | 3.35358 1.06426 | -10547.4 -7347.46
-69.0992 -32.8175 | -1.47554 2.63683 | -12308.4 -3458.49
-68.6106 -32.8598 | -2.03316 3.36281 | 3029.57 18427.6
-68.1189 -32.8353 | 1.78444 -3.57149 | 13311.3 -18775.9
-67.6208 -32.7878 | 0.502981 3.2981 | -5636.51 9024.75
-67.1327 -32.6857 | 2.75093 0.436017 | -2174.61 7997.27
-66.6558 -32.5361 | -3.07043 -1.98928 | 13162.8 -12905.4
-66.1755 -32.3768 | -2.31258 0.425192 | -805.114 9719.76
-65.7053 -32.1866 | 0.684446 2.05517 | -6293.14 -13168.1
-65.2512 -31.981 | 1.54835 -4.24778 | -9537.02 176.549
-64.8261 -31.7372 | -0.576523 0.26344 | -9387.88 -830.399
-64.4345 -31.4508 | 6.20618 -0.123733 | 15965.9 6469.55
-64.0561 -31.1286 | 4.32325 -0.0926811 | 8520.33 10625.4
-63.6939 -30.7752 | 2.9494 -5.03525 | -16399.2 -11227.5
-63.3582 -30.4131 | 0.562214 1.23401 | -6028.15 -4058.45
-63.0266 -30.0541 | 2.75251 3.48949 | 21166 404.29
-62.6674 -29.7093 | 5.2211 1.77835 | -9138.72 6235.3
-62.3083 -29.364 | 2.99029 0.293638 | 940.137 181.617
-61.9401 -29.0271 | -2.08768 0.265577 | 7781.1 -975.111
-61.5551 -28.7062 | 4.80682 -1.02845 | -22235.1 3487.74
-61.1714 -28.3989 | 0.838075 0.445336 | 13235.8 -10444.2
-60.7499 -28.1418 | 1.0223 -0.474558 | 5347.48 6259.38
-60.3016 -27.9232 | -0.735469 6.46187 | -9679.15 3688.74
