66.1198 -13.4191 | 1.52298 -3.57175 | 890.195 378.863
66.3842 -13.8376 | 2.06286 -3.27838 | 1569 -116.701
66.6275 -14.2697 | 2.0052 -3.34231 | 1444.11 -656.267
66.8551 -14.7117 | 1.19583 -3.86114 | 649.361 -946.245
67.0696 -15.1614 | 0.188161 -4.50993 | 49.8065 -1045.28
67.2737 -15.6169 | -0.434127 -4.96047 | -161.275 -816.448
67.4717 -16.0758 | -0.525046 -5.10678 | 4.60139 37.3178
67.6699 -16.5347 | -0.238114 -4.98744 | 257.881 1063.11


-34.2255 66.5709 | 4.04817 2.60643 | 728.015 -1216.11
-34.1783 66.0716 | 4.30419 2.02616 | 903.543 -895.867
-34.1063 65.5746 | 3.95473 1.26626 | 26.6119 -424.598
-34.0117 65.0809 | 2.88378 0.425494 | -587.793 66.5123
-33.8968 64.5916 | 1.35511 -0.523739 | -450.363 -212.571
-33.7618 64.1074 | 0.265689 -1.25437 | -754.677 -630.236
-33.6048 63.6296 | -0.170076 -1.51744 | 172.977 -54.2604
-33.421 63.1611 | -0.263863 -1.55612 | 669.209 -35.3384
-33.2064 62.7057 | -0.741401 -1.92835 | 1443.56 -213.224
-32.959 62.2664 | -1.46964 -2.76016 | 713.86 -587.821
-32.6812 61.8448 | -1.55287 -3.36584 | -905.308 -528.875
-32.3762 61.4426 | -1.11607 -3.39931 | -242.853 1058.17
-32.0434 61.0643 | -0.279872 -2.77401 | 26.6545 1111.48
