-30.8125 -19.4378 | -2.79164 -3.00158 | -3517.61 -8266.65
-30.3273 -19.35 | -3.25014 0.494379 | 2768.77 452.496
-29.8321 -19.3161 | -2.23707 -0.318047 | 13946.5 5751.93
-29.3266 -19.3226 | 0.097593 -0.578784 | -11301.1 -1898.01
-28.83 -19.3763 | -0.881305 0.62004 | 894.232 -4507.86
-28.3407 -19.4747 | -0.850081 -1.17123 | -2471.36 7639.81
-27.8598 -19.5962 | 1.09178 1.82103 | -3408.16 1280.78
-27.3895 -19.7461 | 0.0577538 2.65798 | 3738.91 -8196.56
-26.9278 -19.9305 | -0.0574454 0.0423065 | 1224.09 9890.22
-26.4723 -20.1264 | -0.874495 -1.64952 | -3460.41 -4061.84
-26.0298 -20.3473 | -1.28866 -2.7895 | 1459.03 -180.06
-25.5971 -20.5872 | 0.493656 -4.65916 | -2312.55 7519.29
-25.1752 -20.8387 | 0.455635 -2.96628 | 302.974 -3975.68
-24.7676 -21.1162 | 0.360862 -1.44851 | 7300.26 -6809.71
-24.3717 -21.421 | -2.52637 -0.91001 | -5668.66 10.1383
-23.9914 -21.7421 | -1.91615 -0.15063 | -2304.98 804.441
-23.6132 -22.0635 | 1.29792 0.288918 | 9045.46 3922.08
-23.2188 -22.3692 | 1.77919 1.01241 | -1330.34 388.484
-22.8184 -22.6654 | 1.91373 -0.729455 | -9518.83 -3704.84
-22.4197 -22.9582 | 1.60324 -1.40393 | 7849.27 3673.77
-22.0041 -23.2311 | -0.186872 -0.723152 | 135.913 -428.209
-21.5771 -23.4879 | -2.36443 -2.54381 | 57.672 -4595.12
-21.1412 -23.7342 | -0.639571 0.742326 | 6436.84 -865.822
-20.6909 -23.9622 | 1.9687 -0.962612 | -6358.88 -1728.61
-20.233 -24.1682 | 2.31918 -1.86738 | 3469.75 4252.83
-19.76 -24.3366 | 0.914257 0.862639 | -3516.02 -1872.74
-19.2783 -24.4687 | -0.291749 1.84842 | -6432.08 4805.21
-18.7918 -24.5559 | -1.43078 1.67574 | 2725.51 -2277.86
-18.2991 -24.6059 | -0.193921 1.3386 | -3965.51 -4675.93
-17.8055 -24.62 | 0.449032 3.42581 | 8513.69 5632.42
-17.3074 -24.5826 | -0.0866601 -1.73225 | 2653.57 -680.894
-16.8126 -24.502 | -0.144949 -4.68905 | -7950.32 -3543.26
-16.3309 -24.3845 | -0.0369082 -4.6912 | -408.817 4568.21
-15.8613 -24.2276 | 1.15006 -5.16005 | -2030.73 -7212.5
-15.4025 -24.0496 | 1.42669 -2.16464 | -478.45 46.6628
-14.9546 -23.8455 | 1.22442 -0.974421 | 4135.74 9451.66
-14.515 -23.6117 | 1.67686 -0.0290265 | 5519.52 -6952.09
-14.0755 -23.3734 | -0.502662 3.71727 | -582.707 2104.58
-13.6415 -23.1242 | -1.42719 2.02013 | -1951.91 1025.41
-13.2147 -22.8657 | -1.88598 -0.261508 | -4580.84 -3171.08
-12.7937 -22.6061 | -2.34487 -1.64366 | -2660.59 -1051.64
-12.3735 -22.3505 | 0.0930305 -2.85021 | -131.651 -3325.82
-11.9484 -22.1053 | 0.749053 -2.39869 | 4660.36 1620.65
-11.5161 -21.8651 | -1.95655 2.22341 | 2441.55 7790.12
-11.0795 -21.6227 | -1.39712 3.23694 | 1829.2 -1893.2
-10.6352 -21.393 | -0.845808 1.76504 | -1179.62 -4531.19
-10.1852 -21.1814 | -2.85692 1.89092 | -7690.54 -2442.86
-9.73688 -20.9793 | -2.03618 1.44338 | 3757.6 1714.51
-9.28613 -20.7765 | 1.79667 -0.348964 | 5438.23 4123.47
-8.83359 -20.5651 | 1.11123 1.33828 | -37.1539 9300.24
-8.38207 -20.3448 | -2.79387 3.33239 | -5257.38 -7259.2
-7.92561 -20.1464 | -2.34841 2.72011 | -1050.57 -4033.68
-7.45763 -19.9806 | 2.30177 -0.971869 | 12429.7 2785.09
-6.97268 -19.843 | 2.10005 -0.550391 | -7990.05 4082.05
-6.4857 -19.7303 | 0.133187 -0.845146 | -6545.09 -3043.71
-5.997 -19.6588 | -1.01749 -1.73266 | -469.164 -5514.55
-5.50586 -19.6353 | -0.618188 -0.00784132 | -6707.32 5207.21
-5.0179 -19.6421 | 3.64439 -0.456483 | 9088.03 1632.86
-4.52535 -19.68 | 3.35511 -0.0738719 | 4288.99 -5831.64
-4.033 -19.7547 | 0.648325 1.01654 | -3408.07 4701.51
-3.54584 -19.8485 | -0.30426 0.0442785 | 2073.27 -427.843
-3.06137 -19.9603 | -0.795207 0.597431 | 2158.57 -951.603


7.82031 44.4452 | -0.726277 -4.10798 | 2685.56 -71.1871
8.31176 44.3409 | -1.45426 -2.69129 | -2228.46 -4709.59
8.80795 44.268 | -0.880013 -0.869041 | 2422.45 4049.14
9.30982 44.247 | 0.178165 -1.65623 | -2298.6 9568.37
9.80995 44.282 | 1.81864 0.113084 | 2188.17 -9489.57
10.3084 44.3385 | 2.39513 -0.216168 | -3875.48 -4230.43
10.8001 44.4196 | 0.422855 2.04358 | -4041.88 10361.6
11.2807 44.5425 | -1.54717 2.40464 | -1655.63 -8534.23
11.7543 44.6794 | -0.473632 -1.62901 | 1927.07 -7226.76
12.2217 44.8331 | -1.06216 -1.66154 | -6370.46 9564.29
12.6709 45.0318 | -1.98839 -0.315852 | 12527.5 -2143.23
13.1126 45.2608 | -1.597 -2.19168 | -7003.09 596.255
13.532 45.5231 | -1.41823 -2.15075 | -533.216 2648.79
13.9342 45.8123 | 1.38125 -1.60555 | 6404.33 -4227.21
14.3303 46.1124 | 1.01302 -1.33532 | -6418.77 740.922
14.7122 46.4276 | -0.724719 -3.3369 | 5901.66 8961.48
15.0924 46.7545 | -2.07852 -2.80191 | 1415.57 -8147.27
15.4797 47.0699 | -3.87697 -0.552841 | -4150.88 4074.33
15.8714 47.378 | -2.8199 -1.07978 | 2445.91 -8602.06
16.2776 47.6641 | -3.39511 0.251245 | 3195 7041.75
16.6932 47.9442 | -3.53373 0.49266 | -2478.7 4198.2
17.1144 48.2161 | -1.97382 -0.621606 | -2767.66 -9332.03
17.5469 48.461 | -1.72205 1.85579 | 3285.87 1766.9
17.9919 48.6885 | 0.660914 1.69649 | 6270.68 7698.37
18.4479 48.9071 | 0.589398 3.24969 | -5654.75 -2108.63
18.9094 49.1051 | 2.2218 0.909565 | -509.886 -6577.48
19.3792 49.2735 | 1.51573 -2.02494 | -6582.31 2137.63
19.8509 49.4253 | 0.465791 0.65559 | 4610.02 4355.06
20.3314 49.5612 | 1.03016 2.95976 | 8410.59 -1841.19
20.8233 49.6692 | 3.3342 -0.514688 | -15553.6 1304.22
21.3106 49.7496 | 4.45138 -0.998746 | 145.599 -2623.14
21.8009 49.7916 | 3.50352 -0.350698 | -102.964 -3329.84
22.2931 49.7962 | 2.94569 -0.287054 | 3489.76 7709.87
22.7881 49.7803 | 4.21273 0.111913 | 4715.98 -3123.38
23.2848 49.7314 | 0.723944 1.56611 | -277.045 -3833.83
23.7789 49.6501 | 0.680635 3.58668 | 7139.45 855.131
24.274 49.5518 | 0.744579 1.3343 | -4625.21 9921.46
24.7634 49.446 | -1.48603 -2.10715 | -6437.62 -10235.5
