-10.3928 -22.2132 | 1.90268 -0.0780745 | -1812.64 888.067


2.92031 48.6216 | 2.39122 2.75159 | -4433.92 1695.22
3.41482 48.6383 | 1.60676 2.53444 | -4723.23 -500.749
3.90725 48.6351 | 0.615694 3.02482 | 6663.16 1248.78
4.40442 48.6179 | -0.83296 1.56989 | 7577.69 -5281.5
4.90694 48.5878 | -1.53927 -1.91616 | -806.53 3530.63
5.40934 48.5661 | -0.409361 -0.348872 | -6079.33 6918.21
5.90721 48.5605 | 0.324654 2.72618 | -6085.99 -3063.38
6.40045 48.5517 | -1.01134 1.25476 | 2951.18 -3236.81
6.89526 48.5327 | -1.33126 1.71488 | 4997.77 -80.9628
7.39371 48.5098 | 1.11525 3.59591 | 120.942 -4437.98
7.89304 48.4878 | 2.06108 3.55238 | -566.679 6191.6
8.39241 48.4871 | 0.657004 2.17911 | -831.192 -3564.22
8.89105 48.5011 | -0.398264 -1.16637 | 1052.06 -2873.8
9.38947 48.5362 | -0.254738 -1.21907 | 2733.48 4708.43
9.88581 48.61 | -0.180861 -0.486814 | -778.174 -2727.64
10.3746 48.7211 | -0.0384211 -1.02686 | 110.76 4322.59
10.8506 48.8784 | 1.15229 -1.9962 | -6780.32 776.84
11.3081 49.0727 | 2.00812 -1.27461 | -510.638 -5868.98
11.755 49.2851 | 0.696807 1.03823 | 4116.91 1705.94
12.1945 49.5163 | -0.233286 1.45511 | -4969.22 -4561.77
12.6211 49.7624 | -0.535783 0.625544 | 2566.49 -5447.48
13.0347 50.0281 | -3.15865 3.90083 | -313.278 7851.08
13.4213 50.3353 | -3.12506 2.76484 | -5594.03 1329.53
13.7768 50.6763 | -0.756966 -0.628548 | 5975.1 -2390.78
14.119 51.0333 | 1.3154 -0.668851 | 2123.47 1229.15
14.4498 51.4039 | 3.13793 -1.08968 | 1290.36 2367.47
14.7694 51.7866 | -0.375362 -0.495465 | -3020.57 993.444
15.0788 52.1759 | -1.18273 -1.80712 | -3111.58 -7467.57
15.3887 52.5584 | 0.436454 -3.04179 | 7157.07 -465.169
15.7099 52.9354 | 0.272167 -0.374759 | 3756.31 5947.36
16.0311 53.319 | 0.746388 0.340402 | -7759.13 3972.27
16.3393 53.7124 | -0.0717795 0.12378 | -491.324 -956.245
16.6509 54.1016 | -0.544868 1.93222 | 373.623 -4447.67
16.9814 54.4723 | 2.19118 1.44751 | 4875.3 2010.94
17.3385 54.8221 | -0.0778473 2.87156 | 1814.4 118.196
17.7184 55.1495 | -2.9959 3.82747 | -1377.59 431.396
18.1145 55.4571 | -1.98228 2.36667 | -278.398 3273.58
18.5257 55.746 | 0.0112704 1.63722 | -923.605 -1194.68
18.9549 56.0062 | -0.0743653 1.60326 | 2529.15 908.024
19.4052 56.2306 | -1.88376 2.17968 | -2276.23 -1886.17
19.8726 56.41 | -2.13378 2.83731 | -4180.74 -7033.84
20.3529 56.5392 | -1.77224 2.89286 | 7029.63 6162.58
20.846 56.6378 | -0.336424 2.41998 | 1928.39 3616.93
21.3465 56.7066 | -0.898763 3.85724 | -844.595 -2991.78
21.8504 56.7336 | -1.54338 1.29471 | -1708.87 -1119.13
22.3531 56.7179 | -1.1258 -3.41791 | -3120.42 2728.64
22.8508 56.6626 | -1.64232 -2.31414 | 3985.94 -4353.39
23.3435 56.5607 | -2.0052 -0.391252 | -4631.32 -1700.1
23.8246 56.4211 | -1.34982 -2.39955 | 2789.76 6583.63
24.2998 56.2613 | -0.260697 -2.1055 | 1793.73 -4724.86
24.7654 56.0719 | 0.352815 -1.68111 | -8793.2 158.293
25.2159 55.861 | 0.417404 -0.722258 | 2524.97 7730.12
25.6624 55.6442 | 1.55753 -0.888779 | 3417.39 -4195.55
26.1033 55.4081 | 1.11698 -3.97714 | 800.394 -8122.69
26.5361 55.1498 | 1.11286 -3.12525 | 2744.79 1180.81
26.9695 54.8905 | 2.6872 -2.05796 | -5700.78 5794.62
27.4048 54.6451 | 1.96042 -2.06512 | -452.897 -1223.94
27.8477 54.4158 | 1.03202 -1.01916 | -827.895 2588.29
28.3016 54.2119 | 1.96321 -1.15735 | 1729.83 4001.16
28.7677 54.0344 | 3.18831 -0.632378 | 8775.35 -7543.48
29.2452 53.8657 | 3.05714 -3.42163 | -1603.62 -4069.93
29.7274 53.7077 | 1.19206 -3.07019 | -249.488 5174.9
30.2165 53.5777 | -1.08421 1.13266 | -1055.8 3442.63
30.7106 53.4749 | -1.37273 -0.550153 | -2575.3 -7743.08
31.2071 53.3865 | -0.144378 0.168709 | 6729.41 4000.57
31.7116 53.3312 | 1.18485 1.50308 | -5173.39 4350.45
