-30.3299 -38.5814 | -0.710854 -2.52991 | -4697.19 3532.06
-29.8386 -38.6191 | -0.149461 -3.90275 | -917.85 -3468.3
-29.3526 -38.6973 | -1.62095 -2.56238 | 3570.11 -2831.04
-28.8691 -38.805 | -2.9562 -0.87912 | 2574.72 2834.7
-28.3851 -38.9207 | -3.12772 -0.0841438 | 2695.31 348.976
-27.8982 -39.0362 | -2.56536 0.227927 | 4065.04 -2940.48
-27.4062 -39.1467 | -2.4287 -1.07747 | 3953.74 98.9815
-26.9075 -39.239 | -2.69102 0.280773 | -1312.09 5362.44
-26.4058 -39.3018 | -3.38154 2.39566 | -5559.19 1696.33
-25.9058 -39.3426 | -3.91781 2.84422 | -441.609 -688.345
-25.4057 -39.3739 | -2.53316 2.98987 | 2291.55 -4017.99
-24.9039 -39.405 | -0.304193 2.59859 | 242.28 -266.028
-24.4012 -39.43 | -0.116125 -0.170917 | 1369.8 1430.42
-23.897 -39.4422 | -0.492 -2.65676 | 101.522 -1528.19
-23.3927 -39.4407 | -0.516095 -3.4107 | -1748.94 -3230.48
-22.8905 -39.4188 | -0.908168 -3.69505 | -3085.25 5922.03
-22.3936 -39.3571 | -1.24337 -4.32614 | -43.6829 2111.28
-21.9017 -39.2606 | -1.24768 -2.91107 | 5523.73 -4423.17
-21.4115 -39.1424 | -0.703918 -1.27533 | -757.517 1300.52
-20.9294 -38.9953 | 0.20849 -2.18528 | -4583.02 1764.6
-20.4601 -38.8181 | -0.55735 -0.549406 | 1551.63 -2185.22
-19.999 -38.6193 | -1.55385 2.29613 | 3657.37 330.505
-19.5451 -38.3976 | -0.725979 2.04003 | 2618.86 4309.67
-19.1017 -38.148 | -0.216388 1.15568 | 1394.57 2189.26
-18.6702 -37.8752 | -1.21584 1.42235 | -1748.46 -3511.29
-18.2515 -37.5879 | -1.69005 1.63114 | -4077.81 -3148.06
-17.8488 -37.2862 | -0.717135 1.45593 | -3404.39 -2623.2
-17.4641 -36.968 | 0.925769 1.53727 | -3019.55 985.426
-17.0982 -36.6302 | 2.06993 0.756596 | 1492.82 3291.03
-16.7432 -36.2773 | 0.813519 1.32237 | 6598.83 -911.322
-16.389 -35.9192 | -0.530509 1.94667 | -2123.95 813.966
-16.0426 -35.5536 | 0.458948 0.103399 | -2634.99 3567.85
-15.7027 -35.181 | 1.78103 -0.676425 | 4915.16 -3656.34
-15.356 -34.8142 | 1.45874 0.815705 | 789.877 -685.074
-15.007 -34.4501 | 2.25824 -0.471528 | -7013.62 1613.95
-14.6651 -34.0841 | 2.0921 -3.38754 | -2050.09 -7186.3
-14.3208 -33.7271 | -0.825429 -4.23801 | 1931.42 -895.709
-13.9705 -33.3757 | -0.415788 -5.38653 | 427.348 6260.84
-13.6177 -33.0221 | -1.19518 -3.01865 | 508.315 1250.32
-13.2585 -32.6734 | -2.72224 -0.560046 | -1909.13 -782.018
-12.8883 -32.3385 | -1.72049 -2.42505 | -3060.33 -2287.22
-12.5012 -32.028 | -1.58569 -2.35852 | 772.484 752.581
-12.0894 -31.7505 | -2.58597 1.05699 | 1990.08 1942.09
-11.6498 -31.5168 | -2.55041 1.12741 | -350.173 -5757.02
-11.1855 -31.3416 | -3.02638 1.12492 | -2151.96 520.656
-10.7059 -31.2168 | -1.80114 1.67702 | 4455.37 4269.46
-10.2128 -31.1342 | 0.882559 -2.59324 | 6641.43 -1726.71
-9.70925 -31.0977 | 1.57608 -3.65014 | 229.703 -1577.06
-9.20456 -31.1015 | 0.925691 -0.255637 | -10020.1 -2765.34
-8.70834 -31.1335 | 0.518856 0.936183 | -5853.74 3818.56
-8.21759 -31.1688 | 1.14449 3.3129 | 2992.29 5110.86
-7.72478 -31.1966 | 1.66141 5.82233 | 3675.38 -847.713
-7.22842 -31.2271 | 0.964841 6.06584 | 5743.63 2958.44
-6.72802 -31.268 | -0.200637 6.17854 | 2798.55 -7063.1
-6.22794 -31.3394 | -1.3917 3.65624 | -984.253 -4635.48
-5.7316 -31.4348 | -1.84629 1.14928 | -794.776 5586.35
-5.23666 -31.5305 | -0.50806 0.952816 | -1420.53 204.965
-4.74239 -31.624 | 0.0128782 -1.15037 | 1069.71 -1235.72
-4.24663 -31.7128 | -0.437329 -4.47545 | -104.422 1130.09
-3.74924 -31.7897 | -0.490091 -3.84362 | -2113.54 455.432
-3.25132 -31.8518 | -0.895773 -2.1973 | 574.835 -1305.6
-2.75184 -31.8971 | -1.54185 -0.627698 | -3177.99 -2064.52
-2.25353 -31.918 | -1.13864 -0.991194 | -4264.51 391.798
-1.75889 -31.8989 | 0.796442 -0.883119 | -1780.41 6227.65
-1.27016 -31.8272 | 2.37151 -0.368903 | 2140.54 -2725.32
-0.786625 -31.7182 | 2.75377 1.27755 | 4435.88 -1136.73
-0.30815 -31.5771 | 3.37038 1.80503 | 678.894 122.887
0.16029 -31.4028 | 4.1911 1.58037 | -117.198 168.521


-40.9701 62.9884 | -3.61274 6.03273 | -1684.6 3616.21
-40.582 62.6781 | -3.3367 4.96654 | 1572.62 -2107.12
-40.182 62.3797 | -1.52695 4.69203 | 3224.14 -1485.56
-39.7708 62.0926 | -0.589593 3.79068 | -1607.44 430.973
-39.3539 61.8158 | -2.02686 1.67087 | -5632.93 -2262.09
-38.9344 61.5481 | -3.55649 2.50094 | -559.982 1598.38
-38.5025 61.3031 | -3.14725 4.89097 | 1991.28 1219.75
-38.0528 61.0908 | -1.86844 4.0576 | 2298.44 -378.288
-37.5863 60.914 | -0.638784 2.49174 | -402.379 1712.49
-37.1085 60.773 | 1.14186 3.56364 | -2705.72 -443.239
-36.6252 60.6608 | 1.79506 1.37203 | -2123.86 79.1945
-36.139 60.5724 | 1.60727 -2.12189 | -1793.6 -1523.83
-35.6513 60.5024 | 1.76551 -1.52784 | -523.813 -3147.3
-35.1617 60.4512 | 1.77836 -2.94214 | -1079.26 -951.214
-34.6707 60.4303 | 2.47558 -4.49341 | 991.121 3683.28
-34.1787 60.4528 | 2.83647 -1.13945 | 3855.93 1883.24
-33.6867 60.5138 | 2.86022 1.07821 | 2831.76 320.931
-33.1956 60.6001 | 3.90539 0.198367 | 733.019 -2295.81
-32.7058 60.6976 | 4.46579 -0.347252 | 1158.86 -1741.02
-32.2164 60.8016 | 3.93339 1.18573 | 2842.95 -3053.98
-31.7273 60.9154 | 2.18607 3.29596 | 2447.22 2384.02
-31.2429 61.0555 | 0.437221 4.1173 | -780.578 7823.63
-30.7688 61.2321 | -0.469071 4.12874 | 401.092 32.479
-30.3011 61.4276 | -0.495266 2.94549 | 2349.15 -1880.9
-29.8335 61.627 | 0.968 -0.163571 | 1039.83 544.881
-29.3644 61.8255 | 1.44665 -3.24112 | -38.3447 -196.419
-28.8927 62.0176 | 0.1074 -2.29547 | -1225.4 164.618
-28.4174 62.1985 | -0.0811264 0.319317 | -189.767 -1598.64
-27.9362 62.3609 | 0.459876 0.794162 | 326.713 826.539
-27.4483 62.502 | 0.146714 2.44328 | -1185.96 695.42
-26.9545 62.615 | -0.206221 4.44334 | -4207.5 -3721.46
-26.4574 62.6879 | 0.458768 4.15315 | -4066.45 -757.2
-25.9597 62.7196 | 1.58862 2.85572 | -1858.88 -1366.42
-25.4631 62.7115 | 0.412554 1.28914 | -467.823 2194.87
-24.9689 62.6711 | -1.61663 0.915919 | -496.409 3498.95
-24.4793 62.5992 | -2.42088 0.703235 | -1312.24 -258.948
-23.9991 62.4852 | -2.97084 -0.900713 | -1059.47 -2012.6
-23.5334 62.3232 | -3.07783 -1.4376 | 237.984 40.3083
-23.0843 62.1197 | -2.71942 -0.141043 | -222.33 1014.57
-22.652 61.8834 | -0.822627 1.43166 | -958.315 -65.3256
-22.2349 61.6215 | 1.29434 0.846816 | -16.7732 -2728.22
-21.8266 61.3437 | 1.47969 0.8652 | 4451.55 40.3014
-21.4134 61.0674 | 1.52949 3.15227 | 5056.58 -973.513
-20.9878 60.802 | 0.260374 2.89959 | 4821.52 -1403.19
-20.5477 60.5517 | -0.763941 0.657333 | 5002.3 211.633
-20.0941 60.3177 | -0.151329 0.343306 | 2336.51 -289.196
-19.633 60.0941 | 0.104468 0.934867 | -2361.81 1437.41
-19.1726 59.8741 | 1.04331 1.98455 | -4821.22 1580.59
-18.7194 59.6489 | 1.8617 2.22306 | -3824.22 -3937.74
-18.2753 59.4098 | 1.1937 -0.482148 | 1014.95 122.302
-17.8329 59.166 | 1.01656 -0.949136 | 2762.08 1639.5
-17.387 58.925 | -0.106423 -0.418875 | 3168.77 -3317.01
-16.937 58.684 | -1.33189 -1.22128 | 2335.57 -3120.06
-16.4818 58.4465 | -0.655584 -0.407347 | -116.489 1377.04
-16.0204 58.2231 | 0.185736 0.991992 | -4277.46 4745.65
-15.5545 58.0215 | -0.152319 1.85861 | -5458.44 1596.05
-15.0861 57.8393 | -1.02006 1.73373 | -4045.13 -2268.17
-14.6143 57.6754 | -0.765743 1.20487 | -1391.74 511.495
-14.1344 57.5426 | -0.685845 0.719568 | 2012.83 3425.66
-13.644 57.453 | -1.42481 -0.0483652 | 3.14881 -3251.33
-13.148 57.4034 | -1.19722 0.314536 | -2141.31 -1042.7
-12.6513 57.4021 | -0.702819 1.70696 | -318.116 2609.96
-12.1588 57.46 | -0.395478 2.29622 | -1508.66 2797.51
-11.677 57.5745 | -0.419757 3.27409 | -1255.24 -872.57
-11.2076 57.7287 | 0.838221 2.00576 | -859.417 -4396.38
-10.7483 57.9057 | 2.70509 0.277515 | -2059.89 -725.741
-10.2989 58.1027 | 1.90827 0.33529 | 2318.01 238.176
-9.85498 58.3158 | 1.07393 -0.21775 | 4142.85 -1274.81
-9.41462 58.5421 | 1.07475 -0.00643586 | 915.062 2974.14
-8.98213 58.7875 | 1.20892 -0.361916 | 1078.56 2779.42
-8.55731 59.0497 | 0.212987 -1.30756 | -956.222 487.721
