-77.9045 0.641557 | 4.30708 0.291183 | -12601 2214.86
-17.7344 28.7868 | 0.736695 0.370516 | -1231.47 -818.644
-17.2686 28.9711 | 0.0631102 1.26768 | 1515.23 -7485.07
-16.7866 29.106 | -0.739783 -2.93697 | 4696.66 2685.91
-16.2925 29.2011 | 0.154758 -6.26859 | -10349.5 3367.03
-15.7978 29.2582 | 1.44411 -3.09145 | 8773.18 -4099.22
-15.2947 29.2631 | -0.0716313 -6.20711 | 2099.92 -5888.84
-14.791 29.2193 | 1.64588 -2.62304 | -494.431 15086.9
-14.2906 29.1529 | 0.401219 -1.00674 | 532.49 -11469.4
-13.7997 29.0303 | -0.633123 -2.39657 | -3738.34 -3538.97
-13.3236 28.8616 | 1.73743 -3.11041 | 4719.27 3884.31
-12.8535 28.6701 | 0.812045 -2.0776 | 4520.64 -2593.32
-12.3896 28.4589 | 0.735703 2.38334 | -12839.5 7399
-11.9409 28.2374 | 0.0187754 2.43377 | -128.44 -5939.95
-11.4995 28.0014 | 0.775464 0.335109 | 3994.18 8141.67
-11.0555 27.7697 | 2.64981 1.7682 | -800.143 -10376.9
-10.6135 27.5281 | -1.44328 0.622655 | 1848.92 911.128
-10.1648 27.2984 | -1.20279 -1.21814 | -33.4366 12268.9
-9.70633 27.0991 | 1.8371 -1.4141 | -8166.34 -7101.64
-9.24983 26.9071 | 0.00538823 -1.19904 | -7571.16 8842.62
-8.79256 26.7356 | 0.175906 -1.70726 | 6009.55 -463.109
-8.32767 26.5711 | -0.473795 -1.6502 | 13088.5 -13681.7
-7.85447 26.3951 | -2.66223 -0.380786 | -3394.47 8075.63
-7.38048 26.2278 | -2.68451 -2.36772 | -2968.62 -3920.39
-6.90797 26.0595 | -1.30412 0.953958 | 2880.06 -3338.93
-6.43121 25.8977 | -0.328913 0.445808 | -4887.26 3289.6
-5.94998 25.7606 | 1.83632 -2.09492 | 5554.58 -806.162
-5.45786 25.6574 | 3.51526 1.1028 | -5895.19 340.304
-4.96251 25.5984 | 3.25148 1.31089 | -2785.32 10212.7
-4.46536 25.5942 | -0.400404 -1.66534 | 8873.61 -6760.06
-3.96237 25.6143 | -1.82423 -3.12054 | 2385.01 -3048.42
-3.45776 25.655 | -2.2008 -2.06535 | 3400.56 3900.97
-2.95424 25.7256 | -2.63933 1.52086 | -5097.29 -3770.33
-2.45986 25.821 | -1.54484 -0.192598 | -11712.7 -3860.74
-1.98206 25.9476 | -3.69134 -1.39461 | 1734.04 1956.68
-1.51845 26.1183 | -4.8622 0.250463 | -4102.53 5865.96
-1.07481 26.3349 | -0.929042 0.560743 | 8350.69 -6119.62
-0.638854 26.5733 | 2.1178 -0.510374 | -1043.96 287.929
-0.218402 26.8391 | 2.70419 0.483219 | 3560.67 3660.85
0.184981 27.1365 | 0.326899 0.760265 | -273.953 6702.59
0.568218 27.4627 | -1.3551 -1.65455 | -6157.63 -10302.2
0.937141 27.7941 | -0.126724 -1.76018 | 241.171 -1621.98
1.30119 28.1292 | -1.62116 -0.0229823 | 5259.56 6737.32
