-8.87207 -42.1127 | -1.6598 2.41491 | -567.15 1435.54
-8.38732 -41.9735 | -1.28135 -0.38664 | 224.36 -528.777
-7.89611 -41.8599 | -0.739414 -2.37159 | -724.71 -1775.76
-7.39919 -41.7814 | -0.60016 -2.27152 | -2136.36 -1892.29
-6.89972 -41.7416 | -0.527808 -1.23079 | -1812.45 -2370.63
-6.40031 -41.7373 | -0.550183 -0.0194616 | -133.877 -625.551
-5.90163 -41.7554 | -0.636867 -0.0162744 | 546.651 2966.22
-5.40333 -41.7797 | -0.711175 -0.574002 | -1074.18 3929.46
-4.90635 -41.8053 | -0.631468 0.153691 | -3217.78 1125.78
-4.41282 -41.8421 | -0.42337 0.569834 | -3457.44 -1953.07
-3.92452 -41.9025 | -0.640926 -1.13587 | -1116.89 520.373
-3.44134 -41.9887 | -1.27766 -2.19964 | 1270.41 2075.8
-2.96335 -42.1018 | -1.98662 -1.44981 | 1014.26 -1999.06
-2.49365 -42.2494 | -2.41397 -0.114794 | 62.9543 -3305.93
-2.03403 -42.4296 | -1.93636 1.96997 | 1904.91 292.27
-1.57969 -42.6275 | -0.815984 4.26579 | 3895.87 2151.23
-1.1253 -42.8316 | 0.257421 5.78337 | 2276.78 -1064.63
-0.67157 -43.0427 | 0.943495 6.03106 | 890.421 -2290.34
-0.219539 -43.2614 | 1.259 5.43735 | 1329.78 -159.385
0.23264 -43.4825 | 1.47914 5.23674 | 425.786 802.728
0.685571 -43.7021 | 1.41665 4.97485 | -852.779 766.238
1.13825 -43.9199 | 0.741802 3.14943 | -1659.93 -228.519
1.58963 -44.1374 | -0.461225 0.141315 | -2337.9 -2641.08
2.04077 -44.3533 | -1.48466 -1.84508 | -747.919 -629.31
2.49815 -44.5545 | -1.36759 -0.86217 | 624.626 2965.19
2.96761 -44.7239 | -0.867881 1.04368 | 285.96 2252.97
3.4486 -44.8559 | -0.679737 1.5994 | -123.582 -832.037
3.93772 -44.9543 | -0.818589 1.42321 | 240.94 -1821.1
4.43272 -45.0206 | -1.10037 1.07693 | 1054.46 -750.785
4.93204 -45.0505 | -0.877369 0.716895 | 92.7857 770.138
5.4321 -45.0375 | -0.00635297 0.380762 | -933.641 1400.44
5.9285 -44.9794 | 0.78237 -0.50179 | 570.247 461.756
6.41902 -44.8802 | 0.723304 -0.98851 | 1626.37 61.5141
6.90267 -44.7462 | 0.133896 -0.769056 | 864.657 1591.09
7.3785 -44.5826 | 0.0105969 -0.503637 | 1029.44 -262.857
7.84805 -44.399 | 0.582495 -0.666714 | 2002.32 -2602.6
8.31335 -44.2025 | 1.34965 -1.02726 | 1267.48 688.308
8.77192 -43.9881 | 1.83123 -0.595763 | -532.711 2151.8
9.21986 -43.7516 | 1.62582 0.900126 | -1279.6 762.706
9.65635 -43.4957 | 1.01399 1.89798 | -1396.82 328.169
10.0836 -43.2267 | 0.877811 1.3655 | -852.473 -1921.86
10.5062 -42.9535 | 1.70136 -0.115338 | -1214.26 -2701.91
10.9262 -42.6807 | 2.83915 -1.38375 | -2677.67 -412.223
11.3431 -42.4069 | 2.93452 -1.03796 | -1588.19 376.837
11.7594 -42.134 | 2.24672 0.272476 | 1736.25 364.074
12.1815 -41.8671 | 1.93601 0.749834 | 3889.47 710.389
12.613 -41.6094 | 1.23279 1.26533 | 3110.56 1944.38
13.0533 -41.3604 | -0.0852238 2.13954 | 1034.6 2488.78
13.501 -41.1203 | -0.573896 1.694 | 82.4356 1290.93
13.9575 -40.8958 | -0.189354 0.894191 | 529.958 -2091.21
14.4258 -40.6983 | 0.697242 -0.298403 | -792.361 -3427.26
14.9047 -40.5332 | 1.40961 -2.30789 | -2751.42 561.015
15.3901 -40.3957 | 1.03619 -2.74712 | -1129.44 1663.29
15.8818 -40.2862 | 0.318991 -2.30853 | 950.272 -788.031
16.3805 -40.213 | 0.000459487 -2.30791 | 191.812 -2484.67
16.8833 -40.1817 | -0.0761495 -1.57774 | -1629.19 -689.312
17.3857 -40.1884 | -0.0270669 -0.101814 | -1989.72 3241.62
17.8846 -40.2265 | 0.0832207 0.819501 | -1702.09 858.861
18.3775 -40.3018 | -0.0421951 0.205937 | -1175.69 -2400.4
18.8606 -40.4216 | -0.332824 -0.597704 | -444.426 -2179.48
19.3319 -40.5818 | -0.218453 -0.374691 | -274.533 727.081
19.793 -40.7686 | 0.449258 0.52414 | 429.804 3010.51
20.2473 -40.9703 | 1.16725 1.30278 | 737.661 -18.6264
20.6956 -41.186 | 1.54142 1.74993 | 899.894 -1704.99
