-10.4547 -60.1592 | -0.941627 1.79377 | -1308.97 -5069.26
-9.97394 -60.2835 | -2.57834 1.139 | -8098.23 5476.17
-9.50323 -60.4188 | -2.04128 1.93055 | -1277.7 3677.92
-9.03946 -60.5684 | -3.01113 0.384323 | -434.458 -10784.4
-8.58337 -60.7467 | -0.127438 -0.472693 | 5305.24 5428.39
-8.12365 -60.9251 | 2.22775 -0.0176662 | 9017.82 214.605
-7.6571 -61.102 | 0.336444 0.129341 | -5664.05 -7612.52
-7.1946 -61.2853 | 1.203 -0.086359 | -1165.96 12927.9
-6.73009 -61.4502 | 2.09723 -0.696063 | -5101.55 -8613.48
-6.27032 -61.6172 | 4.68502 -1.59697 | -14086.2 7813.25
-5.8152 -61.7669 | 3.16887 1.01676 | 11845 1993.31
-5.34759 -61.8982 | -1.26758 1.99509 | 3866.1 -12916.5
-4.87257 -62.0282 | -0.334202 0.272284 | 6841.3 4743.73
-4.38514 -62.13 | 0.957401 -1.52046 | 5705.89 1156.84
-3.88858 -62.2022 | -1.08954 1.25926 | -8470.42 -542.737
-3.39357 -62.252 | -1.68016 -0.48532 | 5167.95 -7723.05
-2.89317 -62.2831 | -0.541459 -2.86521 | 7895.1 4288.95
-2.38746 -62.2696 | 2.16756 2.28517 | -11473.9 5774.13
-1.89258 -62.2031 | 2.0177 3.10251 | 1482.35 -554.421
-1.4043 -62.101 | -0.266008 0.394155 | -1371.1 -6411.83
-0.923657 -61.9788 | -2.02805 1.81361 | -8004.72 -2189.27
-0.456594 -61.8304 | -1.51561 0.463727 | 2997.05 -871.022
0.00013957 -61.6495 | 0.517592 2.58859 | 404.224 7335.68
0.442425 -61.4276 | 1.90659 0.181907 | 10189.6 -156.593
0.879567 -61.1817 | 2.87816 0.809124 | -1947.31 951.721
1.30552 -60.916 | 3.19886 4.93375 | 617.188 939.034
1.72418 -60.6379 | 0.720938 2.22719 | 636.455 -1888.69
2.13977 -60.3567 | -1.04594 0.793128 | -5706.13 -2368.2
2.55165 -60.076 | -2.954 3.50483 | 5831.92 5868.68
2.97097 -59.7976 | -0.157137 -0.02286 | 6409.25 -7128.76
3.40171 -59.536 | 3.00727 -1.34105 | -12992.7 -2797.82
3.82458 -59.2764 | 2.19518 -1.56197 | 840.615 8523.53
4.24568 -59.009 | 1.49133 0.0662305 | 4056.9 1877.54
4.67661 -58.7528 | 2.25368 -1.02361 | -1500.65 -8947.4
5.12011 -58.5293 | 0.382167 -2.59207 | -9973.87 -5101.61
5.56739 -58.3326 | 0.814838 -2.54908 | -4450.13 5973.65
6.0204 -58.1481 | -0.344554 0.483006 | 26009.4 6531.42
6.50032 -57.9842 | -0.715392 3.22588 | -742.567 2926.88
6.99033 -57.8501 | 1.68353 4.2203 | -17535.5 -7017.67
7.47857 -57.765 | 1.3808 2.65176 | 1997.46 -4054.48
7.97321 -57.7313 | -0.894676 0.914123 | 8945.81 2107.69
8.47556 -57.7336 | -3.0596 -2.53631 | 3304.01 -3001.8
8.97903 -57.763 | -4.32476 -0.917899 | -11499 12688.4
9.47402 -57.7979 | -2.27208 3.51729 | -701.59 -3610.42
9.96417 -57.8646 | 1.12018 2.09597 | -52.8155 -6506.95
10.4473 -57.9727 | 0.175392 0.771693 | -1593.68 3714.3
10.9238 -58.1039 | -2.60493 -0.00965001 | 8075.94 -2973.32
11.3999 -58.2532 | -0.819902 0.337647 | -7452.97 6058.2
11.8686 -58.4076 | -0.872233 -0.489663 | -2952.29 -2735
12.3322 -58.5712 | -0.592165 1.84083 | 4486.71 5256.46
12.7987 -58.7339 | 0.400663 -1.23584 | 3573.13 -8971.57
13.2663 -58.9101 | 0.421712 -2.2234 | 9514.74 -1610.96
13.7408 -59.0853 | 0.239094 1.88457 | -9212.04 9984.21
14.2136 -59.2464 | 2.6328 1.00273 | 2494.78 -3754.92
14.6886 -59.4115 | 3.75035 -1.448 | 15929.3 -12008
15.1719 -59.5876 | 2.78154 -0.671507 | -13026.8 13400.1
15.6493 -59.7497 | 0.123307 -2.74893 | -7875.5 -4767.8
16.1206 -59.9121 | -0.857147 -1.89123 | 3474.1 1427.86


-18.4831 88.1625 | -0.994351 -4.57175 | -3123.44 -2139.74
-17.9977 88.2729 | 1.38123 1.85017 | 6092.55 7438.75
-17.5154 88.4158 | 0.487926 2.73725 | 1836.01 -5168.54
-17.0366 88.5701 | 0.531718 1.12179 | -6841.04 -7177.08
