6.41258 49.4875 | 1.77703 4.75395 | -2563.01 3938.08
6.90261 49.3798 | 0.96785 2.95 | 458.323 -718.318
7.3952 49.2826 | 2.02491 1.64406 | 3078.44 602.606
7.89275 49.2012 | 2.69067 3.10952 | 1461.84 -2620.63
8.39321 49.1373 | 3.44663 -0.901631 | -9332.12 1801.57
8.88935 49.1029 | 2.77822 -0.178073 | -7257.48 5545.27
9.38155 49.105 | 1.65687 0.394744 | 8540.32 -6791.3
9.87894 49.1276 | 1.18617 0.113597 | 7966.26 3505.36
10.3794 49.1819 | -0.936158 2.18481 | -7623.17 -653.446
10.8704 49.2655 | 0.0189735 1.05106 | -9584.99 -6792.12
11.3489 49.3743 | 2.07984 -0.265448 | 4751.68 6839.72
11.8207 49.5242 | 2.41943 -0.410471 | 13140.3 1303.97
12.2901 49.7065 | 1.56029 0.670038 | -8814.21 -579.705
12.7416 49.9171 | 0.0566889 2.10082 | -8454.52 -3087.9
13.1763 50.1445 | 0.800534 0.951799 | -1306.18 -6747.43
13.6047 50.3757 | 0.642293 0.597975 | 580.364 2766.52
14.0296 50.6175 | -1.16802 0.438672 | 11479.9 2944.84
14.4592 50.869 | 1.29154 -1.60318 | 4545.82 4237.79
14.8868 51.1344 | 1.60786 -1.47314 | -280.646 -2850.44
15.3063 51.4106 | 0.914711 -0.24925 | -6096.61 -1138.93
15.7099 51.7021 | 1.72924 -0.534905 | -3706.49 -1172.79
16.1001 52.0065 | 0.275449 0.439697 | 4908.42 -1458.84
16.4872 52.3181 | 0.415526 -0.311078 | 1364.03 4941.21
16.8691 52.641 | 1.37892 -2.9786 | -42.228 21.497
17.2488 52.9664 | 1.89041 -5.03833 | -2479.23 -3100.98
17.6299 53.2856 | 1.02152 -3.41888 | -2950.87 -393.653
18.0168 53.5949 | 0.212032 -1.81585 | 3013.39 349.014
18.4192 53.8871 | 2.09781 -1.78358 | 4486.24 2930.13
18.8407 54.1591 | 0.403811 1.1739 | 1916.43 268.589
19.2797 54.4055 | -0.758279 1.67702 | -211.287 -2300.09
19.7332 54.6232 | -0.217065 -0.0187882 | -738.154 304.456
20.1969 54.8171 | -0.892474 0.782005 | 1738.84 1943.13
20.6694 54.9906 | -0.222833 0.776139 | -6036.87 -4110.99
21.1439 55.1406 | -1.33977 -0.485727 | -8506.37 2774
21.6171 55.2739 | -2.23734 0.394545 | -62.7703 -2309.62
22.0961 55.3805 | 0.210746 1.67527 | 3565.56 -905.041
22.5829 55.4604 | 0.827495 1.12213 | 4430.92 2848.16
23.076 55.521 | 0.952993 0.700969 | -1315.53 -541.306
23.5701 55.5624 | 0.159572 1.19216 | -4989.45 88.706
24.0615 55.5881 | -0.658865 0.0421703 | -2588.01 5291.71
24.5518 55.6014 | -0.376993 -0.91878 | 4714.16 -1413.97
25.0458 55.5854 | -1.60316 -1.95999 | 7883.23 -1281.55
25.543 55.5303 | -1.32278 -2.41879 | 296.74 -485.971
26.0341 55.4321 | -0.0476539 -3.49294 | -3868.77 -1848.66
26.5117 55.289 | -0.680827 -1.69389 | -1055.74 1104.48
26.9757 55.1093 | 0.71936 1.56177 | 1002.79 -2751.06
27.4284 54.8989 | -0.0913333 1.30019 | 3653.82 811.292
27.8751 54.6723 | -0.937219 0.238666 | -3857.51 4277.61
28.3132 54.4376 | 0.561365 -0.810844 | -5088.91 -1575.06
28.7422 54.1935 | 0.705229 -3.0959 | 1006.7 5060.34
29.171 53.9512 | 0.419519 -3.38742 | 2963.29 -2038.88
29.6003 53.704 | -0.062839 -1.62874 | 2489.58 -8743.55
30.0295 53.4477 | -2.5703 -2.52238 | -346.749 6974.41
30.4633 53.2037 | -2.13385 -1.73006 | -4683.69 -438.72
30.8995 52.9699 | -0.411853 -0.811008 | 730.247 -3530.47
31.3446 52.7508 | 0.793417 -2.44497 | 4226.73 6190.48
31.8047 52.5626 | 0.501997 -1.81346 | -1132.59 -6405.75
32.2723 52.3939 | -1.2486 -0.638413 | -10838.4 -394.64
32.7429 52.2577 | -1.91278 -2.99675 | 1613.02 6727.83
33.2256 52.1754 | -1.32269 -3.06948 | 8631.08 -2643.61
33.7199 52.138 | -1.22581 -0.407027 | -1959.72 -2454.45
34.2151 52.14 | -1.86811 1.24515 | -1952.73 3585.93
34.7066 52.1829 | -1.86056 1.36713 | -5345.44 -3175.82
35.1915 52.2508 | -2.6159 0.768761 | 3273.57 -4903.27
35.6751 52.3368 | -3.4631 -1.15595 | 3353.01 5831.12
36.1557 52.4529 | -1.83405 -1.96096 | -1286.77 -3053.27
36.6317 52.5883 | -0.646967 -1.43555 | 10131.5 935.742
37.1088 52.7436 | -0.63255 -0.459808 | -1194.35 8412.17
37.5786 52.9229 | -1.7055 0.21536 | -7153.56 -10013
38.0429 53.0979 | -1.47135 0.0868113 | 3724.16 -4698.68
38.5087 53.2709 | 1.20177 0.724739 | -654.625 8844.04
38.969 53.4637 | 1.21099 0.935984 | 3514.54 2612.23
39.4281 53.6654 | -0.29347 -0.569959 | -4036.3 -8070.31
39.8852 53.858 | -0.165231 -0.388474 | -10187.9 -2888.18
40.336 54.0475 | 1.09596 -2.19209 | 9959.42 1079.56
40.7903 54.2402 | 1.58594 -0.220891 | -8810.36 3779.14
41.2353 54.4454 | -0.340944 4.57136 | -406.372 3184.39
41.6815 54.6509 | 0.0435156 3.14925 | 12423.3 -5359.63
42.1447 54.8336 | -0.154869 1.77617 | 432.901 1577.96
42.6147 55.0033 | -2.08033 2.50483 | -2402.17 7335.5
43.0861 55.1667 | -1.84767 0.545222 | -8042.61 -8236.48
43.5597 55.3009 | -0.421054 -2.55979 | 1557.8 4103.59
44.0411 55.4089 | 0.438985 -1.94279 | 5469.2 3014.99
44.5331 55.4796 | 1.353 -1.75019 | -4187.3 -11601.8
45.0284 55.4948 | 0.945574 1.27064 | 10086.9 6189.82
45.5307 55.4841 | 2.1707 0.622398 | 1177.14 8482.4
46.0337 55.4535 | 1.76868 -1.0887 | -3123.64 -4996.84
46.5312 55.3755 | 0.175269 -1.08779 | 11207 -4270.66
