-17.2478 92.6462 | 1.21017 1.90928 | 1637.31 2446.82
-16.7811 92.8408 | 2.05059 1.75051 | -8847.4 -6153.05
-16.3203 93.0288 | 3.15615 1.06987 | -4753.47 -4664.59
-15.8594 93.2016 | 4.20596 1.11229 | 184.178 -4597.23
-15.3942 93.3616 | 3.15547 3.08691 | 8362.09 8563.63
-14.9229 93.5301 | -0.928223 4.92008 | 9779.84 3487.08
-14.4453 93.7048 | -2.82625 3.71665 | -4642.61 1032.65
-13.97 93.8808 | -1.68806 0.263793 | -2374.39 2317.01
-13.4931 94.0468 | -1.05006 1.2572 | -2272.15 -7628.43
-13.0098 94.1791 | -1.15165 2.03849 | -2376.89 -957.181
-12.5213 94.2795 | -0.18841 1.23265 | -364.963 1529.53
-12.0296 94.3515 | 1.34974 -1.16603 | -10813.6 1485.72
-11.5418 94.3927 | 0.494381 -1.21673 | 110.257 -1843.49
-11.0527 94.3932 | 0.263705 -1.6981 | 6226.99 -6403
-10.5607 94.3542 | 0.0253881 0.820134 | 1035.22 8462.49
-10.0688 94.3048 | -1.09681 0.788874 | -1421.63 1235.67
-9.57927 94.2414 | -0.318385 -2.39684 | 1784.66 -553.267
-9.09207 94.157 | 1.37635 0.589066 | -2295.39 776.149
-8.61165 94.0481 | 0.989202 2.44457 | -3143.31 460.02
-8.14062 93.9118 | -0.10726 1.69663 | 841.156 377.961
-7.67744 93.7483 | -0.729613 5.88719 | 3622.66 -8479.57
-7.21986 93.5571 | -0.610991 4.13261 | 7581.53 11110.7
-6.75984 93.3659 | -1.34589 -1.4705 | -2369.73 3173.64
-6.31085 93.1557 | -1.49637 -1.00122 | -6143.51 -6196.92
-5.88786 92.9007 | 0.752302 -0.49059 | 3431.69 -515.959
-5.48746 92.6063 | 1.3688 -2.49646 | 3988.27 -10334.2
-5.10777 92.2741 | 1.08988 -1.37487 | 5360.68 2399.04
-4.738 91.9278 | 0.492723 -0.149219 | -4890.85 4310.96
-4.38144 91.5746 | 0.891737 0.32154 | -6595.07 3068.03
-4.03529 91.2172 | 0.187069 0.853854 | 9475.08 -961.683
-3.68261 90.8586 | -1.37488 0.538087 | 927.151 -12896.9
-3.32894 90.4898 | -3.07632 -0.98975 | 4052.96 -1354.67
-2.96133 90.13 | -4.78484 -1.91506 | 7679.24 12015.8
-2.57321 89.7963 | -3.30038 -2.2085 | -14504 1819.06
-2.19394 89.4661 | -1.00471 -1.88303 | -6222.9 -3483.28
-1.82159 89.1321 | 1.03171 0.373475 | 4953.81 352.529
-1.4375 88.8079 | 1.51201 0.650175 | 5257.24 2277.28
-1.03658 88.5004 | -1.4564 -2.42841 | 1078.88 -3957.64
-0.626295 88.2012 | -1.36003 -2.24239 | -2519.66 -2719.78
-0.209518 87.9109 | -0.583603 -1.58973 | 908.238 1671.9
0.220846 87.641 | -1.12418 -1.38866 | 3013.77 1927.05
0.667711 87.3981 | -0.221994 0.34436 | -3597.66 1465.09
1.12455 87.1808 | -1.83488 1.38296 | -1499.76 634.471
1.59023 86.9873 | -2.87123 0.943918 | -1056.06 -2518.58
2.06426 86.8162 | -0.868096 -0.15417 | -1103.87 -2658.45
2.54876 86.677 | 0.436634 -1.27971 | 5859.53 3258.92
3.0487 86.5911 | 0.534449 -2.91217 | 2202.08 5250.93
3.55687 86.5655 | 0.111025 -0.397938 | -680.187 208.311
4.06444 86.5884 | -0.609826 4.53874 | -6090.07 -3325.97
4.56417 86.6488 | -0.189431 2.25558 | -2564.12 1739.14
5.05515 86.7501 | -0.170535 -2.66805 | 4145.42 1585.18
5.53864 86.8893 | -1.09555 -2.50036 | -7940.39 2097.64
6.00711 87.0607 | -1.00236 -2.81187 | -2460.29 -154.354
6.46941 87.245 | -1.19858 -2.47275 | 11843.1 -6579.89
6.94146 87.4229 | -0.496755 -0.343138 | 7940.19 3082.67
7.41692 87.6103 | 0.288961 0.714141 | -2631.59 7107.78
7.8824 87.8211 | 0.8253 -0.657 | -12398.7 -2277.37
8.33423 88.0426 | -0.658789 1.76117 | 3208.68 -1772.59
8.78985 88.259 | -1.56291 3.39755 | 10958.5 -235.401
9.25777 88.4632 | -1.59105 2.52157 | -6146.78 -3115.74
9.72509 88.6584 | -3.04108 3.42162 | -5111.95 4748.53
10.1894 88.8547 | -2.66699 2.76421 | 2448.35 -1033.98
10.6596 89.0394 | -1.79932 0.851309 | 4053.58 -1397.72
11.1384 89.2051 | -2.45714 1.86907 | -5900.69 -1625.14
11.6175 89.352 | -0.922166 2.77226 | -15052.2 -2955.99
12.0907 89.4806 | 1.22955 1.19252 | 4647.07 5211.93
12.5712 89.592 | 0.678862 0.72457 | 6416.89 -1085.08
13.0629 89.6695 | -1.16507 3.78546 | 161.21 -6114.67
13.5599 89.7062 | -1.90626 2.14007 | 2318.16 1586.45
14.0587 89.7214 | -1.12109 -3.96534 | -9014.25 6310.43
14.5519 89.73 | -1.42067 -1.60711 | 191.373 -4841.9
15.0448 89.7217 | -2.99638 -0.145737 | 5823.01 6310.48
15.5413 89.7064 | -2.03085 -1.55411 | -2725.51 -299.142
16.0359 89.6693 | 0.214963 -1.79941 | 3404.05 -9006.84
16.53 89.5983 | 0.491419 -3.50339 | 3780.56 8674.07
17.0248 89.5167 | -0.306648 -0.0702542 | 1608.33 -277.87
17.5164 89.4124 | 0.225391 1.32341 | -2193.48 -4175.71
17.9976 89.2737 | 1.65398 -2.17632 | -9221.11 1303.83
18.4633 89.1075 | 2.56717 -2.9752 | 828.543 -1656.7
18.9227 88.9234 | 0.784742 -4.63676 | 3797.29 1842.26
19.384 88.7379 | 0.813391 -4.18112 | 3297.48 2046.67
19.849 88.5563 | 1.99698 0.4705 | -333.369 -3049.11
20.314 88.3729 | 0.934207 0.326723 | -2652.17 1237.98
20.7788 88.1931 | -1.32356 -1.65125 | 3745.37 -1196.05
21.2486 88.0194 | -0.960735 1.12677 | 55.9917 726.03
21.7222 87.8553 | -0.654478 0.807225 | -197.938 -1279.03
22.1996 87.7009 | -1.81066 -0.37223 | 3382.52 -1521.62
22.6837 87.5603 | -1.48394 1.35732 | -1127.63 2285.15
23.172 87.4414 | -1.273 -0.592062 | -6277.76 -3221.72
23.6605 87.3438 | -1.53974 -2.68728 | -4541.43 5810.19
