4.34221 18.429 | 0.66664 2.63431 | 6211.66 11822.8
4.84379 18.4315 | 0.902152 -1.19815 | -4245.08 3972.9
5.34369 18.4188 | -0.237489 -1.8533 | 8227.82 -10327.6
5.84513 18.3629 | -0.840382 0.888962 | -9251.91 8810.01
6.33513 18.2764 | 1.37432 1.09313 | -8434.68 -3280.07
6.80949 18.1412 | 1.34629 -0.840811 | 16167.1 -7908.9
7.27998 17.9584 | -2.09228 2.30956 | -867.997 -1966.45
7.73856 17.7465 | -3.28292 0.97584 | -7076.56 17779.4
8.18514 17.5308 | -3.94738 -1.10616 | 2429.58 -9175.79


-25.9804 -68.3359 | 0.256896 5.72209 | -9028.36 2955.87
-25.5199 -68.5047 | -0.716704 2.90068 | -727.786 1864.73
-25.0539 -68.6559 | 0.309937 -1.57896 | 2236.58 -2536.94
-24.5804 -68.7924 | 1.24371 -0.17673 | 7001.97 -1465.48
-24.0972 -68.9112 | 1.85582 0.0902306 | -3961 -2185.93
-23.6114 -69.0097 | 1.24541 -2.41068 | -3992.13 331.17
-23.1225 -69.0764 | -0.519366 -1.25761 | 7297.52 5552.78
-22.6256 -69.1008 | -1.31541 3.89026 | -1271.79 -1763.95
-22.1277 -69.0982 | 0.664921 6.15888 | 2966.44 -3721.24
-21.6284 -69.0783 | 2.49942 2.39241 | -461.204 736.331
-21.1313 -69.0365 | 1.59681 0.572433 | -7982.84 -5365.11
-20.6416 -68.9727 | 0.82901 3.09615 | 7949.02 2281.07
-20.154 -68.8685 | 1.91986 0.691167 | -282.512 13111.6
-19.6774 -68.7132 | 0.0442222 -0.680884 | -595.987 -9279.77
-19.2076 -68.5464 | -1.30449 0.917467 | -4669.51 -6440.4
-18.7451 -68.3747 | 0.744291 -1.38347 | -3209.04 -1742.09
-18.2914 -68.1863 | -0.713837 -0.239412 | 7403.68 11490.3
-17.8438 -67.9671 | -0.973007 4.56456 | 981.778 -7715.58
-17.4024 -67.7385 | 0.825767 1.11915 | -5908.11 -3682.82
-16.9744 -67.4943 | 1.17348 -0.0649721 | 4683.18 4045.19
-16.5589 -67.2227 | 0.57734 1.01847 | -3407.2 8545.69
-16.1607 -66.9218 | -0.86419 0.742717 | 10417.3 -3167.63
-15.7601 -66.6177 | 1.61351 -0.244804 | -7091.96 -5031.21
