-14.4311 27.8673 | 0.159653 -0.653232 | 2585.26 -5193.94
-13.9373 27.8102 | -0.470105 -0.892432 | 1242.97 1425.21
-13.4463 27.7259 | -1.61959 -5.29615 | -1130.64 2070.22
-12.9612 27.616 | -0.405233 -4.42364 | 936.034 -75.5616
-12.4832 27.4758 | 0.847933 -5.25352 | 1669.06 -6676.08
-12.0141 27.3008 | 0.794765 -4.12049 | -563.572 4246.08
-11.5521 27.1108 | -1.77624 -2.5103 | 1018.21 7422.03
-11.0963 26.9101 | -2.63134 -1.24169 | -1838.43 -13523.5
-10.6551 26.6763 | 0.0528666 -0.225133 | -8299.98 10152.5
-10.2246 26.4391 | -0.255485 2.59114 | 2046.68 1966.57
-9.79392 26.2023 | 0.501127 4.60753 | 3152.3 -4176.83
-9.3608 25.962 | -0.0489208 2.95138 | 3254.41 -3232.73
-8.92207 25.7239 | -1.62206 1.0706 | 3786.92 229.199
-8.47413 25.4987 | -3.03457 0.0274779 | -4172.07 6107.89
-8.02154 25.2925 | -3.1661 1.24426 | -3065.16 -8470.9
-7.56666 25.0934 | -0.250743 2.81035 | -2884.96 4839.08
-7.1032 24.9245 | 0.343738 1.15945 | 241.772 1718.58
-6.62772 24.7939 | -0.449634 -2.86347 | 3620.62 -4297.86
-6.13987 24.7018 | 0.74532 1.04252 | 3698.93 3173.02
-5.64198 24.6613 | -2.44439 1.35074 | 2913.17 -1474.55
-5.14024 24.6702 | -3.05071 -1.01904 | -4551.83 7863.9
-4.64358 24.7305 | -2.27816 2.05532 | 5937.87 -8828.24
-4.14684 24.8126 | -3.7438 0.0862211 | 1871.76 4606.16
-3.6545 24.9237 | -1.64857 -0.995611 | -10774.3 -1964.92
-3.17347 25.0531 | -1.57291 -0.803023 | 7241.19 -6599.8
-2.69163 25.192 | -1.48646 -0.740868 | 4621.18 9997.55
-2.21384 25.3615 | -1.27644 -0.414054 | -872.117 -486.641
-1.74329 25.5493 | -2.242 -1.06517 | -2727.75 -5836.54
-1.2796 25.7451 | -1.42855 -1.97823 | -829.379 1133.4
-0.823555 25.9569 | -1.80069 -0.982914 | 6100.84 -1887.81
-0.375257 26.1872 | -0.725876 -2.65908 | -17646.5 1753.61
0.0443609 26.4474 | -1.03472 0.189332 | -1707.81 -9978.96
0.45012 26.7214 | -3.13518 -0.326512 | 13779.2 14075.5
0.850897 27.0234 | -2.70013 -2.70554 | -1259.49 112.122
1.24129 27.3394 | -3.73759 -2.29688 | -6703.33 -9419.59
1.62285 27.6561 | -4.72915 -2.30542 | 5131.39 9150.37
2.00432 27.9816 | -3.34098 -0.458114 | 4357.45 -3842.41
2.39129 28.3022 | -2.43429 1.41434 | -8005.2 3897.31
2.77497 28.6219 | -0.494038 2.16699 | -1914.61 -8423.06
3.16867 28.9216 | 1.82721 -1.51308 | 294.042 5609.87
3.57773 29.2042 | -0.915719 -1.46033 | 9272.09 -16.4116
4.01276 29.4556 | -0.551365 -1.81186 | -2232.49 -5817.15
4.46397 29.6736 | -0.609342 -1.92972 | 3042.28 7626.86
4.9262 29.8764 | -0.910516 -0.019969 | 294.24 -4979.89
5.39637 30.0589 | 0.94836 -3.07305 | -2504.11 7526.79
5.86945 30.2353 | -0.705996 -5.80483 | 3857.46 3764.57
6.35226 30.3903 | -0.837166 -1.6006 | -7512.1 -13796.8
6.84159 30.4959 | 2.33724 -0.659987 | 3339.81 8118.7
7.33886 30.5714 | 0.656556 -1.6781 | 3162.27 -2229.95
7.84201 30.6054 | 1.19117 -0.794769 | -7244.7 -4328.06
