-8.40514 89.7753 | 0.915686 -1.34984 | 6621.74 -4715.07
-7.91713 89.8978 | 1.71745 -3.67038 | -442.712 -1041.81
-7.42132 89.9811 | 1.19374 -2.29984 | -6500.22 4113.26
-6.92566 90.0358 | 0.316856 0.257875 | -497.603 -1202.4
-6.42822 90.0543 | 0.0858632 0.999464 | 1821.39 -2630.57
-5.92951 90.0343 | 0.688063 1.88887 | 1223.53 -1860.21
-5.43147 89.9853 | 1.20068 3.55349 | 1637.43 1734.43
-4.93356 89.9241 | 1.26672 4.21965 | 1374.32 5186.92
-4.43509 89.8608 | 0.667057 2.89901 | 765.153 326.138
-3.93769 89.7845 | -0.709506 0.0182311 | -256.517 -3438.78
-3.4448 89.6834 | -1.4823 -1.55742 | -1076.44 4521.41
-2.95963 89.5596 | -2.03245 -2.28488 | -6575.06 760.52
-2.49106 89.3997 | -2.92821 -2.66615 | -4955.24 -3604.34
-2.04359 89.1953 | -2.66856 -2.46002 | 118.535 -1954.9
-1.61171 88.959 | -2.30805 -2.97982 | 158.702 2357.87
-1.1865 88.7124 | -1.67648 -2.40063 | 456.986 5045.05
-0.760829 88.4695 | -0.514357 -1.30048 | 775.219 -881.579
-0.334357 88.2268 | 0.994741 -0.0485068 | -903.313 -3472.26
0.092298 87.9829 | 2.4829 2.0114 | 718.398 1025
0.524568 87.7491 | 1.31437 0.0895778 | 43.5119 3708.79
0.964099 87.5322 | 0.536276 -2.28936 | -1098.66 1184.87
1.40701 87.3248 | 1.2613 -2.2537 | -2273.34 -7278.1
1.84995 87.1158 | 1.05695 -2.71363 | 1160.12 -604.884
2.30113 86.9216 | 1.15965 -3.2103 | 4398.84 4167.43
2.76702 86.7584 | 1.7094 -4.88281 | 2326.4 -5893.34
3.24412 86.6198 | 1.68327 -5.00058 | 670.025 -153.514
3.73089 86.5176 | 0.362548 -2.23553 | -1808.81 5745.83
4.22318 86.4623 | -0.861279 -2.16272 | -2421.45 774.103
4.71601 86.4403 | -0.410044 -1.93641 | -1408.35 -2755.71
5.20794 86.4332 | -0.236083 0.344776 | 528.597 -5251.66
5.69973 86.4323 | -0.99225 -0.974875 | -2192.15 -684.019
6.18909 86.4489 | -1.12962 -2.34435 | -5615.09 846.83
6.67219 86.4947 | -0.67988 -2.27252 | -1861.77 895.369
7.1494 86.5733 | 0.458752 -2.06756 | 2117.95 -2334.21
7.62275 86.6791 | 1.05934 -0.808946 | 5329.5 -2578.57
8.09256 86.8136 | 1.06028 -0.943172 | 2016.96 5315.38
8.55211 86.9883 | 1.02942 -2.11838 | -1931.09 3025.2
8.9992 87.1932 | -0.418073 -1.05236 | 299.291 -2506.05
9.44285 87.4046 | -1.10282 1.11719 | 3248.69 -3682.71
9.8915 87.6083 | -1.12103 3.18078 | 2194.15 1773.26
10.3451 87.8072 | -1.85107 4.03691 | 2488.55 1304.35
10.8038 88.0013 | -2.87116 2.78596 | 1743.1 981.867
11.2675 88.1896 | -3.13135 1.51823 | 4393.06 -1110.7
11.7381 88.3705 | -2.88453 0.631878 | 4412.33 5054.65
12.2136 88.5523 | -3.66034 0.458867 | 669.009 2093.53
12.6925 88.7298 | -4.01636 -0.942897 | 39.8378 -1317.06
13.177 88.8918 | -3.36619 -1.52957 | 335.323 1957.19
13.669 89.0309 | -1.94166 -1.69353 | 16.0532 -3242.49
14.1696 89.1307 | 0.158719 -3.09733 | 167.101 -6602.62
14.6766 89.1836 | 0.7525 -2.51679 | -2577.43 2989.25
15.1845 89.2053 | 0.172083 -1.30477 | 489.157 1260.45
15.693 89.1975 | 0.0440387 -1.00007 | 2382.95 410.239
16.201 89.1551 | -0.14668 0.394425 | -3000.55 -1713.44
16.7014 89.07 | 0.595661 0.580019 | -4412.97 -3858.06
17.1892 88.9401 | 1.62356 0.246031 | -323.223 2251.5
17.666 88.7798 | 0.996243 -1.79642 | -3458.25 2677.71
18.1302 88.5957 | -0.723046 -4.46102 | -6166.7 -3242.36
18.5803 88.3892 | -1.38067 -3.89594 | -929.685 6350.89
19.0267 88.1814 | -0.785359 -2.80522 | 3661.44 2944.82
19.4744 87.9725 | 0.0813095 -0.936574 | 3159.03 -6199.83
19.9193 87.7485 | 0.938038 2.58274 | -2215.34 -3094.11
20.3588 87.5143 | 0.74142 3.2642 | -2478.04 1303.82
20.8001 87.2881 | -0.663442 2.17276 | 3299.23 4247.35
21.2539 87.0862 | -0.193632 2.79698 | 4814.6 -864.57
21.7209 86.9057 | 0.754764 1.74732 | 1105.89 1343.7
22.1954 86.7422 | 0.784979 1.10782 | -1357.32 -489.995
22.6719 86.5846 | 1.10595 3.1481 | 1148.37 -3658.87
23.1489 86.4247 | 0.548631 5.19465 | -1481.54 934.719
23.6252 86.2672 | -0.135553 4.59335 | -3930 2926.44
24.1002 86.1148 | 0.644532 2.92257 | 2064.27 -5531.14
24.5781 85.9622 | 0.0786408 0.827466 | 6519.8 -2797.8
25.0656 85.8227 | -1.08827 0.134283 | 2502.43 5117.02
25.5624 85.7152 | -0.829906 2.9124 | -2573.48 1444.77
26.0632 85.6386 | -0.474852 2.13348 | -638.682 2256.21
26.5661 85.5882 | -0.0399009 -0.264145 | -1741.14 -1168.23
27.0681 85.5518 | -0.381037 1.67405 | -6639.01 -4372.91
27.5656 85.522 | -0.637552 2.84974 | -1223.54 111.974
