-26.887 -34.8036 | 0.803082 -2.44644 | -3462.63 3023.89
-26.5696 -35.1948 | 1.00015 -0.737202 | -9011.13 5398.27
-26.2578 -35.5812 | -1.81846 -1.17371 | 3990.72 1745.12
-25.9355 -35.9592 | -2.71603 1.04363 | 50.8473 -7612.92
-25.6025 -36.3329 | -1.1375 3.06358 | -1567.76 2753.18
-25.2501 -36.6869 | -1.31468 0.0126172 | 6128.32 1574.75
-24.8677 -37.0129 | -0.993635 -0.602928 | 2887.39 -7075.14
-24.4608 -37.3166 | -0.869367 -2.65594 | 843.625 -5653.9
-24.0299 -37.5881 | -1.82255 -1.60191 | -6252.67 19880
-23.5755 -37.7964 | -2.16656 -1.49583 | -212.852 -8928.08
-23.1054 -37.9709 | -0.189193 -0.796302 | 5777.72 -2883.64
-22.6189 -38.1084 | -1.59098 -2.28609 | -258.277 3898.33
-22.1232 -38.199 | -2.31378 1.26281 | -13008.6 2131.81
-21.631 -38.2469 | -1.57587 -2.28757 | -859.112 -5921.6
-21.1383 -38.261 | -1.01806 -3.82918 | 2715.86 5420.18
-20.6455 -38.2276 | -1.96912 0.503643 | -3872.96 327.715
-20.1586 -38.1581 | -1.92771 -0.493133 | 691.915 -1893.45
-19.675 -38.0685 | -0.442747 -1.99824 | 2749.02 -2330.66
-19.1926 -37.9684 | 0.89535 -1.06085 | -7749.64 2645.71
-18.717 -37.8588 | -0.635487 -2.84433 | -188.512 -1761.17
-18.2398 -37.7558 | -1.6729 -3.72586 | 10288.9 -1736.45
-17.7518 -37.6679 | -1.70402 -3.28805 | 7804.45 1411.53
-17.255 -37.5898 | -0.268551 -1.76705 | 4169.15 -3283.33
-16.7552 -37.5171 | 0.595539 -1.86543 | -15058.9 2729.06
-16.2661 -37.4311 | 0.440959 -3.29044 | 11166.1 4400.51
-15.774 -37.3289 | 2.49595 -1.27906 | -6428.51 2250.65
-15.2857 -37.2208 | 1.45476 0.320493 | 2498.19 -1902.58
-14.7932 -37.1276 | -1.71839 0.14007 | 5746.24 -10026.2
-14.2948 -37.0618 | -2.59825 -0.726477 | -15321 4364.11
-13.8059 -36.9943 | -2.11114 0.693718 | 5439.82 16376.1
-13.3144 -36.9175 | -0.91315 -2.28241 | 2174.6 -19380.6
-12.8172 -36.8882 | -0.141454 -0.999253 | -3176.76 3364.03
-12.3203 -36.8835 | -0.296634 -0.177001 | 7855.7 4225.58
-11.8185 -36.8935 | 0.362597 -3.02458 | -4231.66 3002.8
-11.319 -36.9244 | -1.08192 -1.80452 | 7053.11 3389.78
-10.8188 -36.9937 | -2.23029 0.138644 | 3584.83 -18163.2
-10.3292 -37.1342 | -3.07961 0.013886 | -10486.6 3447.81
-9.85906 -37.3118 | -2.76322 1.76963 | 748.34 10613.4
-9.39698 -37.4993 | -2.04899 -1.19872 | -6097.88 -315.116
-8.94796 -37.7066 | -1.16286 0.0443761 | 1438 -1814.33
-8.50793 -37.9347 | -2.15475 0.452593 | 1530.52 -1787.09
-8.07393 -38.1785 | -0.477918 1.18132 | 3141.57 407.006
-7.64046 -38.4296 | -0.390137 -1.09656 | 13141.5 -270.939
-7.20315 -38.6873 | -1.86312 -2.10609 | -16456.9 81.1933
-6.78752 -38.9625 | -0.110788 -0.730092 | -3106.89 7622.15
-6.38445 -39.2469 | -2.07411 -0.385531 | 7757.61 -8762.58
-5.98863 -39.5515 | -0.711008 -0.477254 | -4968.24 5785.73
-5.60542 -39.8664 | 0.882025 0.136053 | -5906.41 -11171.3
-5.2307 -40.1959 | 0.994104 -0.720714 | 21036.9 1884.02
-4.82736 -40.5072 | -1.53292 0.514925 | -1719.4 646.315
-4.41014 -40.8003 | -3.96656 1.0569 | -1587.41 1560.18
-3.98495 -41.0777 | -1.12524 1.55025 | -6556.51 1243.47
-3.55803 -41.3429 | 0.803038 1.55253 | -3842.51 224.926
-3.12651 -41.5935 | -0.517531 -0.556662 | 1362.09 8454.23
-2.68529 -41.8204 | 0.673415 -0.93389 | -9273.11 -13740.2
-2.24438 -42.0442 | 1.95791 0.215704 | 5352.03 10940.9
-1.78417 -42.227 | 3.74081 2.93581 | 4317.16 -3490.97
-1.3067 -42.3771 | 0.511422 1.79975 | 12720.6 -5140.61
-0.811038 -42.4965 | -3.44069 -1.69368 | -5451.79 -484.591
-0.311353 -42.5769 | -1.4767 0.155372 | -14280.1 5797.17
0.184109 -42.6046 | -0.459365 -0.741744 | 10044.1 -2081.11
0.684405 -42.5845 | -0.123754 -1.77892 | -6184.85 4315.34
1.17658 -42.5149 | -0.383412 -0.501825 | -3441.53 -6067.35
1.65943 -42.414 | -0.857013 -1.8743 | -5580.81 2902.62
2.13213 -42.2802 | 0.332739 -1.76043 | 16723.1 -664.918
2.60993 -42.127 | 0.115199 -3.55026 | -57.6789 2594.03
3.08233 -41.9536 | -0.0193263 -2.62884 | -9078.03 3334.29
3.54496 -41.7686 | 0.513947 -1.38374 | 2761.98 -11048.4
4.01277 -41.6008 | 1.24069 -1.10458 | 6294.77 1032.59
4.4852 -41.4359 | 4.4593 -0.0400595 | -8258.29 -349.606
4.94826 -41.26 | 3.92598 -2.73681 | -2141.22 30.044
5.40176 -41.0654 | 3.04848 -0.364587 | 3313.01 2823.41
5.848 -40.8477 | 1.05302 3.14576 | 1940.78 3301.49
6.28796 -40.6097 | -0.229517 -1.11958 | 5166.72 5620.74
6.72855 -40.3606 | -0.287909 -0.807168 | 3096.58 -2257.51
7.17645 -40.1204 | 2.86633 -5.66709 | -7390.58 -4775.12


-27.5091 64.838 | 0.947869 -3.05458 | 4399.01 13520.1
-27.2424 65.2751 | 0.219836 -1.31556 | -766.086 -9821.7
-26.9737 65.7027 | 0.724328 -0.912979 | -2467.3 -7488.51
-26.7026 66.1206 | 0.740693 -1.96172 | -9150.43 727.294
-26.4341 66.535 | -2.15883 -2.25017 | 6826.32 -4539.46
-26.1459 66.9347 | 1.43079 -2.5424 | -4520.2 -2530.07
-25.8473 67.3234 | -2.8696 -0.856353 | 5076.44 6068.7
-25.5359 67.708 | -5.27154 -0.570469 | -5140.43 -970.914
-25.2193 68.0857 | -2.03594 1.67016 | 826.877 -246.001
-24.8903 68.4523 | -2.34036 0.729709 | -2445.38 -443.054
-24.5471 68.8042 | -0.0689612 2.03106 | 928.133 2151.99
-24.1823 69.1374 | 2.34231 0.947493 | 6853.47 4738.67
-23.7876 69.4461 | -0.314942 -1.4999 | 9106.27 3970.16
-23.3617 69.7243 | -0.0341638 -2.38112 | -3302.6 3746.39
-22.9156 69.9669 | 1.36644 -5.24238 | -3894.41 -17826.8
-22.4509 70.151 | 3.64992 -1.75775 | -5000.01 4958.92
-21.9811 70.3112 | 4.84452 3.73463 | -3459.61 6131.09
-21.509 70.4596 | 3.04119 -3.64742 | 231.859 -8170.67
-21.0304 70.5825 | 1.17384 -4.46324 | 5094.25 8291.47
-20.5449 70.6991 | -0.491414 0.820035 | 5984.98 -943.147
-20.0516 70.8014 | 0.0518911 0.212969 | -2339.75 3063.52
-19.5563 70.8894 | 0.924801 -1.56965 | -4117.93 -3972.72
-19.0598 70.9509 | -1.78571 0.453842 | 5121.11 -5147.8
-18.5578 70.9876 | 2.0615 4.20784 | 4339.95 6686.03
-18.0528 71.023 | 3.16161 -0.716562 | -6235.17 -1092.51
-17.5521 71.0553 | -0.39399 -4.88179 | -7111.76 1693.88
-17.0568 71.0862 | -1.79044 -8.30177 | 37.0799 -1406.74
-16.5613 71.1091 | -1.56601 -4.58165 | 5213.91 -826.435
-16.0617 71.1233 | -0.563007 -0.164415 | 4376.06 -486.743
-15.5591 71.1323 | -2.56514 -3.97766 | -6961.17 1284.48
-15.0607 71.1415 | -3.44729 -3.01237 | 346.692 -2132.46
-14.562 71.1508 | -1.23266 -0.982353 | 6552.3 -2559.49
-14.0596 71.1686 | -0.558711 -2.51652 | -2995.13 5753.19
-13.5607 71.2138 | 2.29644 -0.477187 | -5624.42 -3886.85
-13.0688 71.2812 | 0.0465058 2.28802 | 589.711 -43.9084
-12.5829 71.3786 | -1.39764 0.357364 | -2986.17 -3204.25
-12.109 71.5117 | 1.10829 -0.891876 | -5892.74 -964.167
-11.654 71.6929 | -2.3154 1.77403 | 12126.7 10156.5
-11.2123 71.9309 | -3.34376 3.59806 | 14860.3 7601.4
-10.7818 72.2127 | -0.7174 3.77874 | -7797.39 -475.216
-10.375 72.5227 | 0.522712 2.37748 | -1903.06 -8056.22
-9.9827 72.842 | 0.323062 3.89649 | -2847.85 -3697.76
-9.60514 73.1715 | -4.3207 2.05776 | -1185.9 -9330.47
-9.24576 73.5142 | -1.50192 0.615631 | 6536.81 10233.4
-8.91837 73.8966 | -2.43601 1.90934 | -10913.9 11290.1
-8.64561 74.3219 | -0.612911 -0.462423 | 2774.49 -16359.8
-8.40163 74.7552 | 2.81014 -1.35725 | -5905.45 2836.19
-8.18607 75.2021 | 1.42177 -3.67203 | 9652.87 -3498.1
-7.97583 75.6533 | 1.60153 -3.21113 | 18.6394 12176.2
-7.78322 76.1197 | 4.27373 -1.91506 | -10443 -3505.25
-7.60927 76.5887 | -1.62512 -2.18514 | 8494.82 -11640.5
-7.41913 77.0456 | -0.834342 -2.95298 | -3228.33 8232.33
-7.21997 77.5033 | 1.48966 -0.287632 | 4844.68 4776.56
-6.99977 77.9568 | -0.884186 1.43207 | 6607.57 -1003.86
-6.75738 78.3997 | -1.15284 0.749857 | -11807.6 -11587.9
-6.51635 78.8311 | 1.16856 -1.70779 | -4428.01 341.421
-6.27367 79.2601 | 0.805798 0.52477 | 11983.7 9525.75
-6.01128 79.6891 | 1.15194 -0.0661341 | 2557.26 3760.47
-5.73909 80.1169 | 2.54288 -1.2189 | -13654.1 2931.15
-5.4684 80.5422 | 1.71107 -0.506847 | 2025.49 -4053.03
-5.16346 80.9416 | 1.02241 1.63927 | 14599.3 -4016.29
-4.80241 81.2979 | 0.678052 0.0264818 | 1019.2 7326.42
-4.40797 81.6227 | 0.284663 -3.00711 | -13972.6 142.274
-3.99383 81.9084 | 0.157462 -1.94963 | 2276.41 -11110
-3.54469 82.1252 | -0.592871 1.67926 | -567.178 -2609.32
-3.07114 82.279 | 0.223343 -1.34472 | 148.78 5238.11
-2.58353 82.3869 | -0.290167 -2.23255 | 3983.89 -8039.47
-2.0858 82.4489 | -0.411015 0.610118 | -1645.46 14915
-1.58684 82.4995 | -0.0357308 0.028509 | -1935.63 -3186.68
-1.08829 82.5148 | 0.26962 1.5838 | -8706.63 -4741.77
-0.597445 82.4835 | -1.82016 3.45504 | -3472.67 6450.18
-0.11418 82.4167 | -1.55795 -0.621455 | -2506.07 -6351.08
0.360465 82.304 | 0.156084 -1.8987 | 11254.1 464.787
0.837091 82.1653 | 0.631311 1.01365 | 9632.8 -4117.22
1.31667 82.0108 | 0.324067 2.32305 | -8979.47 1300.57
1.79129 81.8593 | 1.07494 1.83046 | -4464.26 8489.6
2.26845 81.7316 | -0.669648 0.590789 | 9485.23 -7152.59
2.75681 81.6183 | -1.58583 -2.46119 | 6028.15 480.328
3.25482 81.5318 | 0.978432 -1.14679 | -7904.39 4202.09
3.75259 81.4801 | 1.64436 -0.0340076 | -249.563 223.072
4.25121 81.458 | 0.145581 -3.58359 | -5157.16 -5093.14
4.74697 81.4594 | 0.273505 -0.247381 | 1554.92 11640.8
5.24265 81.4985 | -0.406269 1.70141 | 5255.66 -5394.04
5.74095 81.5416 | -1.38871 1.73328 | -2913.25 -7285.06
6.23726 81.5776 | -0.384892 3.06547 | -7811.8 7415.39
6.72846 81.6228 | 3.04984 0.132736 | 8862.77 -6979.93
7.22584 81.6621 | 2.78716 1.13938 | 6547.02 4559.72
7.72797 81.7107 | 1.19077 -0.505347 | -1753.24 788.382
8.22877 81.7667 | 1.88012 1.90038 | -1412.8 -8799.97
8.72773 81.824 | 0.571091 4.55551 | 411.924 2954.22
9.22186 81.9104 | -0.228159 2.16565 | -7623.16 1128.11
9.70097 82.0404 | 2.20543 -0.771011 | 913.39 -3531.39
