7.43746 -43.0035 | 1.35456 3.32647 | -745.661 2216.05
7.69479 -43.4244 | 1.24149 0.667051 | 2757.61 -1475.4
7.95052 -43.8486 | 0.512621 0.0292837 | -3576.56 -4004.23
8.20265 -44.2776 | 2.89317 0.872573 | 4940.51 -4096.69
8.46802 -44.7039 | -0.511463 -0.539221 | 4299.26 1119.38
8.75258 -45.1189 | -4.42667 -0.821556 | -3779.6 6228.18
9.04718 -45.5219 | -4.16557 0.264338 | -2879.84 -11802.5
9.34909 -45.9251 | -5.05757 0.354809 | 6056.91 6040.9
9.67685 -46.3068 | -2.90409 1.74172 | -3379.61 3821.86
10.0224 -46.6667 | -1.46329 -0.499181 | -4665.08 1136.46
10.3802 -47.0087 | 0.108291 2.81609 | -6542.45 3507.65
10.7509 -47.3304 | -0.33257 3.35195 | 8276.65 -9557.11
11.1483 -47.6329 | 0.661312 2.42387 | 11205.2 1727.41
11.5778 -47.9011 | 0.692086 1.51758 | -4132.59 -1858.36
12.0224 -48.1421 | -0.591323 0.329357 | -747.16 -763.639
12.4801 -48.3552 | -2.37441 -0.220802 | -2696.97 1129.52
12.9493 -48.5345 | 1.51987 5.15583 | -2141.13 2495.68
13.4291 -48.6742 | 3.31242 1.16114 | -1860.41 788.256
13.9176 -48.7755 | -0.294537 -2.85585 | 7136.65 1097.62
14.417 -48.8426 | 0.29083 -1.40242 | 3130.04 -5859.41
14.922 -48.8876 | 1.80063 -1.69635 | -1714.95 5207.84
15.4277 -48.9004 | 1.52065 -0.77896 | -1963.04 1143.84
15.9318 -48.8906 | 2.1153 2.16592 | -1808.31 -3271.9
16.434 -48.8718 | 0.221255 1.33785 | -2285.52 921.359


-32.8745 58.9744 | 7.27341 -0.264381 | -1584.65 9353.73
-32.4393 59.2257 | -0.529857 4.27376 | 5123.47 -13932.6
-32.0024 59.4711 | 0.647492 2.99825 | 776.447 2244.96
-31.5716 59.7288 | -0.306666 2.30295 | -4467.72 1365.18
-31.1564 60.0089 | -0.0853564 1.80973 | 6146.81 4474.41
-30.7524 60.3131 | -0.855633 1.38441 | 820.93 1098.71
-30.3637 60.6373 | -1.49589 -0.0652136 | -11824.1 -3879.92
-29.9965 60.9747 | -0.773446 1.25328 | 4195.2 -3664.76
-29.6316 61.3151 | -0.453679 0.918224 | 4191.78 8147.62
-29.2655 61.6641 | -0.143536 2.52127 | 6013.04 5354.23
-28.8918 62.0134 | -0.972465 5.44829 | -1932.27 -6369.08
-28.5112 62.3486 | -0.335692 2.25934 | -8567.52 -8156.52
-28.1294 62.6687 | 3.77559 0.70914 | -2264.17 1132.49
-27.7448 62.9816 | 2.74802 1.75445 | -1704.76 -1783.71
-27.3546 63.2852 | 1.55748 -1.21673 | 8995.84 -2197.68
-26.9539 63.5811 | 3.14341 -3.74708 | -2786.55 8703.38
-26.5608 63.8904 | 2.9529 -4.87214 | -7423.89 2311.22
-26.1749 64.2055 | 3.53008 -4.50843 | 6695.13 -3667.63
-25.7743 64.504 | 0.538839 -1.51848 | -3298.43 -1836.8
-25.3616 64.7809 | -1.38793 0.159643 | -2124.59 -3622.09
-24.9357 65.0331 | 0.464334 -0.976296 | 7081.9 6406.02
-24.4941 65.2688 | -1.2488 0.0919393 | -2664.47 -702.776
-24.0432 65.4824 | -2.19356 3.83906 | -6496.01 -1506.49
-23.5863 65.6694 | -2.38221 1.50678 | -4232.51 2076.58
-23.1203 65.8239 | -3.18055 2.31113 | 3762.96 -4837.14
-22.6381 65.9296 | 1.08599 0.0198285 | 13348.2 4980.82
-22.1388 65.9953 | 3.54548 -2.50434 | 851.126 1169.71
-21.6343 66.0186 | 1.03352 0.154207 | -6652.44 -8325.5
-21.1349 65.9928 | -0.802651 0.331292 | -6503.12 5869.96
-20.6423 65.9446 | -0.588261 0.543956 | 577.177 -776.328
-20.1514 65.8794 | 1.42545 -2.67211 | 6813.6 -1712.45
-19.6567 65.806 | -0.300064 -3.82464 | -67.9142 -121.361
-19.1609 65.7376 | -1.52665 -0.897286 | -870.798 5698.32
-18.6635 65.6881 | 0.615878 -2.38733 | 1711.88 -2878.88
-18.1643 65.6489 | 1.84585 -2.50665 | -4386.66 3619.19
