-68.1149 -29.7673 | 0.530419 0.476522 | 18077.5 -2296.94
-67.6251 -29.6432 | -1.06432 1.7886 | -15781.8 -939.129
-67.1586 -29.4718 | -1.8343 2.85157 | 1004.24 5764.16
-66.7101 -29.2516 | -4.02112 0.65325 | 14021.6 6415.75
-66.2662 -28.9997 | -1.85194 -1.52046 | -1496.55 -2348.81
-65.83 -28.7375 | -2.43403 2.16851 | -8045.08 -14599.8
-65.4023 -28.4798 | -4.60704 2.08667 | -1877.43 10481.5
-64.9848 -28.2028 | -1.71326 1.63098 | 3514.71 5769.45
-64.5664 -27.9211 | 2.18127 1.81115 | -570.928 -14227.4
-64.1373 -27.6645 | 1.49264 3.51988 | 2275.22 7925.24
-63.7008 -27.416 | -1.30779 3.57945 | -7354.14 -7883.6
-63.2616 -27.1863 | -2.02124 4.04978 | -2048.85 1403.22
-62.8187 -26.9669 | 1.43977 1.96625 | 3034.96 4550.34
-62.3684 -26.7575 | 2.16422 1.47695 | -3842.15 -7099.91
-61.9112 -26.5712 | 0.917529 0.69887 | 8599.77 5014.02
-61.4442 -26.3969 | 0.600466 1.86152 | -12156.9 -2608.28
-60.9803 -26.235 | 2.0285 2.24497 | 4252.29 -4748.04
-60.511 -26.0846 | 1.89079 -0.0732162 | 7361.33 12520.4
-60.0383 -25.9229 | 3.01316 -0.525472 | -7474.94 -1684.24
-59.5675 -25.7681 | 2.56096 1.8456 | 226.819 -4071.44
-59.0909 -25.6362 | 3.3797 -0.216994 | -129.286 3576.76
-58.6073 -25.5273 | 3.80429 -1.71003 | 7729.57 -1884.59
-58.1119 -25.454 | 2.10271 -2.98871 | 559.114 3916.2
-57.6118 -25.4164 | 3.73302 -2.99193 | -6517.89 -4983.75
-57.115 -25.4289 | 2.84189 0.531427 | -2060.59 -3124.31
-56.6219 -25.4851 | 1.22235 -3.07722 | 11226.5 1684.13
-56.125 -25.565 | 0.528949 -4.81926 | -2348.78 1375.65
-55.632 -25.6583 | -1.03157 -2.4706 | -6969.9 1.97192
-55.1459 -25.7588 | -0.160996 -1.42836 | -3911.26 1546.5
-54.6624 -25.855 | 1.43545 -0.704262 | 2880.13 602.899
-54.1739 -25.9399 | -2.37672 -1.7565 | 13106.4 -2655.43
-53.6735 -26.0113 | -1.68566 -2.76466 | 2670.71 6802.97
-53.1684 -26.0617 | -0.143864 -0.101704 | -11382.4 -7154.78
