9.45781 37.8996 | -0.33302 1.5814 | -255.169 2827.12
9.95747 37.8757 | -0.0209585 2.56447 | -763.248 -763.604
10.4569 37.8632 | 0.274085 2.1971 | -386.203 -959.75
10.9562 37.8601 | 0.442966 0.994224 | 140.504 569.193
11.4553 37.8681 | 0.548498 0.879321 | 16.0259 398.724
11.9543 37.8863 | 0.536687 1.2043 | -69.8146 -43.3836
12.4528 37.9122 | 0.289108 1.65597 | 577.43 -792.022
12.9515 37.9432 | 0.146811 2.20951 | 934.052 1000.7
13.4506 37.9798 | 0.0930561 2.04652 | -105.047 -394.108
13.9493 38.0191 | -0.0161829 1.18647 | -703.059 865.141
14.4475 38.0599 | -0.170922 0.167689 | 445.8 591.022
14.9463 38.098 | -0.438767 -0.222966 | 661.137 -1906.76
15.446 38.127 | -0.447428 -0.67426 | -367.607 -1100.89
15.9457 38.1487 | -0.318307 -1.73874 | -683.107 784.094
16.4447 38.17 | -0.359408 -1.49098 | -147.017 1660.87
16.9434 38.1947 | -0.31214 -1.16383 | 502.877 1373.14
17.4426 38.2204 | -0.192229 -0.917235 | 998.953 -515.118
17.9431 38.2395 | -0.124627 0.447921 | 664.557 -1924.29
18.4444 38.2466 | -0.182965 1.01727 | -641.203 -1357.27
18.9452 38.2442 | -0.154971 1.09306 | -999.997 1262.83
19.4451 38.2398 | 0.183948 1.69227 | -45.4794 1745.37
19.9449 38.2358 | 0.349785 2.47432 | -106.611 -161.157
20.4445 38.2273 | 0.360261 2.61816 | -853.128 -710.659
20.9434 38.2086 | 0.451029 1.94367 | -764.181 -3093.97
21.4409 38.1752 | 0.558268 1.16683 | -235.859 -1721.17
21.9376 38.1322 | 0.680555 0.264621 | 403.973 771.764
22.4345 38.0892 | 0.69211 -0.308841 | 519.973 1459.33
22.932 38.0501 | 0.760342 0.652786 | 223.607 -1289.23
23.4299 38.0113 | 0.677467 1.44625 | -273.212 -1805.36
23.9277 37.9728 | 0.189116 0.981119 | -447.006 1114.94
24.4257 37.9418 | -0.209948 0.681074 | -141.311 -997.736
24.924 37.9207 | -0.521983 0.740908 | -36.4048 80.9492
25.4226 37.9162 | -0.724463 0.140812 | -326.024 1652.74
