-82.6451 -43.7483 | 2.35909 -1.61796 | -16956.9 2325.22
-82.75 -43.2569 | -0.145952 -1.52416 | 10214.1 -6899.56
-82.822 -42.7686 | 1.50218 -3.62076 | 243.905 -31080
-82.8642 -42.2963 | 2.97171 -1.41019 | 5674.28 24454.5
-82.874 -41.8074 | 1.50352 1.32299 | -8611.78 14235.6
-82.879 -41.3064 | 3.64898 0.387697 | -6180.81 -4558.73
-82.8742 -40.8052 | 1.90024 -2.45123 | 6984.34 14957.7
-82.831 -40.2986 | 1.60832 -3.4019 | 1391.62 -27067.2
-82.7476 -39.8154 | 1.56813 -1.10699 | -7422.46 -9053.02
-82.6394 -39.3465 | -3.44267 -0.441597 | -3856.46 12194.9
-82.5011 -38.8804 | -0.777847 0.642146 | -269.333 -9561.66
-82.3117 -38.4365 | -0.415937 2.62758 | 13107 15186.9
-82.0622 -38.0091 | -0.816622 -2.08291 | -4524.67 -2870.57
-81.7792 -37.6051 | -0.570613 -0.530126 | -10347.6 -3574.75
-81.4767 -37.2212 | 2.66222 3.89274 | 10478 15085.3
-81.1395 -36.853 | 1.36305 -0.0929889 | 560.297 -12072.1
-80.7698 -36.5234 | 1.13894 -3.22054 | -2619.23 486.037
-80.3838 -36.2156 | 3.62502 0.301335 | -5371.74 2373.45
-79.9917 -35.9165 | 6.73892 -0.124444 | 12915 6066.3
-79.584 -35.6232 | 6.44115 -3.00612 | -5173.28 4601.66
-79.174 -35.335 | 1.34823 0.898469 | -9595.02 -11799.6
-78.7576 -35.0712 | 2.50882 1.78381 | 16549.2 6869.03
-78.3197 -34.8217 | -1.90723 0.49935 | -1068.39 891.257
-77.8741 -34.5811 | -5.45314 -5.07152 | 9127.36 2705.2
-77.4205 -34.3425 | 0.0919348 0.867819 | -5451.58 -2848.67
-76.974 -34.099 | 4.20292 2.17543 | -7608.86 4359.04
-76.5416 -33.8399 | 1.36956 1.67554 | -7322.43 -7804.43
-76.1162 -33.5804 | -0.186596 -1.63133 | 18974.5 4502.52
-75.6807 -33.3156 | 0.178972 0.0793796 | 1560.65 -1042.46
-75.2548 -33.0351 | 0.251781 0.149113 | -21756.2 -5118.09
-74.8658 -32.7257 | -1.32001 -0.145157 | 8534.23 7203.63
-74.4976 -32.3841 | -5.30869 2.93908 | 1783.36 -4547.36
-74.1516 -32.0219 | -5.299 -0.915095 | -7289.92 -2839.04
-73.8394 -31.6372 | -1.4939 3.38673 | 1166.59 -8932.65
-73.557 -31.234 | -1.55585 2.98137 | 4369.76 19086.8
-73.3125 -30.793 | 0.697969 -0.443875 | -11089.9 7206.39
-73.105 -30.331 | 0.707429 0.320398 | 12954.2 -17601.8
-72.883 -29.8819 | 0.781045 -2.22648 | 5831.65 12860.6
-72.6541 -29.4264 | 1.29303 -1.98855 | -3393.09 1489.91
-72.4343 -28.9669 | 0.798997 -0.0369634 | -5298.99 -18586.9
-72.226 -28.515 | 3.28996 -1.49219 | -7135.87 14601.9
