-16.8849 -44.7913 | 2.77871 -3.49573 | 846.573 -1665.82
-16.3896 -44.6667 | 3.39478 -1.5567 | -863.149 810
-15.8975 -44.5312 | 3.76253 -0.861315 | -1900.18 742.715
-15.4123 -44.3784 | 3.9138 -0.867431 | -3045.26 -218.338
-14.9366 -44.2062 | 4.03949 -0.908922 | -3610.49 -823.648
-14.472 -44.0147 | 3.7209 -0.0153098 | -4244.21 545.734
-14.019 -43.8058 | 3.23484 0.778447 | -3110.49 -773.098
-13.5732 -43.5888 | 3.00795 0.351865 | -557.16 -3363.75
-13.128 -43.3757 | 2.67061 0.389122 | -1847.6 -463.904
-12.6818 -43.1683 | 2.79505 -0.349943 | 199.539 -1330.7
-12.2318 -42.9695 | 2.86901 -1.26924 | 2813.52 609.218
-11.7767 -42.7766 | 1.81293 -0.574791 | 1663.97 1923.46
-11.3188 -42.5856 | 0.0487541 0.15715 | -1044.68 916.279
-10.86 -42.3973 | -1.51043 1.5111 | -1009.07 -906.481
-10.399 -42.2166 | -1.40958 2.77201 | 1638.8 -2098.23
-9.9336 -42.0453 | 0.282948 1.98547 | 1890.94 2366.26
-9.46539 -41.8755 | 1.51164 0.851834 | 298.274 4939.52
-8.99528 -41.7056 | 1.11838 1.34104 | 1396.29 -1184.09
-8.51894 -41.5508 | 0.296907 1.82006 | 1533.35 -3822.1
-8.03501 -41.4205 | -0.369999 0.795227 | -1598.38 2181.63
-7.54744 -41.3081 | -1.27154 -0.0774397 | -1417.19 -41.4337
-7.05671 -41.216 | -1.9236 -0.658808 | -129.094 140.879
-6.56224 -41.1469 | -1.95628 -0.763312 | 1680.88 2289.25
-6.06341 -41.1035 | -1.76729 -0.226115 | 1730.93 -977.173
-5.56173 -41.0966 | -1.79263 -0.322593 | -1896.97 -1781.58
-5.06286 -41.1324 | -1.66877 2.29234 | -3602.21 -1145.75
-4.57147 -41.2087 | -1.06987 3.82812 | -2469.2 0.398965
-4.08825 -41.3166 | -0.960933 1.99704 | -848.81 336.636
-3.61074 -41.4442 | -1.23356 0.730476 | 1489.6 2280.16
-3.1345 -41.5791 | -1.22044 1.28103 | 3590.85 3369.01
-2.65715 -41.7187 | -1.12448 1.19842 | 3208.97 -970.899
-2.18217 -41.8758 | -1.1492 0.384097 | 509.049 -3857.58
-1.71583 -42.0616 | -1.83423 -0.966843 | -727.168 -2670.02
-1.26018 -42.2739 | -2.65951 -2.2443 | 761.474 73.0408
-0.811223 -42.5011 | -2.18208 -1.87485 | 804.07 2737.06
-0.365392 -42.7334 | -1.58199 -1.42556 | -983.932 1108.03
0.0762496 -42.9709 | -1.47059 -1.35898 | -2732.69 -1452.13
0.512156 -43.2159 | -1.07222 -1.04019 | 33.1865 1191.11
0.946944 -43.4624 | -0.601004 -1.20563 | 3123.15 70.5752
1.38428 -43.7086 | -0.0639876 -0.133023 | 2021.32 -1152.65
1.8226 -43.9571 | 0.167777 1.55258 | 191.295 -1562.95
2.25954 -44.2103 | 0.805921 2.94237 | -1516.79 -5549.16
2.69598 -44.4671 | 1.91465 4.40716 | 1278.27 1093.1
3.14276 -44.7069 | 0.590918 2.38709 | 3277.46 4988.47
3.60661 -44.9133 | -2.25178 -2.00042 | 658.597 639.667
4.08342 -45.0894 | -3.07712 -2.48896 | 1391.36 1568.22
4.56953 -45.2403 | -1.84257 0.307637 | 856.505 454.703
5.05978 -45.3774 | -0.902349 1.08493 | -3470.78 -4210.15
5.54793 -45.5146 | -0.509741 -1.97574 | -2971.25 324.918
6.03448 -45.6475 | -0.0914837 -6.51569 | -3218.67 -105.697
6.5207 -45.7706 | 0.353554 -7.7074 | -3445.47 -1197.36
7.0087 -45.875 | 0.837716 -4.97075 | 758.095 2749.34
7.5027 -45.945 | 1.29295 -2.618 | 2111.46 1560.75
8.00181 -45.9758 | 2.01924 -1.33516 | -821.706 -2696.79
8.50114 -45.9706 | 2.23595 0.956949 | -2498.95 461.252
8.99629 -45.9227 | 1.49296 2.07333 | -655.194 3276.42
9.48508 -45.8288 | 1.0564 2.94793 | 4194.64 2612.43
9.96998 -45.7 | 1.80583 2.11996 | 5284.9 -1367.56
10.4542 -45.5541 | 2.83504 -0.730034 | 1329.78 -2339.16
