8.23572 60.2893 | 1.21765 0.794902 | 11465.2 3749.17
8.72771 60.1763 | 1.87358 -0.683955 | -6849.92 731.376
9.22246 60.0939 | 1.9861 -1.58567 | 1364.06 -8412.54
9.72074 60.0286 | 0.980336 -0.473382 | 252.55 8038.14
10.2214 59.9995 | -0.540463 0.862449 | -7510.05 -6929.31
10.7175 59.9935 | -0.913083 -0.72459 | -430.674 -1589.19
11.2111 60.0252 | -1.16799 -1.60937 | -1993.11 8369.36
11.6973 60.1134 | -2.85928 -0.483802 | 3774.46 1379.99
12.1788 60.2403 | -0.453278 -0.538059 | 8113.69 -1385.65
12.6605 60.3846 | 0.921833 -1.58743 | -7120.26 -2565.66
13.135 60.5357 | -1.89145 -0.660231 | -3148.33 -4754.1
13.606 60.6868 | -1.70799 1.68424 | 1319.82 7488.17
14.0772 60.8463 | -0.323266 1.7678 | 8852.04 -130.275
14.5572 60.9958 | 0.0765614 -2.34737 | -3760.04 -5024.38
15.0397 61.1237 | 0.42406 -4.14626 | -10778.4 1230.47
15.5199 61.2344 | -1.74274 0.841643 | 8132.17 2720.22
16.01 61.3214 | -2.07132 -1.50521 | 3328.24 -2045.45
16.5083 61.37 | -2.09586 -4.47183 | 1249.49 -3899.9
17.0104 61.3742 | -2.06498 -1.77506 | 617.274 4145.85
17.5117 61.3432 | -1.13902 0.485854 | -6444.22 -4245.86
18.0056 61.2699 | -0.616595 0.77542 | 7636.88 1788.94
18.4997 61.1652 | -1.79519 1.60096 | 9922.86 -1581.6
18.9929 61.0284 | -3.39449 0.831585 | -6902.17 1759.36
19.4703 60.8581 | -1.82403 0.125504 | -10513.5 -937.55
19.9251 60.6506 | 0.393272 -0.330495 | -459.485 -828.406
20.3658 60.4164 | -1.46037 -1.71925 | 5767.66 4662.08
20.8021 60.1697 | -3.81494 -1.10449 | 2733.8 -3441.33
21.2293 59.9015 | -2.76668 1.21537 | -723.89 2914.51
21.6411 59.6116 | -1.48483 0.823205 | 20.9473 -4946.39
22.031 59.29 | -3.72432 -3.4822 | -4297.73 4091.62


-36.0557 -10.7731 | 2.33552 0.380245 | 5960.71 -2185.92
-35.565 -10.6546 | 4.23042 -2.15027 | -3482.79 5299.3
-35.0838 -10.5069 | 0.68546 -2.00264 | 629.062 -3701.24
-34.6091 -10.3432 | 0.464821 -0.0142955 | -5909.77 358.926
-34.1438 -10.1627 | 1.3576 -0.0435805 | 4075.47 4755.95
-33.6789 -9.97031 | 1.31895 1.08724 | 7121.28 1680.32
-33.2062 -9.78387 | 2.81701 0.461931 | -2795.95 -865.93
-32.7275 -9.62073 | -0.85329 2.72628 | -4637.81 -12052.1
-32.2432 -9.49942 | -3.4181 2.5005 | -9392.44 3237.46
-31.7599 -9.39804 | 0.0782805 1.78035 | 8146.15 10029.9
-31.2682 -9.31203 | 2.09095 -1.32926 | 214.08 -10143.5
-30.7712 -9.27239 | -0.969019 0.210159 | -7413.26 -4574.21
-30.2771 -9.26869 | -4.3333 -0.501352 | 5864.5 14660.3
-29.7801 -9.27144 | -4.373 -1.50121 | -4070.51 -2601.32
-29.286 -9.30907 | -5.62598 1.61352 | 5431.84 -6082.38
-28.7939 -9.3976 | -1.11561 1.50416 | 4931.13 531.449
-28.3074 -9.52955 | 0.867832 0.153025 | -2152.35 -3926.97
-27.8328 -9.7029 | -3.00755 -1.04865 | 8026.1 1232.11
-27.363 -9.90244 | -0.862225 0.777586 | -2199.76 -4705.64
-26.9028 -10.1268 | 0.0386362 -0.24837 | 10550.2 4097.41
-26.4426 -10.3601 | 1.01867 -3.59383 | -7524.4 6404.93
-25.9996 -10.6103 | 1.29454 1.49343 | -16737.2 -2462.39
-25.5893 -10.8962 | -2.37602 6.65045 | 12322.4 -6381.03
-25.1911 -11.2102 | -1.81071 3.43318 | -5404.56 5419.43
-24.8093 -11.5372 | -0.0832171 0.383379 | -1210.57 4978.58
-24.4401 -11.873 | 2.26215 0.364863 | 1073.41 115.846
-24.0853 -12.2236 | 3.37004 0.444991 | -3918.75 -4217.52
-23.7519 -12.5943 | -1.50048 -0.637727 | -3614.43 981.46
-23.4309 -12.9729 | -0.416401 0.275304 | -834.322 2635.68
-23.1039 -13.3446 | 1.72827 3.16324 | 13352.9 -1880.07
-22.7522 -13.7018 | -0.527786 2.01976 | -7526.4 -136.771
-22.3947 -14.0473 | 1.11214 1.08074 | -13081.3 11445
-22.0318 -14.3719 | -1.02776 0.345382 | 15266.8 -11581
-21.6431 -14.6845 | -1.40064 -2.42711 | 4245.83 -3963.01
-21.2346 -14.9788 | 1.88905 -0.901443 | -7038.3 8294.95
-20.8149 -15.2446 | 0.280771 -0.50849 | -1653.23 3191.17
-20.3872 -15.49 | -0.982375 -2.44035 | -13426.8 -11743
-19.9601 -15.7301 | -0.750138 -0.227519 | 18458.9 4312.02
-19.5017 -15.926 | 0.441918 0.613946 | -2351.44 7936.25
-19.0269 -16.0724 | 1.21503 -0.880745 | -4322.37 -2894.43
-18.5469 -16.1964 | 3.56963 0.619375 | 12175.7 -6827.36
-18.0573 -16.3139 | 3.50406 1.7504 | -10248.7 -5935.98
-17.5713 -16.422 | -0.945221 -1.23602 | -10981 7475.55
-17.086 -16.4902 | -1.2701 -0.78165 | 14101.4 3433.28
-16.5875 -16.5133 | -1.47012 -1.31771 | 5601.52 -2794.35
-16.0832 -16.5051 | -1.07956 0.180758 | 1452.57 -6452.24
-15.5792 -16.4698 | -1.20405 1.00639 | -8462.7 15829.4
-15.0856 -16.3857 | -2.62528 2.20088 | 178.999 -10224.1
-14.5955 -16.2964 | -0.950724 2.16579 | -5117.25 -689.621
-14.1095 -16.206 | 1.84217 1.42839 | 175.004 -2707.46
-13.6223 -16.1192 | -0.262462 -1.01812 | 11034.3 5874.82
-13.1277 -16.0288 | -2.13988 3.23137 | -1729.55 -4920.83
-12.6328 -15.9463 | -2.59905 4.57227 | -4595.56 -6764.39
-12.1417 -15.8651 | 0.969383 2.47301 | -1590.59 10059.9
-11.6571 -15.7543 | 2.57199 -0.13311 | -2698.92 1095.66
-11.1775 -15.6244 | 0.585525 -1.05891 | 13003 -1423.48
-10.6913 -15.4911 | 0.996086 -1.74594 | -6173.99 -2783.28
-10.2097 -15.3563 | -1.53766 1.1378 | -7666.89 -903.723
-9.73556 -15.215 | -0.930191 1.10402 | 5412.21 7011.24
-9.26034 -15.0643 | 2.49151 0.683568 | -331.278 -6546.38
-8.78339 -14.9253 | 0.227637 0.787376 | -7375.87 -1624
-8.30985 -14.7938 | -0.170798 -0.182119 | -1396.77 5546.54
-7.83555 -14.6646 | 1.96865 1.64259 | 5004.31 2204.69
-7.35082 -14.5544 | 2.70864 -1.30952 | 19550.5 -8816.15
-6.8471 -14.4834 | 0.97478 1.79977 | -12759.1 6710.1
-6.34816 -14.4276 | -0.912821 4.39992 | -5469.35 3216.26
-5.85184 -14.3922 | -1.34283 -1.41823 | 3856.28 -11667.6
-5.35374 -14.3966 | -2.18677 -3.071 | -10562.5 15304.8
-4.86209 -14.4121 | -1.82007 -2.01216 | 6434.87 -6250.06
-4.36789 -14.4699 | 0.239479 -2.99888 | 20116.2 -8503.47
-3.86787 -14.5767 | -1.43117 -0.857888 | -14504.7 3846.59
-3.38439 -14.7138 | -3.30738 -3.21676 | -6440.69 8818.81
-2.91379 -14.8698 | -1.08274 3.60495 | 5514.37 -734.639
-2.45265 -15.0604 | 0.772864 0.713952 | 3020.82 -11286.2
-2.00884 -15.302 | 2.57463 1.27362 | 4878.26 -3124.14
-1.57938 -15.5766 | -0.512104 2.16597 | -2198.21 9237.38
-1.16413 -15.865 | 2.43623 0.561149 | -6792.57 -7188.75
-0.76789 -16.1763 | 5.59263 -0.758902 | 3871.54 6921.2
-0.373614 -16.4881 | 1.72954 -4.52029 | -494.836 1508.58
0.0171226 -16.8033 | 2.42205 -1.3303 | 1237.94 -8030.69
0.402417 -17.1287 | 0.854897 3.00662 | -10509 8622.72
0.782512 -17.4454 | -1.36568 1.77896 | -3976.57 5374.85
1.17004 -17.7443 | 3.62782 2.28108 | 6380.78 -2562.13
1.57557 -18.0249 | 5.71681 2.79794 | -481.615 -1946.4
1.99485 -18.2868 | 6.95062 -0.963734 | 1913.86 3072.88
2.4282 -18.5252 | 2.83079 -0.920726 | -3986.91 -8139.51
2.86843 -18.7496 | -2.5122 -1.69485 | -4125.86 8030.98
3.32129 -18.937 | -0.388294 2.57917 | 8505.87 -509.942
3.79206 -19.0916 | 2.93669 1.57196 | 1633.07 -6140.9
4.27214 -19.2257 | 4.04152 1.59454 | -3259.5 -4774.84
