14.1347 48.0796 | -2.61643 -0.22882 | 3102.19 6678.55
14.5387 48.3809 | -1.20551 -2.32806 | 2882.93 2722.02
14.9398 48.6903 | -1.43263 -0.822375 | -3482.98 -9351.03
15.3423 48.9883 | -3.01596 3.05087 | -3894.73 -795.136
15.7466 49.2786 | -1.43538 2.21126 | 2232.28 1952.44
16.1587 49.5606 | -0.438377 1.23197 | 1285.25 -1345.79
16.5803 49.8295 | 0.838645 1.15009 | 2288.13 98.6668
17.0105 50.0873 | -0.136819 1.08116 | -1333.02 -800.948
17.4433 50.3381 | 0.33182 -1.5601 | -3421.71 -829.705
17.8741 50.587 | 0.332156 -2.22099 | -1312.96 -741.288
18.3028 50.8374 | -1.49697 0.284971 | -642.16 7530.61
18.731 51.0935 | -0.223885 -1.2232 | 6428.84 -3054.28
19.1712 51.3344 | 1.68417 -2.71662 | -2001.44 -3813.8
19.6186 51.557 | -0.562151 3.00992 | -5005.73 7792.97
20.0693 51.77 | 0.528665 3.11048 | 4170.32 -9402.51
20.5345 51.9493 | 2.28894 -0.219691 | -476.107 3186.01
21.0068 52.1086 | 2.36194 1.18834 | -6438.46 7362.33
21.4818 52.2503 | 2.54694 0.597705 | 263.202 -3314.47
21.9682 52.3444 | 1.05336 -0.254019 | 10223.4 -9404.55
22.4681 52.3752 | -1.17109 0.264534 | -6599.41 8222.86
22.9655 52.3697 | -1.82938 0.0625789 | -3946.72 3493.7
23.4582 52.3235 | 1.20786 -0.571255 | 9832.54 -11096.6
23.9488 52.2204 | 2.22365 -1.3886 | -7336.22 5469.14
24.427 52.0864 | 1.6091 -0.703515 | -2813.54 5132.73
24.8958 51.9313 | 0.258186 -0.438001 | 7527.62 -4068.04
25.3602 51.748 | 1.11254 1.90758 | 1339.33 -161.817
25.8155 51.5394 | 2.98054 0.137669 | -1983.5 -89.5157
26.2575 51.3076 | 4.38946 1.33843 | -5324.31 2512.69
26.6852 51.058 | 1.55879 0.712116 | -58.3126 -2539.28
27.1056 50.794 | -1.80549 -2.29556 | 11696.6 98.9283
27.5314 50.5267 | -1.44617 -2.51148 | -4188.2 -966.244
27.9501 50.2533 | -0.0764654 -1.42259 | -15769 4625.4
28.3566 49.9809 | -1.72621 -1.16443 | 7104.49 6929.06
28.7734 49.7219 | -1.84292 -0.548635 | 7710.42 -13519.1
29.1983 49.457 | 0.508109 1.39722 | 3758.14 -2391.33
29.6327 49.1996 | -0.376551 0.807021 | -3629.27 4722.1
30.0763 48.9643 | -1.67442 -2.17201 | 271.397 -4147.62
30.5333 48.7526 | -0.589399 0.329914 | 7751.66 5260.9
31.0109 48.5813 | -0.110932 1.10906 | -1510.21 -2230.33
31.4989 48.4418 | -3.18965 -0.794927 | -625.283 -1333.97
31.9947 48.3351 | -5.15235 0.558409 | -305.181 5146.71
32.4963 48.2692 | -1.68289 -0.769946 | -3765.23 -6309.9
32.9982 48.2338 | 0.568087 2.0968 | -2910.65 8162.78
33.4984 48.2448 | -0.620551 3.55511 | -2729.43 -2773.57
33.9953 48.286 | 0.679538 0.674812 | 5741.72 -4818.99
34.4932 48.3513 | 1.36096 1.92843 | 2394.06 7979.88
34.9871 48.4552 | 0.6781 0.766198 | -4975.38 -5785.99
35.472 48.5819 | -0.914445 -0.226475 | 3236.93 -1042.49
35.9502 48.7353 | -0.557752 1.10736 | -4239.16 7273.75
36.4142 48.9244 | 1.92006 -0.50693 | -504.895 -5009.09
36.8701 49.1277 | 2.20178 -1.64873 | 1503.46 -3887
37.3208 49.3408 | 0.827207 -0.555102 | -258.51 -706.281
37.7605 49.5735 | 0.179925 -0.995989 | -6105.34 4105.98
38.1805 49.8353 | -0.0663096 -4.99936 | -1363.8 -1362.82
38.5886 50.1131 | -0.859591 -1.84877 | 2800.95 618.428
38.9955 50.3966 | -2.79452 -0.7074 | 3891.46 2973.47
39.4082 50.6777 | -1.60377 -2.50846 | -495.601 -2628.14
39.8296 50.9442 | -1.44022 1.17083 | 555.836 2889.53
40.262 51.1929 | -0.69324 1.23087 | -6951.44 -3947.29
40.7049 51.4093 | 0.890721 -0.220629 | -1915.4 -2280.74
41.1636 51.5847 | 0.720409 2.14143 | 7508.45 2690.63
41.6419 51.7186 | 0.836121 -1.41926 | 2580.88 -4230.92
42.1328 51.8089 | 2.58684 -3.55489 | -487.163 7444.6
42.6288 51.8741 | 1.77245 1.36583 | 1315.17 -3092.01
43.1292 51.9046 | -0.039291 -2.83475 | 131.373 867.063
43.6312 51.9035 | -1.0097 -3.54845 | 4637.9 634.599
44.1347 51.8709 | -0.804806 1.2543 | -7796.92 -1990.09
44.63 51.8042 | -1.35406 0.641179 | 575.552 3504.48
45.1206 51.7108 | -2.67177 2.16978 | 3632.18 -282.167
45.6067 51.5848 | -3.3109 2.9843 | 1285.55 -5140.38
46.083 51.4194 | -2.71517 -0.970145 | -535.641 1101.85
46.5476 51.226 | -0.345568 1.49629 | -4281.72 6470.22
46.9984 51.0126 | -0.0915524 1.8115 | -913.712 -4457.46
47.4339 50.7693 | -1.78192 -0.638248 | 2428.7 3697.32
47.8567 50.5043 | -0.189532 0.638597 | -1420.45 -3268.79
48.2612 50.2111 | 1.13872 1.50904 | -1667.93 -4049.33
48.6492 49.8961 | -0.148977 0.612775 | 0.0935231 9350.92
49.0319 49.5804 | 0.236912 -1.30257 | -50.2701 -5139.85
