-16.6838 -22.8564 | 1.0989 2.589 | 170.158 2589
-16.2467 -22.6225 | 0.558154 2.06834 | -179.602 -485.961
-15.8137 -22.3799 | -0.226503 0.658609 | 4673.41 103.876
-15.3794 -22.133 | -0.0079752 0.0722986 | 2784.76 2618.71
-14.9452 -21.8805 | 0.709682 0.18901 | -3900.35 430.243
-14.5142 -21.626 | 0.491436 0.206339 | 128.424 -2596.21
-14.0799 -21.379 | -0.17096 1.37097 | 1293.41 63.4912
-13.6398 -21.1404 | 0.36012 1.92474 | 2669.38 1218.34
-13.1928 -20.9093 | 1.46228 1.65285 | 3276.02 472.963
-12.7395 -20.6851 | 1.77689 0.745294 | -2272.89 1708.58
-12.285 -20.465 | 1.29389 -0.475555 | -2013.75 1454.14
-11.8273 -20.2536 | 1.03706 -0.0501708 | -2528.51 -3916.44


-0.418549 48.5639 | -0.202194 0.770584 | 323.412 -229.56
0.0284634 48.3383 | 1.23575 2.38244 | 774.931 -1488.39
0.462434 48.0857 | -0.902565 1.75582 | 1888.6 -2961.92
0.886477 47.812 | -2.96945 -0.37736 | 4641.75 2967.58
1.30583 47.5288 | -2.10857 1.1783 | -4143.91 2478.85
1.71203 47.2327 | -0.159676 3.4324 | -4755.27 -2710.4
2.10169 46.9184 | 0.696556 3.64329 | 819.138 1311.9
2.48402 46.5962 | 2.535 5.45532 | 58.4277 1406.21
2.86377 46.2721 | 3.22785 4.76274 | -439.308 -358.93
3.24331 45.9484 | 1.78477 3.7498 | -480.127 2841.55
3.62543 45.6301 | 1.1155 3.17246 | -3792.6 -3749.49
4.00996 45.3148 | 2.7406 1.4882 | 5108.65 -1979.41
4.41151 45.0152 | 3.60557 0.885239 | 5104.98 1933.2
4.83504 44.743 | 2.50405 -0.154011 | -3597.4 -2582.21
5.27262 44.4972 | 1.29759 -0.168299 | -5830.34 2530.9
5.72443 44.2909 | 1.44358 -0.84222 | -1241.68 3949.93
6.19362 44.136 | 2.99639 -2.44641 | 260.98 -1884.14
6.67657 44.0306 | 2.12604 -2.32949 | -447.496 -400.895
7.16836 43.977 | -0.0698209 -0.805131 | 3318.27 2281.07
7.66622 43.9759 | -1.09642 -1.06551 | 5515.74 -3260.98
8.16722 44.0159 | -0.532688 -2.29121 | 3668.74 436.547
8.66581 44.0986 | 0.334177 -1.15486 | -4089.34 2846.48
9.15253 44.2249 | -0.527139 -1.69146 | -6991.76 -751.358
9.62498 44.3827 | -1.26599 -1.98139 | 2973.6 -1215.18
10.0925 44.5574 | -0.8373 -1.01452 | 3625.13 -3732.1
10.5582 44.7411 | 0.244948 0.0990847 | 10.1775 -851.532
11.0163 44.9424 | 1.24773 2.31732 | -3038.86 2264.05
11.4589 45.1714 | 0.0133578 4.07747 | -4671.49 -2407.41
11.8832 45.4249 | -0.498097 3.49505 | -1503.15 -125.766
12.2916 45.7005 | 0.546898 1.34947 | 1942.13 -2873.26
12.6889 45.9916 | -0.0321359 0.382207 | 487.223 805.318
13.0726 46.302 | 0.198928 0.708584 | 2938.01 3696.28
13.4427 46.6338 | 0.593458 1.60916 | 2657.54 -1072.34
13.799 46.9825 | 0.894213 1.70803 | -2268.93 4851.87
14.1359 47.3519 | 0.851936 2.16712 | -1950.93 1383.33
14.4617 47.731 | -0.702691 3.07544 | 795.426 -4352.67
14.7918 48.103 | -0.564647 3.41637 | -2630.4 -3622.66
15.1316 48.4606 | -1.15408 4.30989 | -659.581 -6700.66
15.4849 48.7996 | -2.95198 3.59814 | 2686.32 2040.29
15.8465 49.1332 | -2.51391 1.31514 | -1087.7 10905
16.2083 49.4746 | -2.3388 1.85247 | 2294.4 2841.8
16.5827 49.8074 | -0.11622 1.83798 | 3857.6 -3169.89
16.9816 50.1121 | 1.76835 1.32074 | -286.701 -2308.28
17.4035 50.3823 | -0.21221 3.95156 | -1289.02 2331
17.8449 50.6186 | -0.776771 4.8841 | -695.961 -1127.7
18.3054 50.8119 | 0.308874 3.13895 | -2691.07 -1198.42
18.7818 50.9558 | 0.736814 1.06682 | 4214.78 -2594.91
19.2737 51.0474 | 0.773207 0.534431 | 3727.83 -395.839
19.7746 51.098 | 1.0794 1.13078 | -419.132 5193.24
20.2778 51.1232 | 1.07831 0.544274 | -1766.11 1370.95
20.7801 51.1178 | -0.155161 1.62375 | -2339.2 -4023.07
21.279 51.0717 | -0.775646 1.93049 | 3493.4 -402.027
21.7759 50.9904 | 0.375055 2.32575 | 2332.66 258.766
22.269 50.8799 | 1.68473 4.22789 | -1312.21 1827.7
22.7546 50.7432 | 0.77766 3.81767 | 251.884 -2137.68
23.231 50.5765 | -0.525288 3.63795 | -2762.14 -7498.21
23.6973 50.3831 | -0.27801 3.54814 | 760.001 7481.22
24.164 50.1952 | -0.183629 -0.251745 | 988.23 6166.34
24.6338 50.0175 | -0.379647 -0.975515 | 567.205 -2589.22
25.1019 49.8318 | -1.45534 -1.03109 | 2213.64 -4517.31
25.5658 49.6282 | -1.75915 -2.30012 | 2427.24 -2156.16
26.0258 49.4094 | -0.841952 -0.862051 | 1806.75 -342.743
26.4826 49.1808 | -1.41452 0.860517 | -1730.41 164.191
26.9341 48.9457 | -2.12797 2.99332 | -5602.32 2456.98
27.3791 48.7088 | -0.674505 5.75127 | -4990.04 -796.261
27.821 48.4732 | -0.0751509 4.84389 | -1109.55 -3285.3
28.2702 48.2521 | -0.302609 2.64376 | 4322.84 3515.55
28.7393 48.0726 | 0.110245 1.57929 | 3279.38 6647.56
29.2264 47.9464 | -0.712991 0.176021 | -1706.33 -3161.52
29.721 47.8576 | -2.62547 -1.26508 | -3777.34 -2358.36
30.2172 47.8028 | -2.70311 -2.59904 | -6259.03 3100.23
30.7113 47.7891 | -1.0558 -2.40143 | -735.322 -1410.32
31.2044 47.8111 | -1.02553 -0.0147928 | 6206.11 -4011.79
31.6986 47.867 | -2.49295 2.49547 | -604.831 2466.66
32.1851 47.97 | -1.97671 0.28687 | -3848 3195.38
32.657 48.1212 | -1.00334 -1.58574 | 1359.77 -2542.57
33.1176 48.3051 | -1.61109 0.0115223 | 3503.15 -2695.35
33.5683 48.5157 | -1.42262 1.97488 | -1188.53 2568.71
34.0026 48.759 | -0.0289774 2.91599 | -1069.34 2200.94
34.4209 49.0305 | -0.389079 3.29182 | 4577.55 1445.42
34.8326 49.3186 | -1.69116 0.798671 | 4660.44 -590.149
35.2419 49.6144 | -1.61351 -1.32609 | -3162.06 -345.782
35.6434 49.9177 | 0.99812 -2.14451 | -4756.28 -292.301
36.0378 50.225 | 2.62076 -1.55928 | -1863.6 50.9991
36.4354 50.5264 | 3.11706 0.0492581 | 6803.85 -537.613
36.8502 50.8093 | 2.43264 1.55707 | -457.685 -58.9497
37.2786 51.0701 | 0.587597 2.59119 | -6002.92 -2594.95
37.7171 51.304 | -0.788929 2.21093 | 2493.17 -6110.5
38.1692 51.5076 | -2.58186 1.8306 | -2952.19 3644.98
38.6239 51.7012 | -3.3964 2.96653 | -6378.94 2309.6
39.0767 51.8888 | -1.80741 1.14887 | -1477.13 -5547.73
39.5331 52.0599 | -0.729343 -2.06477 | -174.537 4975.65
39.9936 52.2236 | -0.993825 -1.70571 | 4250.98 4777.49
40.464 52.3715 | -2.21174 0.498139 | 4524.52 -5318.1
40.9479 52.4832 | -2.6131 1.28335 | 3415.81 5298.23
41.4422 52.5647 | -2.97467 2.11289 | 6534.62 2416.63
