8.32138 -48.3787 | 3.32192 4.16614 | 3913.32 -1833.91
8.71029 -48.687 | -0.143582 1.22216 | -1988.41 1254.07
9.1064 -48.9851 | -1.82539 0.624226 | -2988.05 -11223.1
9.50794 -49.2804 | -3.73992 1.46334 | 4826.78 6536.92
9.93243 -49.5414 | -1.47287 3.12776 | -2145.85 5812.89
10.3754 -49.7626 | -1.80275 2.57447 | -4443.47 -4875.82
10.8288 -49.9572 | -1.41238 0.745437 | 1813.48 3367.66
11.2959 -50.1178 | 0.0541481 1.00506 | 4766.72 3792.66
11.7738 -50.2533 | -2.18218 4.08753 | -140.965 -14985.9
12.2536 -50.3932 | -0.385381 2.3571 | -1757.78 5201.22
12.738 -50.5113 | 1.206 1.5201 | 3834.82 1521.09
13.2305 -50.6011 | 0.997808 -1.43824 | -1160.52 -5768.47
13.7267 -50.6646 | 0.977837 -2.85651 | -4562.6 5024.76
14.2233 -50.6813 | 0.889136 -0.367886 | 2722.16 884.496
14.721 -50.6508 | 0.959091 -0.499273 | 2790.2 -2761.48
15.2167 -50.5775 | -0.0989722 0.770849 | 5196.71 2204.65
15.7063 -50.4545 | -1.10113 2.37606 | -2350.76 2728.13
16.1793 -50.2809 | 1.63628 2.42 | -5813.48 -270.465
16.6319 -50.067 | 0.913798 3.75219 | 3090.28 702.112
17.0726 -49.8261 | 0.871787 0.410063 | -1342.02 -3166.66


-31.6489 58.2681 | -1.91307 2.90081 | -60.2389 -267.495
-31.2447 58.5632 | 2.26563 0.468971 | 4727.81 85.224
-30.86 58.8874 | 3.62941 -0.773129 | -150.127 3977.02
-30.5048 59.2463 | 3.30328 -0.611249 | -2889.38 -2037.19
-30.1843 59.6339 | 3.39975 -1.68721 | -6060.22 5676.7
-29.8969 60.0477 | 0.791168 -1.63784 | 7977.35 -1471.23
-29.6142 60.4676 | -1.38399 -1.42187 | 3170.7 -838.155
-29.3329 60.8885 | -1.61273 -2.99011 | -6732.46 -6573.16
-29.0623 61.3083 | 0.987489 -2.24633 | -6597.41 -1293.09
-28.7993 61.7285 | 1.26667 -0.58568 | 6457.85 1133.15
-28.5229 62.1432 | -2.04034 -0.861495 | 3648.84 1972.85
-28.2319 62.5507 | -3.27323 -2.01961 | -5578.24 -1984.94
-27.9349 62.9495 | -1.03778 -2.86298 | -4028.25 -4810.86
-27.6267 63.334 | 0.748845 -2.0444 | 3454.59 2173.81
-27.2977 63.7044 | -0.150113 -1.79363 | 5836.85 1596.2
-26.9473 64.0599 | -1.17924 -3.09002 | -3796.17 1895.98
-26.5878 64.4054 | 1.29369 -2.53582 | 23.0491 -4012.3
-26.2187 64.7374 | 1.3418 -1.52663 | -3348.7 1482.32
-25.8458 65.0635 | -1.84607 0.801636 | 949.893 1364.25
-25.4649 65.3828 | -1.20844 -0.355126 | 2950.15 5151.82
-25.0711 65.6938 | -0.891731 -2.96383 | 2533.09 6640.77
-24.6573 65.9856 | -1.61596 0.772773 | 5989.14 -9594.57
-24.2148 66.2305 | -0.421396 2.79424 | -8978.24 -5777
-23.7609 66.4363 | -0.0438085 4.18194 | -6369.53 5803.59
-23.3015 66.6221 | 3.46649 0.487511 | 7595.71 3518.32
-22.8264 66.7803 | 3.05914 -3.47528 | 1292.54 -5750.35
-22.3387 66.8963 | -0.633874 -0.691731 | -1528.8 4166.08
-21.8449 66.9797 | -0.198193 -0.803039 | -41.2286 -3445.87
-21.3469 67.0243 | 1.71517 0.0952059 | -995.446 -3791.99
-20.8489 67.0373 | 5.20355 -0.0395295 | -8355.74 9973.02
-20.3568 67.0423 | 4.60613 1.40428 | -1853.24 -4559.85
-19.8668 67.0229 | 2.71687 0.0728885 | 5378.52 -117.492
-19.3755 66.983 | 2.85642 -0.567838 | -6972.32 1795.51
-18.8897 66.928 | 1.9746 0.264733 | 918.838 -5059.47
-18.4043 66.8589 | 2.17463 0.10348 | 10358.6 6689.81
-17.9111 66.7976 | 1.37464 0.726149 | 70.8112 -602.654
-17.4172 66.7352 | -1.28056 -0.392466 | -2951.75 -2900.76
-16.9264 66.665 | -0.653046 -0.974405 | -4121.29 1297.83
-16.4392 66.593 | -1.4353 1.86532 | -543.214 -3365.76
-15.9516 66.5218 | -1.515 3.21444 | 6109.01 -402.838
-15.4575 66.4675 | -0.431351 -0.260815 | 1666.57 4111.69
-14.9595 66.4447 | -2.03236 -1.20692 | -678.236 -5634.14
-14.4612 66.4501 | -1.08582 2.78106 | -1758.57 6518.98
-13.9663 66.5018 | 0.609099 0.686138 | 2490.96 -3417.88
-13.4747 66.5905 | 2.27608 -3.86749 | 5008.13 1706.48
-12.9882 66.7207 | 3.05539 -1.91773 | 87.2802 467.804
-12.5141 66.8932 | 2.80651 -1.91501 | 1258.2 -820.035
-12.0562 67.1085 | 1.11545 -0.911954 | -1762.67 13147.2
-11.6202 67.3727 | -0.343442 -1.52099 | 9770.45 -7295.75
-11.1897 67.6504 | -0.224163 -2.55809 | -8256.35 -5769.82
-10.777 67.9417 | -0.326594 0.185974 | -5245.13 -4011.25
-10.3864 68.253 | -0.228053 0.309189 | 1481.66 1482.31
-10.0201 68.5932 | -1.71058 0.0149088 | -7906.95 7345.78
-9.68573 68.9651 | -4.22689 1.10282 | 6265.29 -2718.5
-9.35647 69.3441 | -3.21314 -0.341601 | 7845.74 -1477.42
-9.02364 69.7241 | -0.859638 -1.65814 | -6048.07 5421.36
