41.0975 -15.2137 | 1.41146 4.27643 | 6688.14 -531.253
41.2014 -15.7098 | 2.54952 1.59084 | -2822.67 4709.61
41.3088 -16.2018 | 2.23511 -0.84466 | -436.167 -1882.1
41.428 -16.6918 | 2.69467 -0.243399 | 8011.79 2130.24
41.5698 -17.1761 | 1.62651 0.103611 | -7319.48 -3741.95
41.7139 -17.6606 | -0.858231 0.528108 | -4833.29 -691.905
41.8704 -18.1397 | 1.37005 0.0817719 | 11088.5 12470.9
42.0663 -18.5978 | 1.11852 -0.233025 | -6357.67 -412.593
42.276 -19.0477 | -0.465862 -0.581746 | -2679.01 -5178.45
42.4964 -19.4946 | 0.946775 -0.596065 | -192.454 1378.06
42.7378 -19.93 | -0.114281 -1.06683 | -2381.6 -3747.43
43.0088 -20.3484 | 0.622424 -1.21557 | 5567.69 6534.85
43.3267 -20.7307 | 0.565128 0.733432 | -3450.24 -3334.98
43.6806 -21.0791 | 1.89591 1.59664 | -1281.87 3497.4
44.0702 -21.3826 | 2.12972 -0.678488 | -3126.92 2521.66
44.4894 -21.6396 | 1.4113 0.820845 | 6619.17 -634.119
44.9357 -21.8567 | -0.897047 0.0841823 | 3940.88 -937.763
45.397 -22.0507 | -1.12037 1.12504 | -1420.78 -15165.5
45.8627 -22.2434 | -2.03451 0.184778 | 1592.58 5999.49
46.3402 -22.4024 | -0.965185 -0.918157 | -5848.23 6018.73
46.8254 -22.5174 | -1.39827 -2.43805 | 3243.47 -1678.97
47.3199 -22.5972 | -2.59019 -1.8448 | 6742.83 -1486.14
47.8222 -22.6464 | -1.50817 -0.390697 | -11297.4 -3353.28
48.3194 -22.6656 | -0.308277 1.00911 | -501.096 7116.45
48.8153 -22.6406 | 1.12466 -2.1427 | 4026.95 -1357.57
49.3119 -22.587 | 1.49779 -1.90447 | 3109.79 -521.756
49.8086 -22.5142 | 0.391793 -0.132246 | 585.718 2234.3
50.303 -22.4285 | 1.19301 -3.30324 | -11567.1 -3747.87
50.7895 -22.3451 | 0.380522 -3.60156 | 654.438 -829.638
51.2767 -22.2699 | 0.919764 -2.67336 | 4259.56 381.303
51.7678 -22.2051 | 1.15604 -0.871145 | -2991.51 -2270.18
52.2583 -22.1524 | -1.29208 0.540072 | -3765.34 3373.9
