6.30721 63.087 | 3.14466 -1.31492 | -8185.99 434.875
6.65699 62.7247 | -2.19993 -3.62175 | 5065.01 13940.1
7.01467 62.3766 | 0.554459 -3.09267 | -1303.55 -8515.69
7.36694 62.0196 | 0.167387 -2.40598 | -3621.09 816.159
7.71209 61.6587 | -1.23588 -0.815422 | -2136.01 5323.77
8.05709 61.3014 | -2.67477 -2.95908 | 6039.89 -9000.48
8.40984 60.9421 | -4.20602 -1.35045 | 5404.04 2079.46
8.77317 60.5913 | -3.21946 0.587402 | -10206.5 3851.35
9.13253 60.2472 | -3.22936 -1.43083 | -6889.61 6592
9.49239 59.9128 | -4.1957 -4.27949 | 10038.7 -8851.26
9.86638 59.5818 | -0.422669 -1.43024 | -4553.7 -6830.67
10.2516 59.2614 | -2.56254 -1.0513 | 2840.87 9656.25
10.6661 58.9826 | -2.74352 -0.945837 | 6979.39 -967.037
11.1093 58.7425 | 0.886319 2.41698 | -1120.42 -6343.65
11.5695 58.5323 | 0.169098 1.15453 | 226.593 4380.5
12.0457 58.3655 | 1.77307 -1.7779 | -5552.26 2024.19
12.5302 58.2409 | 2.54625 -2.66288 | -1104.62 598.011
13.0223 58.1541 | 1.22749 -5.27951 | 6999.4 -2112.13
13.5238 58.0984 | 1.07239 -1.52177 | 929.786 2698.62
14.0285 58.0727 | -0.502496 0.33152 | -5999.98 -4597
14.5302 58.0646 | 0.294712 -3.10812 | 1567.32 2919.89
15.0331 58.0805 | 2.43085 -0.803152 | 8152.83 3875.23
15.5408 58.1157 | 2.36803 -0.637131 | 991.348 -5396.19
16.0483 58.1516 | 2.04409 -3.44014 | -12405.4 -2898.38
16.5469 58.1899 | 2.85948 -0.662075 | -1615.56 2947.9
17.0424 58.2409 | 2.82522 2.124 | 1753.92 2858.14
17.5384 58.3026 | 1.75527 0.588078 | 5978.25 -1039.31
18.0387 58.3623 | 1.34622 -0.662573 | 469.336 -718.82
18.5399 58.4127 | -1.48091 0.898553 | -10429.8 -1783.06
19.0354 58.4492 | -2.78375 3.44377 | 2387.45 -1821.05
19.533 58.4715 | -1.49239 2.62519 | 5741.82 10705.9
20.0353 58.4874 | -0.259231 3.8537 | 2717.11 -9549.29
20.5397 58.4625 | 0.526772 2.51693 | -899.963 -6932.43
21.0408 58.3996 | 0.744107 -0.782079 | -4231.04 13117.8
21.5368 58.328 | 0.123724 0.60687 | 1852.52 -4648.92
22.0283 58.2269 | 0.142933 3.09188 | -4251.32 569.768
22.5093 58.0939 | 0.603952 3.38119 | -2703.85 -3633.56
22.9794 57.9276 | 0.171657 -0.0461293 | 10988.1 1301.05
23.4486 57.7416 | 0.817312 -0.598657 | -2518.6 7121.97
23.907 57.536 | 2.23229 2.32484 | -3474.02 -8422.01
24.3436 57.2873 | 2.16101 3.33545 | 1717.01 -1210.08
24.7609 57.0056 | 0.179325 1.84581 | -3304.06 5175.14
25.1587 56.7034 | -1.36201 0.951481 | 780.493 1865.93
25.5392 56.381 | -2.10618 1.47981 | -1880.31 -2548.48
25.8982 56.0345 | -4.65484 0.208682 | 4254.62 1821.38
26.2404 55.6699 | -4.36061 1.71891 | -2211.8 -1536.19


-31.1763 -11.0767 | -2.71389 -0.593831 | -2505.45 2864.41
-30.7123 -10.8932 | 3.21361 -0.301914 | 1985.7 -1242.36
-30.2463 -10.712 | 3.77885 -0.318445 | 1739.94 -4657.98
-29.7732 -10.5468 | 2.50919 -0.119312 | 6458.65 4482.27
-29.2898 -10.3938 | -0.983123 -1.81471 | 5978.21 -1565.26
-28.7958 -10.262 | -0.408206 -1.26166 | -1685.19 -9250.26
-28.2991 -10.1519 | 1.47282 1.35211 | -8545.43 14785.4
-27.8095 -10.0308 | 2.37035 1.9915 | -2911.5 -8239.95
-27.32 -9.9282 | -0.803068 -0.662637 | -1547.82 -5824.36
-26.8292 -9.8447 | -1.27169 0.179822 | -35.8384 10323.1
-26.3379 -9.75881 | 1.05618 4.39251 | 3688.31 -1983.59
-25.8428 -9.68948 | 1.40083 0.734357 | -11091.8 -5540.74
-25.3527 -9.64628 | 0.368906 2.60656 | -3633.09 7873.19
-24.8632 -9.61861 | 2.92237 -0.0708226 | 12935.1 -682.611
-24.3633 -9.6274 | -0.539974 0.243547 | 11255.3 -15668.8
-23.8573 -9.68879 | -2.91721 -0.0706022 | -1539.5 16028.9
-23.3541 -9.75956 | -0.720364 -1.37766 | -5226.05 -3726.59
-22.8614 -9.85886 | 1.36089 -2.53668 | -19702.9 993.56
-22.3892 -9.98665 | 3.83763 -0.66908 | 8313.83 5466.75
-21.9193 -10.1338 | 4.04136 1.02393 | 5562.35 -4504.55
-21.455 -10.3159 | 5.08418 -2.31531 | 7918.21 -8348.37
-20.9985 -10.5369 | 3.455 -0.533966 | 1065.36 -6024.54
-20.552 -10.7811 | 2.32234 3.37737 | -12887.4 18549
-20.1129 -11.0132 | 1.26383 -0.454576 | 6132.78 -7129.43
-19.6696 -11.2488 | -0.603281 -4.57377 | 14406.8 -100.358
-19.217 -11.485 | 3.00412 0.79728 | -9594.83 207.626
-18.777 -11.7337 | 2.65156 -0.789304 | -9548.21 -3604.43
-18.3528 -11.9973 | 2.74935 0.773739 | 223.546 15950.1
-17.929 -12.2524 | 0.859431 -4.96785 | 7351.16 -13584.8
-17.5079 -12.5295 | -0.21787 -4.84289 | 13160.7 -4401.48
-17.0888 -12.8251 | 2.58001 -2.87289 | -20758.7 92.7149
-16.6947 -13.139 | 4.28444 -3.44648 | 7006.42 -6915.82
-16.2955 -13.4515 | -0.649136 0.277528 | -4502.69 21144.4
-15.8809 -13.7223 | -2.31068 -2.85285 | -13911.2 392.134
-15.4615 -13.968 | 0.205215 1.18846 | 5412.27 -3200.19
-15.0243 -14.1893 | -0.66972 2.80362 | 9583.63 -2302.46
-14.5658 -14.3835 | 1.38397 1.72872 | 77.3655 -13510.5
-14.0935 -14.5536 | 0.827583 2.19517 | 3916.32 14240.3
-13.603 -14.655 | 0.492176 -3.86025 | -12449.8 10959.2
-13.1122 -14.6991 | 1.39561 0.451682 | 4597.78 -19573.3
-12.6173 -14.7389 | 3.40066 1.03393 | 9044.55 1943.77
-12.1156 -14.7508 | 4.26683 0.426001 | -12666.9 2816.48
-11.6223 -14.7215 | 2.65258 0.36756 | -1605.05 1333.22
-11.1342 -14.6514 | 0.527131 -2.17509 | 10733 -1200.19
-10.644 -14.5485 | 1.64354 -1.07954 | 6847.74 3246.86
-10.1567 -14.4114 | 3.13807 1.53349 | -6565.83 1998.21
-9.68286 -14.2473 | -1.62198 3.9102 | -14728.7 -12998.2
