-7.25306 46.4469 | -1.1002 -3.03958 | 1997.28 -1458.77
-6.75491 46.3894 | -0.89631 -1.84096 | 1982.27 408.593
-6.25193 46.3654 | -2.25324 -0.92679 | 3351.8 -3090.17
-5.74547 46.3739 | -3.644 0.898856 | 2939.41 4863.21
-5.23897 46.4266 | -2.80783 2.93966 | 136.249 3449.21
-4.73723 46.518 | -0.619985 2.87852 | -1143.13 -4079.02
-4.24161 46.6324 | -0.366219 3.67335 | -1723.54 1223.12
-3.75432 46.7732 | -0.9814 3.45039 | -1772.05 2070.65
-3.27779 46.9423 | 0.108227 0.456668 | -3159.97 -2926.75
-2.81387 47.1354 | 0.737317 0.375753 | -3217.2 3982.7
-2.36343 47.3566 | -0.316278 2.07513 | 3713.92 4310.47
-1.91657 47.5935 | -0.717975 1.32598 | 5134 -1807.13
-1.46354 47.8246 | -1.30237 1.33424 | -528.983 -5226.77
-1.0051 48.0399 | -1.79648 0.922554 | -5346.01 -325.185
-0.547088 48.2459 | -2.54712 0.393897 | -4579.25 -427.679
-0.0894261 48.4435 | -3.19156 0.90344 | -34.7992 -1965.01
0.372309 48.6289 | -2.74828 1.09242 | 2132 -244.473
0.839154 48.8053 | -1.39917 0.726958 | 1193.28 5582.57
1.30953 48.9795 | -0.105464 -0.341963 | 1737.36 -142.495
1.78634 49.1396 | 1.02145 -1.91442 | -805.971 -2326.96
2.26962 49.2763 | 2.09481 -2.53699 | -616.071 1018.81
2.75918 49.3884 | 2.44505 -1.22963 | 2537.11 1691.03
3.25679 49.4705 | 2.11228 1.72532 | 2526.87 -1029.51
3.76128 49.5118 | 2.05035 3.03852 | -437.638 -4495.91
4.26736 49.5053 | 2.32382 2.20398 | -6102.5 2615.7


-36.1238 -15.0294 | -0.935491 -1.14979 | -5032.02 -2126.97
-35.7401 -14.7166 | -0.141953 -1.71488 | 1956.61 -1197.85
-35.3691 -14.3869 | 1.00062 -1.70235 | 3496.8 4604.64
-35.0084 -14.04 | 2.85191 -3.30008 | 1296.45 668.463
-34.6559 -13.6823 | 2.34675 -3.25854 | 41.8677 -498.606
-34.3098 -13.3186 | 0.254979 -2.59337 | -2168.74 1154.84
-33.9681 -12.9515 | -0.560011 -3.15471 | 2310.79 -3022.6
-33.6215 -12.59 | -1.72929 -2.03656 | -819.057 -71.8331
-33.2719 -12.2332 | -2.74452 -0.715 | -6466.01 -2516.98
-32.9215 -11.8838 | -2.49134 -0.209518 | 1042.82 -3895.27
-32.5605 -11.5479 | -1.80755 0.00289523 | 4925.29 -28.774
-32.1889 -11.2201 | -0.553799 -1.36746 | -2465.36 5187.86
-31.8195 -10.8879 | 0.526898 -1.92784 | -570.215 712.616
-31.4504 -10.555 | 1.1935 -1.92653 | 365.014 -3546.87
-31.0782 -10.2278 | 1.47832 -2.24143 | -1218.15 2263.73
