28.9568 -7.19419 | -0.71021 -1.13456 | -499.03 2428.98
29.4114 -7.39161 | 0.803102 -0.719426 | 5205.21 -1194.96
29.8538 -7.62388 | -0.997179 -0.988063 | 4323.52 -2562.24
30.2794 -7.8934 | -1.46274 1.62834 | -1929.22 -2337.5
30.6803 -8.19976 | 0.202813 3.24761 | 3778.34 2068.91
31.0585 -8.53536 | -0.553843 1.74198 | -4733.68 -5806.67
31.4042 -8.90401 | -2.20253 4.0096 | -2725.72 9534.9
31.7252 -9.28642 | -5.02634 1.70131 | 1058.44 1274.1
32.026 -9.68458 | -2.91704 -1.6964 | 2213.13 -7170.13
32.3057 -10.1045 | 0.176934 0.40618 | 1522.32 -6451.99
32.5674 -10.5415 | -0.518294 1.32864 | 1151.27 3523.14
32.8186 -10.983 | 1.34712 1.13472 | 770.09 6588.6
33.0598 -11.4255 | 2.29643 1.51138 | -7127.06 -4917.96
33.2807 -11.8783 | 1.12509 0.135534 | 4077.58 2940.75
33.4984 -12.3308 | 0.2846 0.491026 | -9024.28 5509.86
33.7114 -12.778 | -2.35387 -1.43633 | 1087.3 3631.27
33.9429 -13.2131 | -2.83255 -6.59458 | 6971.88 -4929.38
34.206 -13.635 | -0.843663 -2.95247 | -2417.92 3477.36
34.4931 -14.0379 | -0.438743 1.37967 | -6906.57 1769.24
34.7992 -14.4215 | -2.63424 -0.284647 | 3862.26 -16.089
35.1357 -14.7807 | -2.48943 0.833374 | 2036.69 -1616.57
35.4996 -15.1157 | -0.881281 0.304454 | 519.998 -791.382
35.8846 -15.4284 | -0.771597 -0.239574 | -563.232 -3109.99
36.2856 -15.7222 | -0.442502 1.51907 | -2684.63 -1148.55
36.7023 -15.9921 | -1.66122 -0.153622 | 5629.72 5811.95
37.1415 -16.2272 | -2.64781 1.95804 | -293.501 -9046.35
37.5927 -16.4446 | -3.92101 0.0550292 | -205.435 2376.74
38.0565 -16.6309 | -4.1786 0.502284 | -5198.35 4716.72
38.5285 -16.7812 | -2.08622 2.48033 | -780.793 -4844.65
39.0083 -16.9048 | 0.377512 1.65985 | 4594.74 -2809.95
39.4994 -16.9931 | -0.00113033 2.55811 | 1961.04 8184.03
39.9977 -17.0301 | -2.92341 -0.191881 | -5898.18 -6587.67
40.4947 -17.0347 | -4.38901 0.0675235 | 6735.48 399.361
40.9953 -17 | -2.56409 -0.329025 | 7588.26 3718.69
41.4965 -16.9206 | 0.673624 0.431952 | -4727.85 -651.387
41.9875 -16.8029 | -0.59372 0.224947 | -2900.16 1605.3
42.467 -16.652 | -1.46984 0.456276 | -2502.16 -1436.26
42.9376 -16.4807 | 0.352265 2.97487 | 3805.96 -4291.72
43.4065 -16.2981 | 1.55933 2.74063 | 6752.89 12490.8
43.8741 -16.0925 | 2.76943 1.72492 | 1196.61 -5404.78
44.3423 -15.8897 | -1.59948 3.86274 | -8226.36 -3646.35
44.8069 -15.6952 | -3.4226 -0.123659 | -2593.66 -568.58
45.2722 -15.5105 | -0.558202 -2.13774 | -1393.19 1539.73
45.7414 -15.3399 | 0.640613 -1.36828 | -332.059 2528.79
46.2182 -15.1954 | -0.0653975 -0.325977 | -7261.53 -7441.71
46.7014 -15.1006 | 0.577554 -1.82321 | 5164.31 2293.47
47.1948 -15.0531 | -0.642882 0.0315567 | 3935.19 -4601.2
47.6932 -15.0555 | -0.879819 2.27064 | -6781.09 7144.71
48.1866 -15.0891 | -2.18223 3.0249 | 1519.59 -2786.91
48.6766 -15.162 | -2.94202 2.28944 | 2236.39 4771.51
49.1617 -15.2693 | -2.09996 -1.92413 | 1569.15 -7564.72
49.6365 -15.4245 | -1.73192 1.31923 | 1877.01 1783.93
50.1001 -15.6122 | -1.72025 2.1795 | -5687.65 6007.14
50.5478 -15.8239 | -0.988981 -0.126348 | 2257.67 -3038.35
50.9805 -16.0666 | 1.10434 1.58001 | -5552.16 1618.59
