-20.566 86.9487 | 2.91589 0.018736 | -867.977 -8460.29
-20.2406 87.322 | 0.963798 2.4359 | -6844.33 -1107.2
-19.9213 87.6963 | -0.541249 0.577631 | 5022.34 7117.65
-19.5957 88.0736 | -2.40727 -0.938088 | 6996.57 2011.71
-19.2553 88.4464 | -3.78806 0.0417611 | 4225.28 11216.3
-18.9021 88.8179 | -1.18103 0.651597 | -4313.05 -4467.57
-18.5341 89.1694 | -0.877048 -0.233077 | -3731.07 -4902.41
-18.1426 89.4869 | -0.579907 -0.857681 | 4632.5 -801.438
-17.7191 89.7612 | 0.00775629 3.89052 | -4009.38 -7733.94
-17.2724 89.9857 | -0.244748 3.01868 | -895.34 1775.56
-16.8106 90.176 | -1.27543 -1.18496 | -2351.95 4763.89
-16.3386 90.341 | -2.26215 1.90291 | 7522 -605.052
-15.8506 90.4712 | -1.50044 0.644638 | 2804.49 2070.9
-15.3523 90.5655 | 0.0417451 -1.96632 | -7694.04 -3338.08
-14.8525 90.6158 | -0.137405 -0.883942 | 5322.74 132.045
-14.3494 90.6237 | -1.58796 -0.325984 | -14915.8 5110.13
-13.8583 90.5912 | -1.6349 0.842267 | -9319.91 -6133.06
-13.3795 90.5029 | -0.312519 0.058268 | 20178.4 -1835.67
-12.8963 90.3746 | 1.81353 1.70455 | 3327.45 12396.5
-12.4187 90.22 | 0.655336 1.95105 | -2483.04 -16174.1
-11.9637 90.0025 | -2.83211 1.54627 | -2231.25 892.488
-11.5301 89.7463 | -1.29308 2.23642 | 4557.33 7418.31
-11.1079 89.4712 | 0.683556 1.94165 | -2660.05 -12932.2
-10.7039 89.1664 | 1.48826 2.65741 | -5856.09 16167
-10.3073 88.8666 | 2.67684 3.12641 | 2078.86 -1890.02
-9.91112 88.5631 | 1.2347 2.11971 | 6401.71 -13763.2
-9.51076 88.2498 | 0.279303 0.0824132 | 1260.61 5340.52
-9.0978 87.9529 | -1.06263 -2.68669 | 5744.6 1286.73
-8.66769 87.6782 | -0.313788 -1.05549 | -6521.19 8024.74
-8.23261 87.4245 | 0.976182 -0.521434 | -5796.05 -1566.82
-7.80067 87.1726 | 0.598752 -1.10489 | 1681.38 -5232.98
-7.36875 86.9166 | -0.145776 0.160474 | -3572.79 -1571.22
-6.93344 86.6672 | -0.312746 -0.0960989 | 7410 -2551.92
-6.47965 86.4426 | -1.07114 0.580038 | -619.475 8180.88
-6.00766 86.2642 | -1.33519 2.70891 | 2431.54 1221.76
-5.52198 86.1247 | -2.6619 1.75973 | -4456.84 -7084.94
-5.03286 86.0117 | -2.92927 0.722225 | -14183.8 2241.96
-4.54582 85.9434 | -0.900678 2.15505 | 3817.3 4402.84
-4.05266 85.9354 | -0.553699 1.4291 | 5247.66 3910.2
-3.55595 85.9818 | 0.864751 -0.747793 | 11492.3 -7308.82
-3.05446 86.0596 | 0.364014 2.36333 | 2635.32 5809
-2.55784 86.1791 | 0.288172 1.64891 | -8281.52 1805.96
-2.07379 86.3312 | 3.9786 -0.89485 | 12988.5 -7583.01
-1.58849 86.4987 | 5.35197 -0.642491 | -4285.62 6788.68
-1.11792 86.7022 | 4.27795 -1.88366 | -3439.44 -320.295
-0.665483 86.9369 | 1.47278 -1.31605 | -3499.33 -2090.8
-0.232027 87.1962 | 0.20664 -2.90438 | -10026.8 -7379.72
0.179741 87.4746 | 3.35076 -2.49775 | 6481.43 8232.63
0.580243 87.7792 | 2.84289 1.2693 | 4727.96 2417.6
0.974319 88.0988 | 2.89156 -1.2323 | 2042.45 -7415.51
1.36171 88.4238 | -0.0514909 -0.165727 | -4494.23 6303.65
1.72852 88.7697 | -1.51697 -0.423376 | -13259.9 -6489.7
2.07396 89.1242 | -0.700649 1.6328 | 7773.75 -2301.74
2.42445 89.4755 | -0.789431 2.39886 | -2481.01 4644.89
2.77862 89.8249 | 0.482495 -1.88151 | -3945.12 142.496
3.14783 90.1578 | 2.47365 -0.939817 | 19099.6 2220.07
3.55683 90.458 | 2.47302 1.17588 | -5887.21 -4557.05
3.98485 90.7248 | -1.94662 2.4315 | -901.718 1115.72
4.42547 90.9683 | -3.49357 2.78157 | -2508.98 865.605
4.87378 91.1931 | -1.09513 2.23121 | -8321.33 2139.06
5.32788 91.3964 | 3.84647 2.92698 | 11943.2 -4332.64
5.80344 91.5602 | 3.86131 -0.506937 | -4497.64 -146.215
6.28737 91.6915 | -0.0117511 0.543876 | 2303.26 2371.69
6.77968 91.7968 | 1.60153 -0.445557 | 4373.82 935.938
7.27941 91.8751 | 1.70908 -2.66234 | -8084.18 -55.5877
7.77726 91.9234 | 1.6812 2.1923 | -2339.01 -2514.73
8.27338 91.9366 | 0.468074 -0.666174 | -11337.6 7310.87
8.76172 91.9201 | -2.08163 3.86686 | 6074.21 -8058.38
9.24987 91.852 | -0.54317 3.9084 | 9373.15 -3329.56
9.73807 91.7449 | -0.568393 1.87553 | -5150.52 8074.55
10.219 91.6219 | -1.4413 3.71626 | 1065.24 810.237
10.6941 91.4776 | -2.5189 3.2867 | -1058.45 -4766.09
11.1607 91.3044 | -3.13749 -0.0447625 | 6936.99 -700.692
11.6253 91.1128 | -1.80826 -1.52022 | 3220.86 1715.21
12.0861 90.9093 | -2.01607 -0.321238 | -12762.9 -89.7147
12.5323 90.6916 | -2.66977 -0.920125 | 3035.03 -354.008
12.9787 90.4701 | -0.990896 -1.59426 | 10345.2 548.002
13.4347 90.2529 | 2.32058 3.63056 | 1343.23 -1474.9
13.8928 90.0348 | 1.29044 3.84197 | -2410.61 -6825.04
14.3484 89.8119 | -1.54423 0.927573 | -7281.47 7731.83
14.8053 89.6077 | -0.625719 1.99118 | 2583.09 3381.39
15.2713 89.4267 | -0.519493 1.30295 | -4134.68 -6598.23
15.742 89.2605 | -0.349891 -0.286695 | 3332.5 282.836
16.2254 89.1283 | -0.4378 0.192436 | 5025.07 4832.77
16.7219 89.0459 | -0.0853221 -0.528942 | -7898.84 -1589.88
17.2189 89.008 | 1.52506 -1.11472 | -1414.95 415.687
