-2.63957 84.5084 | 0.0438928 0.682918 | 2157.67 160.046
-2.15109 84.6133 | -0.626489 -1.08924 | -6332 -8842.83
-1.67303 84.7409 | -0.389036 -4.3019 | 3551.25 5847.04
-1.20381 84.9094 | 1.86332 -4.88349 | 11430.1 -744.863
-0.742441 85.1169 | 3.90844 0.762197 | -4537.38 2961.47
-0.307251 85.3746 | 5.19458 -1.76551 | 831.965 8582.53
0.0992941 85.6818 | 4.26447 -4.43686 | 1625.62 -2745.44
0.484223 86.0151 | 2.87272 -2.48825 | -6135.75 -4948.02
0.848146 86.3637 | 1.94744 -0.882572 | 2566.91 852.722
1.20099 86.7236 | 1.37586 -1.46772 | -3374.5 -4945.84
1.54306 87.0883 | -1.1809 -2.11015 | -586.318 3424.21
1.87737 87.4594 | 0.260214 -4.43127 | -3453.7 -10343.7
2.20857 87.8236 | 2.17251 -3.82412 | -83.3877 -7551.29
2.53591 88.1873 | -2.47163 0.438521 | 3485.37 20230.9
2.85033 88.5777 | -4.79039 1.28475 | 3194.83 2234.96
3.16071 88.9767 | -0.920029 -1.16313 | 4854.79 -7841.3
3.47421 89.3711 | -1.26555 -1.86972 | -9821.85 5389.85
3.77462 89.7736 | -2.05959 0.117022 | 682.8 -963.785
4.08073 90.1705 | -1.33422 2.22981 | 3651.45 -6947.84
4.40566 90.5483 | 0.216441 1.10007 | -10815.1 1447
4.74002 90.9123 | 1.44468 -1.37855 | 7406.14 690.28
5.10589 91.2498 | -1.72058 0.361026 | 9167.22 -2144.35
5.50334 91.555 | -3.2965 0.636059 | -16115.1 2299.26
5.90552 91.8404 | -0.94424 -0.36643 | -2627.33 -5444.53
6.32399 92.0924 | -1.48406 1.04338 | 816.401 1017.14
6.76219 92.3102 | -1.62375 1.47161 | 4926.31 4128.16
7.22112 92.4935 | -0.748725 -1.5891 | 4785.49 -1933.3
7.69808 92.6366 | -2.1555 -0.41113 | 1579.4 3199.66
8.185 92.7485 | 0.33027 -0.638285 | -5052.89 2722.06
8.67434 92.8291 | 2.21855 -1.86636 | -8088.84 -3049.08
9.16327 92.8663 | 0.735346 -1.97082 | 7048.12 3060.96
9.65801 92.86 | -0.430809 -2.74706 | 6508.29 -3140.33
10.1537 92.8012 | -1.57087 0.723022 | -6779.26 3260.65
10.6371 92.6953 | -2.49713 1.98833 | -1136.02 -4626.2
11.1063 92.5396 | -5.23349 -1.49485 | 1174.7 4492.57
11.5635 92.3529 | -6.33726 -2.05743 | -1541.99 -264.55
12.0067 92.1385 | -3.88476 0.999955 | -9607.5 -6778.63
12.4359 91.9049 | -3.1658 2.97369 | 9447.83 10851.9
12.88 91.6949 | -2.52634 -0.782011 | 8650.17 -688.035
13.3386 91.5011 | -0.165793 0.553528 | -3918.42 -11853.9
13.7991 91.308 | -0.734159 2.0677 | 2456.44 8520.29
14.27 91.1458 | -1.23187 1.26019 | -2690.31 7222.85
14.7452 91.0117 | -2.80152 1.03683 | -13276.7 -3672.28
15.2113 90.8786 | -3.65324 0.758406 | -4116.63 -2487.36
15.6744 90.7435 | -3.13779 -2.4714 | 10081 325.946
16.1477 90.6167 | -2.03236 -1.50054 | 11491.2 -3815.99
16.6332 90.498 | -0.81156 -1.67601 | 58.5918 -6276.4
17.1244 90.3919 | -0.977513 1.41948 | 1596.11 8883.29
17.6232 90.3255 | -1.61744 2.93086 | 3007.81 1206.73
18.1273 90.2903 | -0.137606 0.779308 | -1743.04 -9680.24
18.6319 90.2723 | -0.24389 2.74129 | 2868.2 3514.42
