53.799 -33.3823 | 0.904084 2.98323 | 3350.97 -2650.66
54.1073 -33.7807 | 1.08445 6.21303 | 2435.88 5376.98
54.4047 -34.1859 | 0.460805 7.62835 | 2871.86 -753.198
54.6848 -34.6043 | -0.0164615 4.80831 | -5405.53 -361.409
54.9312 -35.041 | 0.73326 1.89019 | -5573.28 2280.95
55.1443 -35.4919 | 1.83071 1.84655 | 5070.05 -3737.5
55.3427 -35.9538 | 3.65815 3.08793 | 3190.91 -2962.68
55.5315 -36.4234 | 0.799868 1.93003 | -1916.39 -3513.06
55.7089 -36.8994 | -1.18829 0.171132 | 2248.69 5987.07
55.883 -37.3732 | -0.439578 -1.1451 | -5462.3 1325.2
56.0484 -37.8479 | -0.99401 -1.13364 | 149.428 -6055.48
56.2188 -38.3248 | -1.95143 -0.00739023 | 5535.29 859.456
56.4121 -38.7946 | -3.13763 0.934984 | -1481.6 -2987.13
56.6275 -39.2564 | -4.67875 1.09472 | 845.658 1346.88
56.8735 -39.7015 | -4.37786 -0.436959 | 2150.99 6624.25
57.1546 -40.1215 | -1.5752 0.33782 | -1469.59 -828.275
57.4614 -40.5216 | -0.602176 1.66823 | -4854.33 1841.8
57.7883 -40.9003 | -2.66826 -0.614678 | -2689.92 5546.58
58.1386 -41.2507 | -2.53183 -0.563101 | 1897.28 2700.27
58.5124 -41.5747 | 0.338282 2.30702 | -2576.66 -5087.68
58.8991 -41.8845 | 1.5512 3.79776 | 435.974 -1092.74
59.3004 -42.1753 | -0.712892 3.95778 | -2136.92 5409.35
59.7157 -42.4396 | -3.02148 2.52523 | -6940.24 -6535.8
60.14 -42.6855 | -3.60253 1.39741 | 5640.95 -534.308
60.5886 -42.8925 | -2.31541 0.290384 | 6859.3 5167.67
61.0624 -43.0459 | -0.773595 -1.73614 | 1056.15 -4815.85
61.5495 -43.1605 | -2.16931 -0.501753 | -821.11 1765.09
62.0437 -43.2364 | -6.34576 -2.16681 | -213.704 -1452.83


-86.4107 -46.0209 | -0.670548 -1.48016 | 9.13767 -951.453
-86.4135 -45.522 | -0.871955 0.761238 | -2211.67 -1144.42
-86.4531 -45.0254 | -2.63023 0.111633 | 649.135 -480.888
-86.5189 -44.5317 | -4.85141 -1.05982 | 1382.18 3156.28
-86.6021 -44.0386 | -2.57286 -1.43838 | 2847.99 493.758
-86.7 -43.548 | -1.87709 -1.41613 | -2492.67 -895.394
-86.8208 -43.0628 | -2.52116 -0.887702 | -2405.08 -1489.93
-86.9621 -42.5835 | -0.506195 -1.36933 | 3963.05 1790.08
-87.1111 -42.1056 | -1.50622 -1.12702 | -2971 3947.05
-87.2717 -41.6278 | -2.63837 1.29829 | -2072.18 1693.49
-87.4406 -41.151 | -1.87877 3.55504 | 5201.94 -794.761
-87.608 -40.6758 | -3.45072 2.53488 | 517.604 -5519.73
-87.7822 -40.2077 | -4.28177 -0.322355 | -3203.57 -4657
-87.9678 -39.7463 | -4.67158 0.231304 | -2476.37 5511.67
-88.153 -39.2803 | -5.62619 1.54446 | 4151.96 4054.66
-88.3226 -38.8057 | -6.40363 0.799854 | -4481.77 377.44
-88.4809 -38.325 | -4.53308 1.4536 | -3540.6 3846.85
-88.6168 -37.8346 | -2.27453 2.7003 | 6823.78 -2039.56
-88.7067 -37.3369 | -2.9474 3.61222 | 1704.36 -8603.24
-88.7498 -36.8396 | -1.9176 3.35342 | -3064.23 -1480.31
-88.7482 -36.342 | 0.381612 1.7616 | 2383.79 4027.44
-88.6924 -35.8453 | -0.144461 2.38831 | -3077.37 -1709.55
-88.5835 -35.359 | 1.50939 1.03654 | 2116.5 -2144.7
-88.4133 -34.8916 | 2.24259 -1.52231 | 2563.65 1839.05
-88.1852 -34.4474 | 1.31738 0.445931 | -2167.64 336.699
-87.9116 -34.0299 | 3.07262 2.01888 | -1644.81 181.136
-87.5977 -33.6425 | 4.22385 2.06481 | -28.6064 -588.702
-87.2443 -33.2904 | 4.28855 -0.0807164 | 4188.14 3779.62
-86.8527 -32.9747 | 3.24278 -1.38259 | 2883.69 1000.65
-86.4288 -32.7004 | 1.84555 0.519029 | -5456.62 -919.409
-85.9834 -32.4712 | 0.632916 0.773802 | -3149.99 -8169.87
