-18.8996 41.0402 | 1.4171 5.58004 | 529.694 729.034
-18.4048 41.1597 | 1.28062 6.0151 | 1194.09 -11.3371
-17.9227 41.3257 | 1.1083 4.98199 | 150.469 754.947
-17.4588 41.5381 | 0.652053 3.94364 | -1623.94 403.329
-17.0201 41.7964 | 0.223493 3.26386 | -2680.59 569.163
-16.6125 42.0985 | 0.519462 2.29526 | -2245.02 780.749
-16.2376 42.4389 | 0.799208 1.88625 | -128.215 -374.999
-15.8918 42.808 | 0.258568 2.42255 | -295.192 -1970.42
-15.5724 43.1982 | 0.156281 2.47945 | -2184.69 -1733.21
-15.2794 43.6059 | 0.53537 1.87061 | -1643.08 93.561
-15.0093 44.028 | 0.0877558 1.42718 | -326.277 895.27
-14.7535 44.4591 | -0.417327 0.908122 | -809.884 20.0448
-14.5009 44.8914 | 0.31022 0.0294652 | -856.814 -1695.31
-14.2379 45.3153 | 1.46153 -0.413772 | 1193.05 -1640.46
-13.9508 45.7222 | 2.14723 -0.267011 | 2444.25 649.437
-13.6326 46.1073 | 2.3676 0.094892 | 1308.61 1599.37
-13.2833 46.4672 | 1.82581 1.09435 | 898.542 271.861
-12.9036 46.7967 | 1.42981 1.61677 | 2250.87 -637.235
-12.4946 47.0918 | 1.45595 0.810798 | 2655.52 -597.282
-12.0611 47.3536 | 1.26875 -0.208557 | 68.9004 207.732
-11.612 47.5883 | 1.06608 -0.714927 | -2448.97 -434.254
-11.1542 47.8014 | 1.46304 -1.22944 | -1598.62 -2033.72
-10.6904 47.9963 | 2.62566 -2.62388 | -350.967 -835.794
-10.2238 48.1816 | 3.37845 -3.33087 | -1570.33 3042.75
-9.75836 48.3685 | 3.01066 -2.43811 | -1103.67 2062.33
-9.29312 48.5559 | 2.40161 -2.01949 | 834.271 419.058
-8.82326 48.7347 | 1.79454 -1.85556 | 2520.59 1437.07
-8.34424 48.8955 | 0.928744 -0.623149 | 3656.23 -1259.52
-7.8534 49.0261 | 0.379561 0.618218 | 1283.86 -2149.71
-7.35375 49.1207 | 0.559696 0.945647 | -2156.59 223.479
-6.85069 49.182 | 1.18605 1.21124 | -3489.19 243.142
-6.34759 49.2093 | 1.79772 0.863575 | -1983.61 -1591.4
-5.84562 49.1993 | 1.81322 -0.574849 | 756.899 -1972.38
-5.34504 49.1546 | 1.26041 -2.3318 | 1372.59 -513.082
-4.84612 49.0854 | 0.604708 -4.09223 | 530.961 1449.5
-4.34888 49.0031 | 0.0880394 -4.6042 | -220.449 1636.84
-3.85333 48.9132 | -0.499289 -3.75166 | -800.133 -787.431
-3.36003 48.8151 | -1.16259 -2.73437 | -1175.37 334.184
-2.86895 48.7119 | -1.35369 -2.06057 | -1384.13 1633.06
-2.37982 48.6064 | -0.811981 -1.82335 | -953.896 -1193.59
