21.1703 -17.2832 | 1.0349 -0.499594 | -9585.79 6963.11
21.5054 -17.658 | 4.20135 -0.659803 | -9345.96 11475.8
21.8401 -18.0188 | 0.48779 0.0360065 | 12649.3 -1708.79
22.1906 -18.3717 | -2.13791 2.30807 | -9784.02 -9873.65
22.5365 -18.7319 | 0.924345 3.68089 | 9215.2 -770.846
22.9018 -19.08 | 0.511873 0.32707 | 5105.91 1773.46
23.2876 -19.4079 | 1.00475 -0.254261 | -10689.5 3274.34
23.6801 -19.7186 | -1.09983 -0.157093 | 11465 -476.632
24.0908 -20.0138 | -3.51425 -0.0189156 | -6370.85 -5258.76
24.5024 -20.3059 | -0.242418 2.52634 | -2883.61 752.072
24.9203 -20.585 | 0.0482572 1.72171 | 3430.04 8916.92
25.3527 -20.8384 | 0.126647 -0.611814 | -6238.99 -11284
25.7895 -21.0865 | -0.884315 -0.792034 | 14506.5 -2360.1
26.2499 -21.3063 | -1.57032 -1.26393 | -13627.1 8810.06
26.7195 -21.4784 | -0.15161 -1.68327 | -2895.56 1116.81
27.2015 -21.6024 | -1.3589 -0.771971 | 12875.5 -4062.68
27.7011 -21.6799 | -1.99179 -1.35516 | -6762.26 9756.21
28.2023 -21.7027 | -0.37454 2.33846 | -1424 -11121.7
28.703 -21.7003 | -1.79952 7.11125 | 2261.08 9038.11
29.2039 -21.6578 | -0.232813 2.65249 | 910.901 2231.98
29.7047 -21.5959 | 1.02848 -0.150416 | 9904.93 -14760.2
30.2117 -21.5429 | 1.1913 1.72207 | -6069.07 6580.63
30.7125 -21.4671 | 3.14949 1.62638 | -2734.34 -2826.62
31.2038 -21.3638 | 1.43166 -3.46706 | -11097.5 992.095
31.6767 -21.2195 | 1.06458 -3.42639 | -820.201 12464.2
32.137 -21.0328 | 0.737482 -3.50447 | 12155.6 -8553.98
32.6045 -20.8501 | 0.749431 2.58614 | -8831.6 -3992.68
33.0701 -20.6758 | 1.5932 4.11989 | 1619.56 5027.54
33.5415 -20.5052 | 0.0671378 -0.175796 | 24530.4 2999.3
34.0357 -20.3485 | -1.34132 2.10423 | 859.215 4311.26
34.5365 -20.2071 | 1.15226 1.58273 | -16510.5 -7408.66
35.0314 -20.0989 | 1.10856 -0.630738 | -16746.1 -4577.19
