-51.8055 -13.4548 | 4.21991 -2.27082 | 131.145 -131.152
-51.3512 -13.2419 | 3.80611 -1.48809 | 352.537 -376.752
-50.8897 -13.0446 | 3.30052 -0.338405 | 493.771 -611.611
-50.4193 -12.8691 | 2.81117 0.913064 | 382.397 -673.005
-49.94 -12.7189 | 2.38676 2.03732 | 153.917 -571.003
-49.4533 -12.5949 | 2.07754 2.80831 | -10.877 -128.294
-48.9609 -12.4956 | 1.92718 3.06158 | 75.0546 117.415
-48.4643 -12.4189 | 1.91517 2.79527 | 191.754 409.358
-47.9648 -12.363 | 1.95267 2.24771 | 209.835 635.948
-47.4632 -12.3272 | 1.95954 1.75693 | 175.095 574.164
-46.9603 -12.3134 | 1.91862 1.39633 | 120.961 -358.049
-46.4572 -12.3255 | 1.83795 1.34124 | 2.60888 -836.251
-45.9556 -12.366 | 1.76917 1.92018 | -52.7685 -374.489
-45.457 -12.4342 | 1.77366 2.97194 | -34.6372 -281.028
-44.9625 -12.528 | 1.73791 3.44466 | -77.1514 -1130.36
-44.4726 -12.6441 | 1.54451 3.00768 | 78.4648 -818.478
-43.9864 -12.7752 | 1.34024 2.50182 | 678.834 1350.77
-43.5012 -12.9112 | 1.26535 2.42418 | 858.502 1986.09
-43.0157 -13.0474 | 1.11827 2.06407 | 260.017 110.401
-42.5309 -13.187 | 0.808951 1.20068 | -347.765 -1470.66
-42.048 -13.3336 | 0.543718 0.601073 | -290.758 -803.533
-41.5667 -13.4851 | 0.435304 0.558161 | -101.664 157.767
-41.0853 -13.636 | 0.366489 0.624683 | 105.665 1001.78
-40.6024 -13.7814 | 0.216253 0.367058 | 122.55 1215.12
-40.1176 -13.9196 | -0.0489113 -0.362343 | -246.833 125.87
-39.632 -14.0537 | -0.397165 -1.45322 | -607.226 -959.851
-39.1464 -14.1866 | -0.620466 -2.15595 | -540.303 -591.649
-38.6606 -14.3176 | -0.662187 -2.23927 | -329.015 224.937
-38.1738 -14.443 | -0.660162 -2.16834 | -314.548 267.821
-37.6854 -14.5602 | -0.684684 -2.20383 | -263.224 408.269
-37.1949 -14.6672 | -0.714275 -2.23319 | -327.425 -128.419
