20.3013 -57.2742 | -1.17915 -2.81781 | -9782.69 5.58264
20.7713 -57.4452 | 0.788052 -1.95466 | -7184.05 9933.45
21.2228 -57.6425 | 1.93659 0.914736 | 7649.38 -1969.75
21.6573 -57.8816 | 0.331307 3.55769 | -3819.15 -1848.07
22.0563 -58.1727 | 0.430698 2.2206 | -9344.93 627.211
22.4114 -58.51 | 0.918607 0.40677 | 7963.49 -874.778
22.7436 -58.8774 | -2.04746 2.02509 | 9092.84 -10786.4
23.0608 -59.2713 | -3.34663 1.68599 | 6774.65 4799.5
23.3632 -59.6773 | -2.90523 2.39069 | -15596.9 5958.51
23.6252 -60.1009 | 0.677913 3.19636 | 6953.67 -7502.28
23.8644 -60.5446 | 3.22575 1.76811 | 2721.5 -4851.71
24.0832 -61.0031 | 0.766272 0.839557 | -5300.93 6127.51
24.2802 -61.4662 | -1.90631 1.17268 | 4301.65 2718.28
24.4664 -61.9319 | -2.61021 -0.0574377 | -8885.2 -1954.39
24.6335 -62.4037 | -3.76278 -1.27931 | 5066.33 2171.2


-22.7562 86.6294 | 4.39302 -1.31292 | 9090.9 5634.52
-22.2824 86.8172 | 2.90684 0.290097 | -4538.69 -497.987
-21.8208 87.025 | 2.39768 0.281612 | -26.201 -5981.15
-21.3656 87.2394 | 0.987336 0.650556 | -5153.3 -2832.26
-20.9216 87.4658 | -1.03726 0.527375 | -4488.72 2677.07
-20.4913 87.7118 | 1.52028 -1.83865 | 203.423 -1871.95
-20.0677 87.9687 | 1.16045 -0.698559 | 5264.64 1482.87
-19.645 88.2347 | -1.17913 -0.0473215 | 4611.53 3493.05
-19.2241 88.5104 | 0.653238 -3.01533 | -2833.05 -8132.95
-18.8117 88.7905 | 0.682537 -0.500068 | -7305.19 3320.23
-18.4188 89.0917 | 1.3299 -0.697775 | 2139.4 1755.57
-18.0367 89.4098 | 1.56666 0.0403133 | 5148.88 295.58
-17.6587 89.7381 | 1.10498 1.37051 | -656.292 7085.26
-17.2875 90.0781 | 0.964019 1.41692 | -4093.55 -6821.05
-16.9152 90.4112 | 1.79788 1.04774 | 6944.09 1504.84
-16.5305 90.7345 | 3.23985 -0.230604 | -9673.97 6017.37
-16.1406 91.0474 | 0.25598 2.99774 | 274.155 -7796.87
-15.7241 91.3182 | -0.807895 2.81221 | 7506.35 761.345
-15.2745 91.5374 | -1.63818 3.34385 | -5908.02 -3319.31
-14.8049 91.7009 | 1.52841 -0.424808 | 5947.51 -1128.18
-14.3164 91.8144 | 0.458739 -3.87208 | 6517.5 5198.18
-13.8163 91.8945 | -0.969101 -1.16102 | -9188.76 5417.45
-13.3172 91.941 | 0.102347 -0.297407 | 22.8349 -5211.74
-12.8171 91.9301 | -0.135768 -2.42961 | 753.849 -7821.87
-12.3204 91.8583 | 2.21917 -2.03822 | 6426.72 8088.54
