0.476642 48.2165 | -2.09488 -2.50557 | -1860.04 -2727.31
0.933223 48.0363 | -1.58947 -1.88482 | 5681.42 -3395.98
1.39533 47.8569 | 1.66091 1.26511 | 5269.29 2704.04
1.86826 47.6967 | 2.82406 2.72306 | 1574.37 -134.562
2.34953 47.5577 | 0.381646 2.10371 | -1445.92 56.1171
2.83585 47.4411 | -1.65418 0.633948 | -1762.92 2146.56
3.32594 47.3486 | -1.07714 -0.0475088 | 1210.45 -282.241
3.81988 47.2744 | -0.284348 -0.275423 | 11.8765 674.064
4.31594 47.2129 | -0.212287 -0.0665374 | 2548.95 -2689.12
4.81437 47.1551 | -1.04996 -0.0680512 | 309.849 -267.224
5.3133 47.1016 | -1.70512 0.541422 | -5029.52 -1952.98
5.8099 47.0535 | -2.03368 -0.645099 | 2637.02 -2926.82
6.30958 47.0203 | -2.38956 -0.710415 | 3144.79 -592.018
6.81264 47.0227 | -2.44775 0.352595 | 731.359 5885.36
7.31277 47.0834 | -0.964684 -0.135529 | -1052.95 5406.86
7.80181 47.2017 | -0.0415274 1.31728 | -6678.87 -4587.01
8.27464 47.3553 | 0.455148 1.59628 | -5570.6 -6054.59
8.73228 47.5328 | 0.507111 1.18669 | -3534.51 116.663
9.17567 47.7376 | -0.981501 0.660939 | 3894.33 2601.73
9.6118 47.966 | -2.61237 0.79733 | 9408.76 2957.01
10.0482 48.2101 | -2.75373 1.88001 | 3671.49 1255.66
10.4832 48.4644 | -1.11146 3.07143 | 391.232 -1561.48
10.9141 48.725 | 0.543591 3.883 | -2203.92 -4862.69
11.3362 48.9936 | 0.725448 2.98748 | -5432.91 2720.15
11.7415 49.2831 | -0.890078 3.42233 | 2828.62 2139.4
12.1363 49.5905 | -1.24129 2.48051 | 1890.35 703.833
12.5239 49.9099 | 1.49817 -0.906267 | 301.978 559.217
12.9058 50.2371 | 2.6541 -0.837159 | 617.537 90.0978
13.2851 50.5679 | 2.55746 0.33036 | -2262.95 272.791
13.6631 50.8987 | 0.324565 0.932906 | -12.8293 577.81
14.0479 51.2224 | -3.26497 3.04186 | 1628.4 2337.72
14.4482 51.5304 | -3.30701 2.58297 | 4601.35 1968.16
14.8732 51.8094 | -1.38696 0.0526398 | 4011.42 -7866.45
15.3239 52.0433 | -1.68041 0.607755 | -7078.88 -4112.4
15.7845 52.2436 | -1.8357 0.254796 | -5157.95 5268.09
16.2491 52.4282 | -0.7362 -2.25006 | 3028.71 1412.32
16.7242 52.5907 | -0.738026 -1.39567 | 3622.78 -1637.38
17.2114 52.7216 | -0.660667 0.366334 | -551.437 -1369.38
17.7055 52.8202 | -0.484623 1.40628 | -2965.14 1924.96
18.2021 52.8909 | -0.0449573 2.45713 | -2441.93 -1557.91
18.6995 52.9292 | 0.964395 2.66797 | -4661.73 1281.43
19.1952 52.9362 | 1.37838 0.730991 | 2042.51 1185.58
19.6921 52.9084 | 1.14683 0.855028 | 8426.07 -6661.58
20.192 52.8384 | 1.50861 0.608117 | 4579.48 737.907
20.6914 52.7427 | 1.40938 -2.19409 | -1650.15 7681.71
21.186 52.6321 | 0.712329 -3.48846 | -4353.11 -7690.72
21.6701 52.4884 | -0.251002 -2.28424 | 1812.94 226.262
22.1481 52.3247 | -1.0799 -1.14104 | -3061.75 2778.04
22.6198 52.1519 | 0.383963 0.561159 | -3942.78 927.955
23.0865 51.9742 | 0.549705 0.543836 | 1910.83 -179.787
23.5541 51.7957 | 0.223202 0.561306 | 2810.34 -4810.22
24.0256 51.6202 | 1.75865 2.24789 | -586.329 4538.37
24.5028 51.4668 | 1.88752 1.32667 | -5178.07 5976.37
24.9828 51.3398 | 1.06513 0.976795 | -3431.55 -6456.8
25.4641 51.2249 | -0.38666 -0.296169 | 2478.7 4089.6
25.9517 51.1351 | -0.0784978 -0.410754 | 1967.82 3981.94
26.4446 51.0649 | 1.72009 0.233964 | 4706.96 -8839.77
26.9414 50.9913 | 2.13524 -0.780047 | 1406.39 -1951.73
27.44 50.9237 | 2.73986 0.26802 | -6605.7 4571.03
27.9356 50.8783 | 1.9313 0.191505 | -6721.91 1358.49
28.4272 50.8552 | 0.41963 -0.140235 | -753.097 628.668
28.9186 50.8489 | -0.189684 2.38049 | 6224.12 -3267.68
29.4146 50.8508 | -1.31481 2.9988 | 3475.04 -1866.85
29.9135 50.8647 | -1.6594 1.63562 | -258.432 1822.69
30.412 50.9007 | -1.94418 2.74225 | 1184.52 2956.65
30.9094 50.9613 | -2.40443 2.41558 | 1263.15 -2688.75
31.4054 51.0369 | -0.184312 -0.695193 | 841.3 673.207
31.8991 51.1288 | 1.6059 -2.31254 | -3457.02 -554.848
32.3868 51.2352 | 1.64068 -0.225681 | -3321.07 -6193.45
32.8679 51.3534 | 2.67707 -0.786531 | -2312.52 6010.4
33.3396 51.5014 | 3.86543 -2.27818 | -557.596 -546.726
33.8039 51.6701 | 4.71932 -2.30694 | 4332.41 -4958.92
34.265 51.8512 | 3.61771 -1.85657 | -2688.42 4858.2
34.7155 52.0571 | 1.71665 1.56689 | -942.076 1425.98
35.1587 52.2795 | 1.95646 3.01165 | 7440.08 -2983.73
35.605 52.5047 | 2.29669 1.31696 | 453.952 3627.39
36.05 52.7383 | 1.95213 1.35681 | 4745.19 -207.403
36.4965 52.976 | 1.47057 1.52247 | 1657.58 680.093
36.9407 53.2202 | 0.313559 1.00424 | -7469.8 381.195
37.3752 53.4731 | -1.36243 1.59418 | 87.4338 1190.01
37.8085 53.7277 | -2.07062 1.53661 | 2125.63 -3098.3
38.247 53.9716 | -0.724375 2.57233 | -5093.34 -3630.68
38.6867 54.2036 | 0.394086 1.57502 | -7212.93 6488.94
39.1267 54.4285 | 0.684765 -1.63967 | 2866.17 -2808.95
39.5834 54.6193 | 0.985096 0.1238 | 9193.53 -5508.56
40.0622 54.7626 | 2.04041 1.67183 | -1991.52 365.819
40.5483 54.8749 | 3.16559 -1.53742 | -7336.72 7227.6
41.0336 54.9721 | 2.939 -1.64297 | -572.092 3389.59
