-16.522 -70.5773 | 0.516958 1.01409 | 3188.36 -1633.86
-16.029 -70.6535 | -0.222701 2.27921 | -6636.46 -5232.93
-15.5362 -70.695 | 0.278808 1.27591 | -2506.95 6042.46
-15.0438 -70.6824 | 1.31867 -0.815404 | 5948.32 -2101.48
-14.5513 -70.6236 | 3.41674 2.49441 | -216.135 -1234.97
-14.0665 -70.52 | 4.12524 2.67792 | -5903.87 -1120.37
-13.5971 -70.3712 | 3.67901 1.89407 | 6731.92 445.651
-13.139 -70.1782 | 3.80294 2.82455 | 6421.52 6411.39
-12.6963 -69.9394 | 4.31054 3.11753 | -4273.75 -3424.83
-12.276 -69.6693 | 3.40948 1.49006 | -7862.76 -2047.66
-11.8785 -69.3754 | 2.73946 1.72358 | 3999.25 -88.4833
-11.4881 -69.0692 | 2.57498 1.77835 | 6090.98 231.246
-11.0986 -68.7572 | 1.98467 -0.0363738 | -6207.13 -2050.71
-10.7184 -68.4398 | 3.21866 -3.83028 | -2112.41 -3096.28
-10.3428 -68.1194 | 0.896077 -1.94957 | 12752.6 5905.52
-9.96291 -67.7895 | -0.680627 0.896865 | -4883.39 12653.2
-9.59194 -67.4431 | -1.10562 2.49216 | 3815.08 -9301.13
-9.21118 -67.1111 | -1.36293 3.40281 | -3480.19 -4412.54
-8.82431 -66.794 | 1.60542 4.7636 | -11058.3 1610.68
-8.43643 -66.4878 | 3.81304 3.48082 | 8943.63 -10447.7
-8.02819 -66.21 | 2.64396 1.49293 | -3820.22 4546.56
-7.61814 -65.9357 | 2.00828 1.26311 | -798.752 4121.62
-7.20945 -65.6572 | 2.28313 1.55091 | 1030.98 311.194
-6.79786 -65.3805 | 1.54386 0.429276 | 229.513 2868.76
-6.37936 -65.1095 | 1.49149 -1.35261 | 8334.15 5037.32
-5.94331 -64.8542 | 0.0338801 1.04296 | 67.3765 -3353.05
-5.49153 -64.6312 | -1.56151 4.87934 | -12186.5 -8611.99
-5.03265 -64.4467 | -0.918001 4.66152 | 5545.63 4751.34
