5.48836 49.2538 | -0.748041 4.4672 | 1420.19 -1766.2
5.97064 49.1043 | 0.535483 3.76542 | 7070.42 -5070.11
6.45658 48.9473 | 1.0502 4.67635 | 1688.18 5846.28
6.94465 48.7986 | 1.36883 4.15431 | -12485.7 -3165.35
7.42491 48.652 | 0.849392 1.43182 | -3294.43 3639.27
7.90633 48.5227 | -1.54876 1.00306 | 6593.85 6493.22
8.39627 48.416 | -1.0469 -0.670308 | -1103.55 -11649.4
8.8875 48.3082 | -0.188492 -0.923177 | -293.802 40.6347
9.38312 48.2203 | -1.00185 0.558808 | 4654.58 4929.2
9.88709 48.1736 | -0.823272 -1.03382 | 1793.43 576.296
10.3944 48.1695 | -0.655084 1.44903 | -3656.97 -1534.47
10.897 48.2078 | 1.05373 1.38996 | -6551.71 -331.537
11.3884 48.2948 | 2.72825 -1.9195 | -2068.17 5539.5
11.8666 48.4353 | 0.0746829 -1.60715 | 3055.14 1631.06
12.3364 48.6104 | -1.07687 -2.20469 | 8512.49 -8295.55
12.805 48.7991 | -0.593997 -1.89314 | -2416.22 4763.67
13.26 49.0184 | 2.14008 -0.198827 | -5463.42 -663.141
13.6967 49.2661 | 3.59491 0.564816 | 3118.05 2875.58
14.1224 49.5375 | 1.92557 1.27521 | 3549.51 508.677
14.5417 49.823 | 1.14868 2.16376 | -572.311 -1956.45
14.9542 50.117 | 2.17779 0.0673456 | 317.112 -1533.18
15.3592 50.4198 | 2.59084 -1.11281 | -5040.66 2169.26
15.7521 50.7358 | 1.33981 -1.03722 | 4518.21 2007.67
16.1433 51.0576 | -0.868343 -1.11388 | -1440.71 -4961.3
16.533 51.3759 | -0.614926 -0.663965 | -6986.78 -6648.55
16.9172 51.692 | 0.393232 -0.67964 | 7271.39 8887.57
17.3019 52.0197 | -0.763426 1.01675 | 4770.44 9198.09
17.6878 52.357 | -0.059416 -0.636059 | -1307.11 -7682.37
18.078 52.6839 | -0.721022 -2.51638 | -2021.26 -4082.42
18.4714 53.002 | -2.83207 1.35225 | 423.355 1283
18.8652 53.3205 | -0.228936 0.3248 | 3035.04 4353.12
19.2568 53.6452 | -0.0811085 -0.679412 | -8752.99 -5084.21
19.6383 53.9712 | -1.3451 -1.33348 | -4594.08 -528.94
20.0157 54.2971 | -0.246185 -2.61588 | 4781.5 2277.23
20.4031 54.6149 | 2.41438 -2.86973 | -3424.68 -3445.22
20.8017 54.9136 | 3.0848 -2.24471 | -1451.29 -1816.85
21.2158 55.1882 | 1.61617 0.692025 | 6627.09 1822.89
21.6508 55.4387 | 1.63211 0.799655 | 4058.48 5475.21
22.1024 55.6688 | 0.513375 -2.08835 | -1908.23 4315.13
22.5672 55.8693 | -1.52512 -0.854524 | -8066.72 -9182.85
23.0452 56.0122 | -0.393071 0.95829 | 4555.49 -5320.93
23.539 56.095 | 2.13188 0.665339 | 3713.22 5803.34
24.0412 56.1389 | 2.17147 -3.06882 | -1460.04 6659.54
24.545 56.1442 | 0.906983 -3.39092 | 3563.66 -8726.58
25.0463 56.0845 | 1.04198 -0.217432 | -9964.58 -793.62
25.5308 55.9672 | 1.69688 0.111687 | -2764.88 5248.55
26 55.8076 | 1.04917 0.101555 | 6589.03 -5453.89
26.4575 55.6042 | -2.31029 0.35517 | -995.952 -1221.42
26.9007 55.3703 | -2.86995 -0.0835955 | 404.436 3875.66
27.3344 55.1233 | -0.104565 -0.085561 | -8792.25 3819.45
27.7561 54.8688 | 1.13898 1.17524 | -77.4936 -1578.71
28.1755 54.6112 | 0.401948 -1.01082 | 6395.51 3061.32
28.6025 54.3612 | -0.199099 -2.66761 | -3500.69 -1578.41
29.03 54.1119 | -0.505397 -1.25235 | 5727.59 -7484.01
29.4648 53.8627 | -0.182892 -0.839053 | 6417.55 2799.96
29.9125 53.6303 | -0.985105 -0.436536 | -6099.32 1792.75
30.3639 53.4145 | -0.231236 -0.481746 | -4249.2 -2250.59
30.8197 53.2152 | -0.100358 -1.32127 | -209.34 5099.56
31.286 53.0456 | -1.26878 1.44167 | 5463.76 -5104.17
31.7644 52.9001 | -0.354907 3.92221 | -4165.26 3034.11
32.2481 52.7878 | -0.0373701 4.88602 | -8700.63 -979.49
32.7327 52.7077 | 0.418057 2.97287 | 8536.24 1306.7
33.2271 52.6654 | 0.943061 2.07303 | 223.149 -299.935
33.7248 52.6566 | -0.535708 2.81949 | 4563.4 762.787
34.2259 52.6763 | -0.373293 1.438 | 2914.1 -487.267
34.7278 52.7158 | -0.401786 -1.461 | -5543.93 -6896.26
35.2251 52.7681 | 0.131657 -2.50767 | 4240.34 465.013
35.7202 52.8524 | 1.90481 -1.70739 | -1187.18 5120.55
36.2046 52.9862 | 0.523284 -1.37792 | 670.841 3659.4
36.675 53.1669 | 0.110851 -0.280103 | -69.4808 -631.55
37.1315 53.3797 | 0.448373 -0.536713 | -4019.92 -3386.52
37.575 53.6124 | -0.600121 0.495255 | 2937.81 8326.44
38.0136 53.8623 | 0.768647 1.17311 | 3825.76 -4530.85
38.4585 54.1024 | 0.450127 -0.509263 | -2349.8 -6606.07
38.9088 54.3255 | 1.5759 -0.0948337 | -1074.2 5611.03
39.361 54.5458 | 2.63506 -1.43692 | -128.356 -2603.53
39.8161 54.7585 | 0.891351 -3.60625 | -1659.29 2970.98
40.2711 54.9706 | -0.507424 -0.498971 | -2296.07 3091.05
40.7272 55.1788 | -0.587163 2.16667 | 3852.11 -5146.08
41.1926 55.3668 | 0.735617 0.615871 | -2430.76 1343.83
41.6619 55.5389 | -0.0873454 -1.07931 | -8808.59 -3843.45
42.1316 55.6905 | -3.16391 -0.839061 | 4695.92 177.038
42.6093 55.825 | -1.76747 -3.68697 | 4371.5 5663.07
43.0934 55.9484 | -1.39564 -3.057 | -6511.14 -4890.91
43.5779 56.0488 | -1.18691 1.57736 | -3089.72 684.779
44.0633 56.1305 | 0.370697 1.00066 | 1554.23 -1801.1
44.5529 56.1944 | -0.528885 0.783461 | 7266.12 4572.39
45.0493 56.2504 | -0.287854 1.9281 | 3921.28 1631.99
45.5507 56.2938 | -0.592987 -1.34208 | -3057.72 -3024.13
46.0522 56.3153 | 0.211239 -1.44194 | 3373.27 4380.69
46.5567 56.3179 | 1.79225 0.265875 | 2324.98 -3897.32
47.0623 56.287 | -0.657165 0.383704 | -694.847 -3513.08
