17.7445 -39.1285 | -1.29148 2.9811 | -6410.3 -1889.78
18.2447 -39.1087 | -2.27053 3.47127 | 148.686 -823.908
18.7444 -39.1238 | -1.1643 2.19808 | -945.577 4091.4
19.2422 -39.1623 | 0.392451 -1.3345 | 984.316 -307.595
19.7394 -39.2282 | 1.00559 -1.15091 | 15299.1 -3850.45
20.2414 -39.3255 | 1.04012 0.611763 | -10468.6 1020.42
20.7304 -39.4492 | 0.345881 -3.25659 | -10107.7 10369
21.2048 -39.5922 | -1.03338 -1.06326 | 8406.83 -2611.47
21.6678 -39.7793 | -2.25455 3.30942 | -5828.26 -13584.5
22.1014 -40.0279 | -1.2771 2.25929 | -103.143 14642.1
22.5141 -40.3007 | 1.53804 -2.87198 | -4960.43 -1394.34
22.9003 -40.6081 | -0.914123 -0.881847 | 10131.6 -15911.7
23.2716 -40.9511 | -4.09903 2.53186 | 4267.07 9265.07
23.6371 -41.2984 | -0.666174 -0.111864 | -12025.4 984.43
23.9865 -41.6527 | 2.76542 -1.32798 | 1499.74 4177.87
24.3383 -42.0017 | 2.75943 -1.3135 | 3749.99 -3959.95
24.6998 -42.3449 | 1.32084 3.52681 | -712.128 6670.77
25.0713 -42.6741 | 1.46979 2.46925 | 3851.89 -1470.13
25.449 -43.0017 | -0.190177 0.447985 | 3211.5 -16839.8
25.8252 -43.3444 | -1.41438 0.29812 | -4873.08 8216.04
26.205 -43.6751 | 0.301212 -0.392648 | -2083.77 6704.87
26.5973 -43.9858 | 0.13003 -0.309888 | 7915.12 -8236.35
27.0089 -44.2859 | 0.809289 2.05982 | 11944.4 -10832.8
27.4444 -44.5725 | 3.18072 1.1763 | 865.693 5270.82
27.8992 -44.824 | 1.21813 0.351571 | -14465.2 9022.45
28.362 -45.0327 | -0.801571 -1.4698 | -2299.55 -3128.74
28.8366 -45.2019 | -1.16302 -0.152681 | -5444.61 4336.83
29.322 -45.3152 | -1.30521 1.62852 | -2569.56 3036.98
29.8159 -45.3672 | 1.76909 -3.25336 | 10146.1 647.395
30.319 -45.3654 | -0.0456747 0.564428 | -4663.71 -539.674
30.8191 -45.322 | -1.05878 5.2024 | 5102.07 -3726.71
31.3193 -45.2477 | 2.54219 3.41068 | 5082.49 7253.42
31.8174 -45.1359 | 2.43483 2.00321 | 1424.95 -5900.4
32.311 -45.0038 | 0.8211 1.47601 | -2873.32 1301.46
32.7936 -44.8439 | -1.38597 1.19339 | -8409.81 267.891
33.2594 -44.6559 | -0.0144789 2.66121 | -1892.34 -2381.18
33.7138 -44.4476 | 5.01438 -0.46386 | 652.347 4469.35
34.1614 -44.2209 | 1.58097 -0.194393 | 4418.24 -1845.58
34.6113 -43.9922 | -2.41754 -0.0278995 | 7613.94 -906.889
35.0672 -43.7644 | -1.12941 -5.56768 | -11604.2 -1178.94


-18.9738 28.5084 | 0.723991 -1.67562 | 3360.67 8718.35
-18.6021 28.8537 | -1.97646 -2.17215 | 706.493 -10311.5
-18.2356 29.1978 | 0.53324 -3.91508 | -4059.21 4412.65
-17.8793 29.5516 | 2.16021 -2.04469 | 4094.31 -5608.66
-17.524 29.9067 | 3.3512 -2.92234 | -2789.8 13568.2
-17.1764 30.2774 | 1.91651 -5.45537 | 9537.52 536.785
