-7.9475 89.0434 | -0.632957 -1.86162 | 2902.18 -1792.96
-7.54257 88.741 | -0.659451 -2.92722 | 10695.8 7854.92
-7.12599 88.451 | -2.34704 -1.54834 | -11860.7 -2594.25
-6.71946 88.1565 | -2.08363 -0.322099 | -4479.98 -984.357
-6.31614 87.8643 | -0.691317 1.70729 | -2238.96 9782.49
-5.90404 87.5941 | 0.390488 -0.0612318 | -242.028 -4109.65
-5.48048 87.338 | 1.07213 -1.57951 | 17317.8 -1960.88
-5.03526 87.0995 | -0.669468 -1.08843 | -11962.6 3581.61
-4.59249 86.8697 | 0.320402 -0.294632 | -1003.3 -7677.79
-4.14969 86.636 | 0.00776253 -0.977961 | 11435.7 -1243.19
-3.69398 86.4135 | -0.370286 0.401553 | -9528.87 6363.79
-3.23623 86.2108 | 2.75252 3.94879 | 1002.24 -2965.76
-2.77281 86.0217 | -0.0399102 -0.0770916 | -4772.39 -3520.05
-2.30462 85.852 | 1.54595 -1.8865 | -1427.91 2372.07
-1.82497 85.7248 | 5.62104 -0.511538 | 6727.84 8302.55
-1.3315 85.6555 | 4.11381 1.88471 | -11578.8 -2428.03
-0.840526 85.6217 | 3.64818 3.42842 | 7846.18 -3219.44
-0.344344 85.6112 | 1.85769 -0.798115 | -2506.63 -4649.09
0.150959 85.6224 | 0.68054 -0.820673 | 112.002 3022.72
0.644872 85.6708 | 1.79672 -2.86724 | 8769.1 3274.19
1.13873 85.7581 | 1.23671 1.26764 | -9960.88 -3817.77
1.62037 85.8748 | 1.66662 2.67481 | 3670.34 -1896.01
2.09511 86.0201 | 1.58632 -1.86361 | 504.624 1141.42
2.55729 86.201 | 1.8199 -2.02274 | -9769.98 1362.88
2.99908 86.4177 | 2.09746 -1.70579 | 12630 239.345
3.43802 86.6565 | -1.35273 -1.53726 | 4041.09 2090.08
3.86963 86.9168 | 0.090039 -2.30589 | -4862.53 8765.73
4.28849 87.1977 | 1.57542 1.13438 | 2794.43 -14357.6
4.7103 87.4651 | 1.83536 -0.333809 | -10642.4 -4105.49
5.12353 87.7314 | 0.623018 -4.20731 | 2823.81 8230.45
5.53267 88.0083 | -2.89962 -2.75805 | -3571 -9133.01
5.93956 88.2798 | -1.20778 -0.233125 | -5715.55 9403.37
6.34402 88.5559 | 0.907382 0.421406 | 13152.8 -4193.48
6.77031 88.8095 | 0.375353 0.588082 | 2562.91 -3197.85
7.20931 89.0445 | -1.64248 3.40713 | -2080.81 13616
7.64919 89.2835 | -1.6941 1.88727 | -4727.74 -6542.2
8.09537 89.4998 | 0.916465 -0.565431 | -4765.21 -952.944
8.55288 89.6843 | 1.57761 0.713982 | 13821.3 4013.92
9.03464 89.8283 | 1.14814 -0.76486 | 3860.35 -5466.87
9.53218 89.9201 | 0.604885 -1.54682 | -2719.35 4350.39
10.0338 89.9724 | -0.332837 -0.920451 | -7167.3 206.145
10.5332 89.9799 | -0.609308 -1.33072 | 2105.55 -5734.69
11.0319 89.9351 | -0.728644 -0.321875 | 5909.93 4192.5
11.5286 89.8537 | -2.08195 0.795813 | -11601.9 -3072.96
12.0105 89.734 | -0.320596 -0.76082 | -952.796 669.389
12.485 89.593 | 2.85692 -1.47667 | 5529.9 7324.31
12.9604 89.4465 | 2.40455 -0.758121 | 2235.64 -6933.06
13.4326 89.2786 | 2.07692 1.81173 | 3896.06 1693.07
13.9018 89.0972 | 0.623359 -0.928327 | -5963.9 2817.65
14.3602 88.9015 | 0.554369 -0.940163 | -4047.92 -368.666
14.807 88.6868 | 0.595783 -2.07877 | 2451.52 195.35
15.2475 88.4549 | 0.972156 -3.07622 | 6477.26 -9722.9
15.6856 88.2034 | 4.65944 -2.77864 | 2895.69 4545.18
16.125 87.9543 | 2.65648 -2.45157 | -10413.8 6120.06
16.559 87.7118 | -0.937646 0.285333 | -2048.42 -3191.27
16.9938 87.4714 | 2.41991 3.19733 | 11934.4 882.784
17.4431 87.2418 | 3.2932 2.96956 | 3598.29 -9335.38
17.9001 87.0139 | 3.74683 2.54022 | -906.438 2018.82
18.3649 86.8054 | 3.24292 1.2543 | -5034.35 8601.56
18.8361 86.629 | 0.246687 -0.992959 | -6476.96 -1245.71
19.3095 86.4737 | -1.28106 -1.29491 | -664.8 601.703
19.7885 86.3397 | -0.769443 -0.876048 | 3494.4 -2328.82
20.2758 86.2253 | 0.390374 0.0165452 | 5851.13 82.0146
