21.2372 -66.3244 | 2.36965 -3.33174 | 6191.33 -3282.25
21.7446 -66.3657 | 2.18389 -2.46597 | -6473.78 6021.66
22.2484 -66.4015 | 4.82341 -3.61576 | -4297 -2138.5


-19.9563 86.8963 | -1.93597 3.87752 | -7035.06 -165.759
-19.5084 87.1042 | -3.71418 6.32753 | 834.296 1349.24
-19.0689 87.3324 | -2.72864 3.44104 | 4428.7 -1131.46
-18.6289 87.5657 | 0.411988 -0.198352 | 5543.52 -4880.02
-18.1856 87.7988 | 3.47727 -1.04307 | -1082.26 7656.11
-17.7495 88.0501 | 3.82867 -0.169702 | -1719.76 5128.74
-17.3184 88.3117 | 2.193 0.419957 | 5859.56 -11115.9
-16.8784 88.5576 | 1.3488 -1.25341 | -2210.56 3926.3
-16.4401 88.805 | 2.04636 -1.71281 | -5044.71 -1657.39
-16.0075 89.0536 | 3.1574 0.528434 | -5937.47 -4448.66
-15.5806 89.3006 | 3.43364 2.0125 | -2758.24 5362.94
-15.155 89.5497 | 2.18708 3.9425 | 9024.15 -2957.44
-14.7154 89.7829 | 2.81746 2.59383 | 3533.87 -6687.12
-14.2685 90.0031 | 3.8507 -0.837402 | -5722.5 10172.1
-13.8315 90.2419 | 1.73689 -1.22594 | -353.949 4641.07
-13.3989 90.4905 | 1.08285 -3.66767 | -3736.45 -3197.42
-12.9614 90.7229 | -1.78321 -1.83305 | -595.712 -6640.48
-12.5102 90.9187 | -3.61689 2.49383 | -2271.38 -1302.03
-12.0482 91.0801 | -1.66386 1.60209 | -5176.3 1602.84
-11.5798 91.2139 | 0.0283106 0.560103 | 6716.97 7934.92
-11.098 91.3204 | 1.46281 0.147225 | 11760.1 -3863.51
-10.6 91.3766 | 1.02731 1.59881 | -5952.52 -5339.69
-10.1025 91.3821 | -0.587367 2.14957 | -6297.97 3023.69
-9.61044 91.3592 | -0.435599 1.76032 | -1557.02 9953.26
-9.12143 91.3203 | 0.97682 1.99316 | 1662.63 -6364.1
-8.63566 91.2399 | 3.02207 1.44571 | 4144.67 -7749.03
-8.15393 91.1201 | 4.33392 0.503978 | -272.853 10125.4
-7.67496 90.9933 | 2.99895 0.0360035 | 2749.99 1919.61
-7.1981 90.8525 | 0.897947 0.285542 | 3506.11 -1505.97
-6.72826 90.6824 | 0.26395 2.4201 | -2009.04 154.114
-6.27601 90.4722 | 1.4263 3.56552 | -696.414 -5539.32
