15.6829 92.0433 | -1.4137 2.45516 | 16706.9 15213.1
16.1518 92.2141 | -0.674207 1.25862 | -2863.66 -13719.2
16.6185 92.3824 | 2.49706 3.99462 | -716.733 547.052
17.0779 92.5709 | 0.271722 1.66021 | 10230.3 15594.7
17.5278 92.7994 | 1.90262 1.64357 | -20245.1 -17955.7
17.9557 93.0387 | -3.87858 -2.70455 | 6156.05 23109.3
18.3796 93.3039 | 0.421743 2.70763 | 16865.9 -12554
18.8285 93.5378 | 2.22425 0.861838 | -10122.7 -5047.55
19.2855 93.7441 | -0.768851 -2.62622 | 12216.7 6200.82
19.7565 93.9375 | 0.259609 -3.94552 | -10766.5 4531.26
20.2275 94.1192 | 2.58315 -5.79581 | 3006.26 -5382.98
20.7102 94.2655 | -5.51983 -2.83085 | 531.83 -8378.11
21.2021 94.3723 | -2.96888 -3.52644 | -3072.11 9600.28
21.6953 94.4673 | -1.6555 1.31296 | -3196.28 -1264.64
22.1904 94.5391 | -6.18497 -6.47111 | 3309.67 668.831
22.6918 94.5801 | 1.37531 -0.402767 | 10339.3 -2202.28
23.2009 94.5809 | 1.00874 4.12219 | -16207.5 -1650.24
23.7005 94.541 | 6.68895 -0.00440948 | 17132.7 -4525.05
24.2071 94.4668 | 2.64212 -1.73352 | 2001.87 9227.59
24.7131 94.3759 | 3.2479 -3.90439 | -15481.4 -2651.2


33.175 -22.0943 | 0.405075 0.792327 | 3398.13 1212.71
33.6465 -21.916 | -0.0772737 3.90189 | 3202.85 2807
34.1067 -21.7056 | -0.601289 4.02321 | -8870.81 -2167.03
34.5499 -21.4726 | -2.76023 4.19872 | 4553.88 326.669
34.9891 -21.2258 | -4.12153 4.16902 | 9001.4 1726.08
35.4295 -20.9692 | -2.81708 4.23218 | -3238.53 1022.63
35.8616 -20.7016 | -0.571089 3.57758 | -6613.67 -3931.53
36.2835 -20.4294 | -1.09536 4.14041 | -2657.49 -7686.3
36.699 -20.1558 | -1.0116 4.27751 | 1263.04 12387.1
37.1069 -19.8636 | 0.98042 2.5875 | 564.029 -5201.24
37.5156 -19.5751 | 1.75331 -1.27222 | -1856.27 -9416.76
37.9258 -19.2958 | 0.0904108 -2.80092 | 2847.11 12493.5
38.3331 -19.0021 | -0.766071 -0.472899 | -211.588 3511.04
38.7413 -18.707 | 0.972358 1.04973 | -2588.73 -7215.51
