-18.5915 85.639 | -0.317416 -1.05486 | 535.693 -1734.15
-18.1732 85.9199 | -2.63464 0.717933 | 1105.72 -6451.07
-17.7457 86.1829 | -3.684 3.82939 | -4406.61 -130.413
-17.3219 86.4454 | -2.575 4.18789 | -8257.95 5533.91
-16.9086 86.7183 | -0.910979 1.7543 | 1579.99 -1089.88
-16.4903 86.9834 | 1.27503 -0.14808 | 2162.47 -5176.43
-16.059 87.2265 | 3.28187 -0.183496 | 1874.14 3355.04
-15.6167 87.4544 | 3.07233 3.68006 | 1701.32 1576.54
-15.1646 87.6663 | 2.22774 4.13582 | -1464.91 -1426.77
-14.7049 87.8583 | 1.14734 0.248997 | -745.269 192.098
-14.2386 88.0313 | 0.556671 -3.09547 | -1821.9 -520.885
-13.7669 88.1848 | -0.549581 -1.49906 | 105.216 1365.15
-13.2893 88.3198 | -1.02627 -1.45093 | 1978.27 3636.29
-12.8045 88.433 | -2.22072 -1.38016 | -2564.91 -5003.52
-12.3153 88.5091 | -4.01513 -0.760933 | -4251.16 693.244
-11.8258 88.5526 | -4.84799 -0.451192 | -4889.46 133.436
-11.338 88.566 | -5.763 -0.978815 | 3654.23 -471.39
-10.8475 88.5534 | -5.39819 -2.04945 | 7724.99 4716.8
-10.3523 88.5229 | -3.57173 -4.10648 | -2379.45 -2515.41
-9.86042 88.4647 | -1.93439 -2.33954 | -1121.14 1257.07
-9.37336 88.3814 | -1.41686 0.989881 | -1503.21 198.162
-8.89253 88.2727 | -2.76381 0.311318 | -248.032 -1351.9
-8.41742 88.1403 | -3.05892 -1.47007 | 2412.48 -316.873
-7.94457 87.9926 | -2.18995 -0.858117 | 3569.93 -408.802
-7.47074 87.8373 | -3.89838 -0.692379 | 4853.15 2603.67
-6.99408 87.6804 | -3.54356 0.897809 | -927.283 -5030.87
-6.52005 87.5136 | -1.86469 0.987925 | -1039.99 4053.18
-6.04777 87.3482 | -1.62916 1.06929 | -5783.3 -143.074
-5.58009 87.1821 | -1.14552 4.71954 | -1182 817.171
-5.11214 87.019 | -1.76839 6.3332 | 7088.33 -404.671
-4.63739 86.8606 | -1.20202 5.36669 | 3683.06 -767.81
-4.15896 86.7036 | 0.537453 4.50218 | -2861.64 -1649.49
-3.68274 86.5435 | -0.119345 2.84204 | -1286.34 -4310.62
-3.20725 86.3834 | -1.86762 -0.236672 | -4489.95 2575.11
-2.72932 86.244 | -3.12329 0.359755 | -1729.89 789.284
-2.24463 86.1407 | -4.49108 1.28238 | 552.082 6842.69
-1.75299 86.0867 | -3.92524 -0.221933 | -2764.09 1576.75
-1.26076 86.0659 | -1.4463 -0.156836 | -807.209 -10534.2
-0.768527 86.0539 | 1.19306 1.2805 | 1480.83 192.316
-0.274356 86.0677 | 1.99647 3.25704 | 8023.38 5455.36
0.223447 86.122 | 1.18873 1.36172 | 4060.68 -655.851
0.71944 86.2097 | 0.851452 -1.87362 | -6369.81 -3829.57
1.20438 86.3275 | -0.887655 -0.634511 | -2400.7 -2914.07
1.67603 86.4824 | 0.117673 -2.17743 | 2564.02 5384.05
2.13065 86.689 | 1.98225 -1.80973 | 2394.81 5495.26
2.56511 86.9428 | 2.04254 -1.82134 | -1625.88 1903.6
2.98202 87.225 | 1.05997 -1.78619 | -412.474 -5784.2
3.39379 87.5107 | 0.0973149 -1.05537 | 4925.34 -2112.56
3.80874 87.7941 | -0.672182 1.31487 | -2490.41 790.807
4.2199 88.0804 | -2.78897 4.35235 | -4357.81 -3858.94
4.6251 88.3676 | -3.69898 3.52667 | -3669.71 2554.42
5.02534 88.6588 | -3.5619 3.4558 | 2941.4 -4583.5
5.43093 88.9427 | -3.93552 4.93055 | 5304.26 640.323
5.84065 89.227 | -3.388 4.51306 | -2069.01 7804.73
6.24388 89.525 | -0.743134 1.15876 | 1624.06 644.749
6.64731 89.8253 | 0.06888 -1.359 | 946.669 -1565.05
7.05578 90.1176 | -0.821742 -0.448246 | -7458.48 -2864.61
7.46769 90.396 | -1.29927 0.0241792 | 1978.9 366.348
7.89391 90.6545 | -0.518691 -0.610466 | 7140 3759.51
8.34139 90.8871 | 0.208339 0.595883 | 4655.49 -6919.74
8.80927 91.0805 | 1.13202 -0.090911 | 794.946 -1885.05
9.2873 91.2478 | 2.74148 -2.66728 | -5010.49 8090.18
9.76551 91.4098 | 2.95865 -3.75195 | 373.383 -2476.96
10.2485 91.5534 | 1.4943 0.111292 | -3018.14 -3056.69
10.7347 91.6739 | 0.284753 1.64114 | -4540.98 1221.99
11.2224 91.7759 | -1.76934 0.772584 | 6471.65 524.904
11.7185 91.8569 | -2.2604 0.997136 | 3406.37 1438.62
12.2205 91.9158 | -1.11757 0.647704 | -3044.7 698.308
12.723 91.9472 | -1.66961 2.42777 | -2790.24 -1037.9
13.2241 91.9425 | -1.49412 1.12723 | -225.795 -2393.81
13.7232 91.8969 | -0.323645 0.654647 | 2870.86 -3269.31
14.2203 91.8149 | -0.0945873 2.24617 | 4273.23 5318.64
