-16.0979 -37.9313 | -3.8643 -4.80257 | -4335.28 10210.6
-15.6066 -37.8074 | -1.38278 -0.147409 | 130.01 5206.99
-15.1167 -37.6775 | 0.170694 -0.423271 | -4440.3 -9628.58
-14.6255 -37.5748 | 0.978108 -0.427354 | -5296.99 -3559.31
-14.1336 -37.4996 | 0.42418 1.74825 | 4275.41 3396.57
-13.6368 -37.4404 | 1.21464 -0.871659 | 2184.18 -488.915
-13.1362 -37.3975 | 0.354379 -1.09282 | 592.878 -2077.55
-12.6337 -37.3681 | -1.91554 -1.73671 | 3021.99 10714.4
-12.128 -37.3404 | 1.23106 -1.98376 | 3387.53 -4295.03
-11.6191 -37.3446 | 4.62365 -1.86652 | -698.833 -7340.12
-11.114 -37.3943 | 3.03935 -2.08337 | -15054.5 4316.61
-10.6228 -37.4748 | 3.34047 -2.33591 | 8992.3 2854.12
-10.132 -37.5842 | 3.54869 1.04998 | 7552.65 -7763.41
-9.64585 -37.7361 | -0.454469 -1.90706 | -3580.23 4067.9
-9.17359 -37.9204 | -0.503121 0.0792519 | -1980.68 -2484.79
-8.7192 -38.1415 | 0.443307 2.56107 | -8048.19 -2197.89
-8.285 -38.3923 | 1.82655 1.69422 | 8156.9 6578.75
-7.85352 -38.651 | 0.778513 -0.12669 | -1785.39 -3595.92
-7.43332 -38.9261 | 2.56189 -3.38081 | -10813.1 8345.18
-7.02882 -39.2096 | 1.23157 -4.81314 | 7628.27 -5822.44
-6.62832 -39.508 | 0.446136 -0.182186 | 897.748 -3721
-6.23219 -39.8177 | -0.978554 -2.39497 | 3331.07 -1015.08
-5.83352 -40.1281 | -1.65125 -4.08784 | -4108.42 -1241.89
-5.43082 -40.431 | -0.631211 1.15728 | 3324.28 5436.2
-5.011 -40.709 | -0.832421 0.111435 | 2990.09 816.625
-4.57569 -40.9647 | -1.42244 0.0660975 | -906.139 804.261
-4.13361 -41.2062 | 3.12408 1.84483 | -7579.58 -6503.74
-3.69305 -41.443 | 0.235358 1.10798 | -3014.24 11544.2
-3.24528 -41.6522 | -2.45621 0.993028 | -2468.64 -4783.8
-2.79172 -41.8469 | -1.52455 0.314411 | 4533.63 -3241.67
-2.32643 -42.0207 | -1.50061 1.32305 | -1314.51 4244.23
-1.85184 -42.1602 | -1.48463 1.69802 | -6546.12 2033.44
-1.3742 -42.2681 | -1.97439 -2.46762 | -1981.87 -5151.62
-0.892746 -42.3532 | -1.28283 -2.85745 | 5345.55 3136.38
-0.402324 -42.405 | 1.8944 0.803884 | 8801.36 -298.566
0.0968972 -42.4304 | 1.54282 -0.0356482 | -1224.99 -3136.33
0.597473 -42.439 | 0.668387 -0.653884 | 4169.41 4933.11
1.10053 -42.4289 | -0.607122 3.37963 | -2538.46 -11188.3
1.60161 -42.4183 | -1.73349 1.2765 | -5070.68 9646.24
2.09797 -42.3818 | 0.677823 -2.63088 | -441.885 -6741.05
2.59238 -42.3338 | -0.861249 -0.730863 | 2302.63 4064.68
3.08579 -42.2622 | -1.5017 -1.33382 | 360.417 4382.88
3.57697 -42.1715 | 0.673909 -4.38726 | -1252.41 -7619.92
4.06804 -42.0834 | 0.541047 -1.96881 | 9409.11 455.196
4.56429 -41.9894 | 1.08133 -0.982809 | -2013.92 10209
5.05704 -41.8788 | -0.859356 2.81431 | -9524.92 -8036.81
5.54554 -41.7816 | -1.38841 -0.609979 | 5427.13 2424.35
6.0402 -41.7012 | -1.98202 -1.67889 | 4173.87 -5876.67
6.54119 -41.6488 | -1.56454 0.959209 | -3987.54 4211.73
7.04185 -41.6109 | 0.267864 -0.190309 | 2207.53 -1072.84
7.54475 -41.592 | -0.455203 -5.87614 | -3593.84 962.983


-27.8521 64.2071 | 1.70684 1.30117 | 9476.02 9793.37
-27.4982 64.578 | 2.15992 1.81033 | -1671.27 -4554.06
-27.1518 64.9502 | 0.976662 -0.741896 | -5379.08 -4799.1
-26.8176 65.3242 | -0.0542265 0.717287 | -5744.23 -7407.79
-26.4975 65.6999 | -1.33243 0.716773 | -5585.4 -102.726
-26.1911 66.0832 | 0.534213 -4.13469 | -939.803 9232.73
-25.8824 66.4705 | 0.756337 -3.48109 | 16418.8 -6803.75
-25.5406 66.8352 | 3.01491 -0.452817 | -5158.82 3601.13
-25.1903 67.1914 | 7.10851 -1.62848 | -7076.59 3255.98
-24.8356 67.54 | 3.83728 -3.28459 | 7449.49 -12165.3
-24.4599 67.8617 | -1.13078 -3.36561 | -10871.3 5138.34
-24.0857 68.1799 | -0.942406 -6.07665 | 995.393 5471.52
-23.7007 68.4904 | -0.818697 -5.57494 | 11031.8 -2625.15
-23.2888 68.7743 | 2.47397 -2.47349 | -20.0287 1346.38
-22.8618 69.0371 | 1.34304 -2.98232 | -3656.24 2172.32
-22.4267 69.2835 | -1.4171 -1.76862 | -862.861 393.047
-21.9807 69.5071 | -0.875126 3.07704 | -2205.87 -8141.63
-21.5231 69.6982 | 0.768725 1.16961 | 4476.22 5735.65
-21.0551 69.8757 | 1.17623 -3.43078 | 4403.62 5956.8
-20.5778 70.043 | 0.612515 -0.791025 | 3539.35 2205.15
-20.0905 70.1872 | -0.479229 0.820216 | -6514.08 -11687.2
-19.5989 70.2892 | -0.902173 -2.41961 | -4062.45 6573.42
-19.1061 70.3695 | -2.65401 -2.5723 | 1961.12 -523.391
-18.6086 70.4209 | -2.08646 -0.377566 | 1476.83 -7229.63
-18.108 70.4388 | -0.966626 0.647958 | -2747.51 5585.92
-17.608 70.4481 | -1.84168 -2.17135 | 5985.78 -2616.04
-17.1029 70.4514 | -1.83522 -5.325 | 8876.51 -76.3807
-16.5911 70.4621 | 0.300659 -3.35723 | 1701.04 9526.33
-16.0796 70.4951 | 1.87743 -1.86877 | -15201.8 -10275
-15.5798 70.5296 | 2.06903 -1.62217 | -7435.72 929.686
-15.0888 70.5827 | 0.0814618 0.541154 | -1830.38 3174.43
-14.6026 70.6646 | -1.21853 -2.23702 | 10158 666.869
-14.1139 70.7709 | -0.521574 -4.30164 | 4287.89 2113.84
-13.6279 70.8992 | -3.24762 1.18193 | -17766.3 -5214.74
-13.1574 71.04 | -3.69884 -0.219651 | 7499.47 -6822.02
-12.6872 71.1914 | -3.06958 3.31639 | 10116.6 7478.47
-12.2227 71.3821 | -1.65685 5.27125 | -5641.34 7368.28
-11.7813 71.6194 | -3.93136 4.57221 | -4493.6 -10646.2
-11.36 71.879 | -3.3181 1.81567 | 432.737 -2766.57
-10.9583 72.166 | 1.03681 0.195099 | -883.64 8692.83
-10.5818 72.4919 | 2.37947 0.644923 | 7274.85 7265.75
-10.2178 72.8425 | 1.48049 -2.67849 | 5750.6 -5792.02
-9.85757 73.197 | -1.44951 -2.676 | -11164.3 -5438.33
-9.51414 73.5565 | 3.15307 -3.49769 | 819.488 -3741.96
-9.17869 73.9203 | 1.18358 -0.94817 | 3189.13 2974.85
-8.85209 74.2956 | 2.17575 -1.45614 | -752.009 948.222
-8.54082 74.6847 | 4.45242 -1.59526 | 3277.65 -1909.87
-8.24604 75.0871 | 2.39624 -0.330996 | -2789.28 4888.1
-7.98036 75.5113 | 0.317071 0.771716 | -5846.43 -58.5819
-7.74124 75.9506 | -2.44913 2.51358 | 11986.9 7112.53
-7.50236 76.3994 | -0.0889408 2.07234 | -5681.53 5593.05
-7.26931 76.853 | -0.167825 2.70813 | -48.0723 -12571.8
-7.02204 77.2899 | -1.50999 4.30715 | 3974.79 -6123.33
-6.75451 77.7104 | 3.03553 0.538636 | -8197.33 3937.63
-6.48438 78.1265 | 2.23007 -3.97812 | -2560.54 -10911
-6.20186 78.5267 | 4.56945 -2.88975 | 3728.69 10056.4
-5.9022 78.9224 | 3.51308 -0.669442 | 3168.98 3600.55
-5.58104 79.3062 | 1.47687 -0.215336 | 3293.2 -5514.59
-5.23756 79.6692 | 3.79467 -0.959832 | -2832.14 736.528
-4.88637 80.0225 | 3.53683 -2.91681 | -7883.69 -311.756
-4.53463 80.3715 | 1.99051 -0.645475 | 8809.5 12283.1
-4.1654 80.7152 | 0.0132013 0.765725 | 740.534 -9494.87
-3.77323 81.027 | -0.177591 -3.83157 | -8490.63 -7198.96
-3.3674 81.3093 | -1.75448 -1.18616 | 6095.71 13103.8
-2.94376 81.5788 | -4.00962 0.207076 | 5550.12 -608.085
-2.49762 81.8163 | 1.05174 -2.87772 | -3994.67 -8404.07
-2.03673 82.0116 | 2.00484 0.0144369 | -2168.41 -3931.66
-1.56961 82.1804 | -0.156132 -1.39466 | -8445.04 6821.06
-1.10772 82.3505 | 1.49976 -2.2768 | -64.5123 765.107
-0.644071 82.517 | 0.6356 -1.17977 | 6009.01 3524.29
-0.171094 82.6722 | -1.30413 1.21383 | 3051.57 -1748.04
0.312272 82.8012 | -1.57556 0.570902 | 1304.88 2692.14
0.803241 82.8997 | -0.537852 0.289969 | -8543.47 -4623.71
1.29504 82.954 | -0.521553 2.85582 | 3521.13 7981.3
1.79128 82.9663 | -3.51378 0.969777 | 3870.05 -12863.7
2.28785 82.9091 | -0.218302 0.383962 | 1257.97 1700.66
2.77996 82.8074 | 1.96005 -1.36884 | 7203.7 -440.885
3.27023 82.6771 | -0.0227263 -2.07081 | -8786.76 -4620.09
3.75187 82.5308 | 0.874885 -1.14798 | 3445.4 14399.5
4.23831 82.4029 | -0.957504 -3.64558 | 7860.62 936.575
4.72772 82.2711 | 0.898449 -2.94351 | -11480.8 -19404.8
5.20297 82.1048 | -0.240034 1.05493 | -284.614 11894.8
5.6795 81.9531 | -0.565541 4.24174 | -1898.2 2362
6.15935 81.8221 | 0.627035 3.82149 | -6582.49 -4966.93
6.64132 81.7113 | -0.623129 1.90438 | 12903.5 5976.45
7.13802 81.6421 | 1.78482 1.90425 | -3442.17 -4856.19
7.63646 81.6064 | 4.36958 1.83942 | -8136.23 -614.744
8.12991 81.6147 | 0.301593 2.70067 | -585.576 1731.89
8.61768 81.6785 | 1.00914 1.98678 | -1815.22 1024.12
9.09419 81.7981 | -0.747121 2.16643 | 5039.82 -938.097
9.55981 81.9645 | -0.209606 0.385332 | -2274.8 930.404
10.0087 82.1728 | 1.56469 -1.3492 | 6024.54 3492.31
10.448 82.413 | -1.80328 -3.94026 | 9803.69 -1545.28
10.8831 82.6717 | 1.54224 -2.33028 | -5654.89 -88.8215
