-8.93373 91.4012 | -1.60268 5.43671 | 17849 11587.2
-8.50341 91.6665 | -0.800207 5.21884 | -14109.9 -13026.1
-8.05747 91.8808 | -1.09277 -1.84051 | -5452.43 7226.11
-7.60053 92.0638 | 0.864061 0.404518 | 6769.55 -3801.14
-7.12478 92.204 | 3.48853 -3.46997 | 5845.86 10602.2
-6.63608 92.3121 | -1.34054 -5.63388 | -14277.2 -7361.12
-6.14672 92.3634 | 1.89318 -0.670453 | 15238.5 -3814.37
-5.64644 92.3589 | -0.269367 -0.225517 | -7029.57 11381.1
-5.15132 92.3191 | 0.793592 -3.01266 | -1386.47 -20103.2
-4.66289 92.2208 | 2.06882 2.61416 | 8484.62 8252.43
-4.16926 92.1215 | -1.1347 -2.54778 | 6033.7 10333.2
-3.66961 92.0416 | 0.664604 -2.29173 | -12685.2 -10206.2
-3.17756 91.9594 | 3.08438 -1.40376 | -670.509 4600.17
-2.68453 91.8987 | 1.32362 1.18403 | 5454.39 9057.98
-2.18819 91.8657 | 5.84787 4.62542 | -25285.5 -12622.1
-1.70545 91.8291 | -0.17592 1.12391 | 29720 5741.9
-1.2052 91.8126 | -2.20994 -3.24994 | -9455.43 3419.15
-0.710472 91.8117 | -1.17418 -2.08549 | -20024.2 -13748.1
-0.228706 91.8073 | 1.28633 5.48251 | 11424.6 12161.8
0.26019 91.8359 | 3.20068 3.19748 | 15042.7 1916.6
0.761329 91.8832 | 0.959917 -6.79162 | 21977.2 -15195.2
1.27605 91.9312 | -7.93563 -0.571204 | -23870.4 21255
1.77016 92.0253 | -1.46664 0.619876 | -15412.3 -11823.5
2.24947 92.1194 | 3.96311 1.71394 | 565.283 -13080.9
2.72833 92.2042 | -2.66962 -2.17883 | 7619.75 16788.2
3.2079 92.3229 | -6.35099 1.41774 | 5387.83 -12205
3.68822 92.4551 | -0.364261 1.38083 | 8784.22 8284.17
4.16309 92.6319 | 2.07413 0.140849 | 5012.92 16454.5
4.62079 92.8609 | -0.795275 0.125732 | -23192.3 -35023.7
5.04968 93.0937 | -2.40311 3.52132 | -8715.37 17658.9
5.44712 93.3773 | -1.83678 -2.07076 | 30077.5 9209.4
5.84817 93.685 | -1.4424 0.43367 | -29537.6 -16794.7
6.22634 93.9943 | 1.78273 1.84375 | 30271.6 5739.58
6.62175 94.308 | -2.04248 2.38626 | -5973.6 15273.4
7.00281 94.6465 | 4.29644 -0.573389 | 374.013 -13175.6
7.37648 94.9821 | 5.949 -2.62252 | -24025.5 -8916.05
7.72677 95.3199 | 2.70453 -2.14755 | 19448.1 717.167
8.08847 95.6579 | 2.70284 -0.335729 | -912.542 13097.2
8.4424 96.0145 | -1.88333 0.501008 | -1596.33 4987.33
8.79488 96.3768 | -0.854764 1.74342 | 7029.66 -7317.26
9.16654 96.7201 | 3.90816 -3.60679 | -2222.3 4058.23
9.55161 97.0493 | -0.81773 -5.32899 | 168.616 2143.03
9.95508 97.3538 | 3.48378 -3.6319 | -14477.6 -13628.5
10.3769 97.6103 | 3.14321 -3.41533 | 16149.5 6336.56
10.8342 97.823 | -0.407092 -3.7499 | 9414.24 1756.77
11.3161 97.9903 | -7.77875 -1.76702 | -24116.5 -13492.5
11.7965 98.1123 | 3.4765 -1.84359 | 17120.4 26514.4
12.2917 98.2259 | -0.483016 2.1668 | 4561.43 -25646.9
12.7969 98.2733 | 3.16112 4.22452 | -32576.2 10673.9
13.2858 98.2973 | 4.96181 4.99324 | 32910.3 -1478.26
13.7933 98.2929 | 4.29029 1.40221 | -9576.27 2095.12
14.2947 98.2626 | 1.18299 -2.60238 | -18175.4 -5707.42
14.7826 98.203 | 5.27657 1.10718 | 23404.5 15344
15.2812 98.1373 | -1.99849 2.33588 | -14367.6 -14089.2
15.7647 98.0225 | -6.55635 -1.68501 | 5330.43 3254.24


